date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,364,15033,15423,19296,8697,62754,4265,3903.0,45396,0.58,0.58,8065.0,0.0,,,40768,,2325.0,6624.0,6624,,,256541,2013年01月01日至2013年03月31日,,219953,282707,218427,280392,,223281,37440,1361910,2166872,804962,804962,581681,156039,,,6334,0.58,0.58,169101,219953,260721,0.0,,31.0,7755,3903,0,2.0,,,7401,2179567,2166872,5294,1526,2315
2013-08-07,2,2013,,14492,47821,4118,39985,8049,78090,3692,340.0,26456,1.15,1.15,12974.0,-2.0,,,79999,,3813.0,,20954,,,270850,2013年04月01日至2013年06月30日,,421592,499682,428437,506307,,436874,64717,1725080,2888103,1163023,1163023,726149,184772,,,5995,1.13,1.13,270527,421592,501591,22249.0,,-5.0,4973,340,656,0.0,,,7201,2901575,2888103,6271,-6845,-6625
2013-10-28,3,2013,,2355,53079,7673,17719,3201,35506,4183,2352.0,-19758,0.74,0.74,0.0,15187.0,,,35321,,2185.0,,15409,,,289651,2013年07月01日至2013年09月30日,,273095,308601,275854,311860,,269967,38449,1779150,2683733,904583,904583,634616,185482,,,9174,0.73,0.73,159483,273095,308416,1161.0,,4633.0,28931,2352,917,,,,19168,2706531,2683733,3630,-2759,-3259
2014-02-25,4,2013,,13560,201001,108762,102899,28611,287363,23335,14219.0,85763,3.21,3.21,18025.0,0.0,,,237880,,6622.0,,51095,,,1098997,2013年01月01日至2013年12月31日,,1179156,1466519,1204892,1491388,2000.0,1168499,248537,6419811,10170631,3750820,3750820,2582321,714156,,-6023.0,27163,3.2,3.2,769168,1179156,1417036,23790.0,21286.0,0.0,83191,14219,1820,,2000.0,,46636,10234844,10170631,17577,-25736,-24869
2014-04-30,1,2014,,462,11391,26589,16660,4964,47711,5632,,35817,0.48,0.48,26959.0,,,,25105,,503.0,,13983,,,275287,2014年01月01日至2014年03月31日,,171900,219611,178306,225227,2410.0,143001,54004,1250250,2006101,755851,755851,612850,181950,,,6064,0.47,0.47,155613,171900,197005,,263.0,,1411,3228,828,0.0,2410.0,1250250.0,12991,2023343,2006101,4251,-6406,-5616
2014-08-05,2,2014,,1274,-41668,-25770,58698,13918,-83221,5583,5407.0,-45048,0.89,0.89,0.0,40214.0,,,64105,,3495.0,,27445,,,320872,2014年第2季,,327290,244069,332807,250323,0.0,336429,54966,1626323,2627494,1001171,1001171,664742,199459,,,8471,0.86,0.86,144411,327290,391395,30726.0,,-864.0,10858,5407,3996,,,,5002,2636881,2627494,4385,-5517,-6254
2014-10-31,3,2014,,3815,-97829,37315,15949,2096,-64919,5342,9741.0,37022,1.3,1.3,37502.0,0.0,,,83138,,-4112.0,,26880,,,351656,2014年第3季,,483100,418181,486713,421090,0.0,495835,70403,1805581,3066294,1260713,1260713,764878,222992,,,6432,1.21,1.21,190230,483100,566238,2079.0,,70.0,3189,9741,509,,,,12385,3089220,3066294,10541,-3613,-2909
2015-02-12,4,2014,,24504,-63697,80549,170286,84272,4259,24192,,92057,3.51,3.51,94921.0,,,,227318,,3259.0,82578.0,82578,,,1289279,2014年度,,1294056,1298315,1316444,1318051,15500.0,1219261,302113,6261181,10307085,4045904,4045904,2826643,830941,,-27360.0,27497,3.3,3.3,706423,1294056,1521374,34325.0,2852.0,,17325,31300,5455,,15500.0,,45240,10374332,10307085,22007,-22388,-19736
2015-04-30,1,2015,,1620,-26328,-36719,49683,37941,-51683,5200,,-32717,0.33,0.33,0.0,36400.0,,-51683.0,29809,,,,9587,7362.0,,327944,2015年第1季,,113557,61874,123338,72133,0.0,131183,12183,1126520,1923763,797243,797243,666060,193945,,,6542,0.32,0.32,144171,113557,143366,,1066.0,,11,10368,224,,0.0,,3198,1998029,1923763,71068,-9781,-10259
2015-07-31,2,2015,,1132,-91340,-19012,26388,13114,-122822,7521,10552.0,-25426,1.01,1.01,,16269.0,,-122822.0,74165,,,,31806,-6056.0,,352187,2015年第2季,202.0,371138,248316,381251,259032,0.0,416673,28630,1569361,2709486,1140125,1139923,723250,220517,,,5753,0.96,0.96,150546,371138,445303,0.0,249.0,,3,10552,0,1863.0,0.0,,2772,2712574,2709486,316,-10113,-10716
