date,season,year,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,3267,,97503,494576,-71315.0,351326,419374,0.63,,,305178,-62,428686,2013年01月01日至2013年03月31日,,334583,685909,539024,891047,150579,489182,12025436,12855808,830372,830372,679793,75534,23344,59052,0.61,175573,334583,639761,,,102835,12002092,12796756,-204441,-205138
2013-08-09,2,2013,11043,,-660785,265530,,136759,151484,-0.18,,,238082,-99,372822,2013年04月01日至2013年06月30日,,-659858,-523099,-149697,-12940,94889,-516665,11716611,12406939,690328,690328,595439,66714,21017,53694,-0.18,155903,-659858,-421776,25768.0,,121311,11695594,12353245,-510161,-510159
2013-11-12,3,2013,4815,,-151317,580400,42206.0,-201683,-248704,0.18,,,134451,-105,410774,2013年07月01日至2013年09月30日,,-74280,-275963,157249,-44412,-249085,309256,11798386,12194579,396193,396193,645278,74576,21876,53313,0.18,159928,-74280,60171,,,119722,11776510,12141266,-231529,-231551
2014-03-31,4,2013,24122,0.0,-1524068,1590272,-82584.0,427320,485782,-0.26,0.0,,746400,-2926,1637584,2013年01月01日至2013年12月31日,0.0,-1745554,-1318234,-224887,203012,-602148,-397006,47784153,49838862,2054709,2054709,2656857,310717,91375,218098,-0.26,708556,-1745554,-999154,,,460284,47692778,49620764,-1520667,-1521246
2014-05-14,1,2014,-3276,,-19159,207116,-59613.0,287781,350670,-0.27,,,31016,-4174,388732,2014年01月01日至2014年03月31日,,-456572,-168791,-229955,57546,-489206,63650,11462498,11619627,157129,157129,646335,68529,20740,54914,-0.27,189074,-456572,-425556,,,120133,11441758,11564713,-226617,-226337
2014-11-14,2,2014,1294,,-10402926,202045,61383.0,-298402,-361079,-8.93,,,-12537,-4788,446085,2014年第2季,,-11062251,-11360653,-7615969,-7913844,-744645,-10330143,12533039,12536060,3021,3021,747666,84815,21975,58925,0.0,216766,-11062251,-11074788,,,124474,12511064,12477135,-3446282,-3446809
2014-11-14,3,2014,246,,-721487,189267,-56154.0,274411,330319,-0.01,,,3761,-5417,356331,2014年第3季,,-913606,-639195,-4482,269990,-179570,-730275,9747339,10178823,431484,431484,611054,93512,21659,56568,0.0,161211,-913606,-909845,,,192638,9725680,10122255,-909124,-909185
2015-03-30,4,2014,11036,,-11320483,849899,-185169.0,915108,1089241,-9.76,,,5272,-21076,1536944,2014年度,,-13158889,-12243781,-8327416,-7412000,-1681476,-11472141,41080472,41980225,899753,899753,2581229,310823,86289,226629,,733462,-13158889,-13153617,,,980481,40994183,41753596,-4831473,-4831781
2015-05-13,1,2015,7537,,184808,507199,,-177362,-222770,0.38,,-177362.0,33855,-2829,317226,2015年01月01日至2015年03月31日,,197016,19654,323424,146062,-134698,365569,7085063,7490076,405013,405013,539711,63827,23465,54689,0.37,158658,197016,230871,,-37871.0,323609,7061598,7435387,-126408,-126408
2015-08-14,2,2015,-3462,,-30138,263969,,-198108,-234512,0.7,,-198108.0,123124,-2303,368664,2015年第2季,,513103,314995,594168,396060,705539,-69312,7896865,9101992,1205127,1205127,499588,-22785,21825,61452,0.67,153709,513103,636227,,-39866.0,300840,7875040,9040540,-81065,-81065
2015-11-12,3,2015,-3565,,6716592,286469,,822793,995613,9.08,,822793.0,117727,-766,411932,2015年第3季,,7743772,8566565,7743931,8566723,894926,6966573,8511465,10059033,1547568,1547568,652642,69064,24534,62676,8.68,171646,7743772,7861499,,169255.0,35722,8486931,9996357,-159,-158
2016-03-30,4,2015,-11041,,6698669,1534899,,313365,390853,11.69,,313365.0,490157,-5898,1487625,2015年度,,9764483,10077848,9974414,10287777,2714522,7540118,30870414,35965047,5094633,5094633,2380111,194803,98898,234197,11.28,697683,9764483,10254640,,66447.0,687552,30771516,35730850,-209931,-209929
2016-05-09,1,2016,51,,-47550,140503,,-318414,-383692,0.99,,-318414.0,185650,0,381592,2016年01月01日至2016年03月31日,,842528,524114,841009,522594,959758,68420,7479229,9088926,1609697,1609697,649939,78237,25626,56119,0.99,190110,842528,1028178,,-65227.0,24533,7453603,9032807,1519,1520
2016-08-11,2,2016,-6378,,7320,78499,,-93288,-104712,1.26,,-93288.0,254611,0,427685,2016年第2季,,1084007,990719,1079578,986289,1274697,63921,7969968,9934568,1964600,1964600,689903,85126,24713,55550,1.26,177092,1084007,1338618,,-17802.0,21898,7945255,9879018,4429,4430
2016-11-11,3,2016,5052,,-127629,149588,,-510908,-621639,1.1,,-510908.0,95522,0,435831,2016年第3季,,937814,426906,934223,423315,1029139,4197,8230558,9955844,1725286,1725286,696147,80064,27296,59493,1.09,180252,937814,1033336,,-105679.0,17762,8203262,9896351,3591,3591
