date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銀行存款利息,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,49,8939,926,132,,13738,794,13738,0.19,0.19,8946.0,,,2615,16737,2013年01月01日至2013年03月31日,14079,27817,14079,27817,6897,9797,331832,386514,54682,54682,47785,6803,,,0.19,0.19,24245,14079,16694,,,0.0,68,42,794,579,387375,387375,386514,282,0.0,0.0
2013-08-09,2,2013,,44,-5575,866,194,,4230,672,4230,0.17,0.17,0.0,6183.0,,2627,17309,2013年04月01日至2013年06月30日,12596,16826,12596,16826,19943,-4720,292707,360272,67565,67565,47622,6023,,,,,24290,12596,15223,,,0.0,11,652,672,308,360638,360638,360272,58,0.0,0.0
2013-11-11,3,2013,,310,-9173,1364,191,,-2854,1173,-2854,0.1,0.1,,9043.0,,1984,15455,2013年07月01日至2013年09月30日,7596,4742,7596,4742,17394,-7814,284089,341525,57436,57436,40042,4733,,,,,19854,7596,9580,,,0.0,5,180,1173,1373,343573,343573,341525,675,0.0,0.0
2014-03-17,4,2013,,383,1443,3913,550,,22688,3363,19773,0.58,0.58,604.0,0.0,,10628,73436,2013年01月01日至2013年12月31日,43504,66192,43504,66192,48877,5255,1248456,1488301,239845,239845,190968,23625,,2915.0,,,93907,43504,54132,,,3.0,101,1225,3363,1422,1492709,1492709,1488301,2986,,
2014-05-05,1,2014,,780,1885,2360,1575,,-1071,785,-1071,0.2,0.2,2634.0,,,3365,17745,2014年01月01日至2014年03月31日,15150,14079,15150,14079,14278,4237,312815,376564,63749,63749,49471,6774,,,,,24952,15150,18515,,,245.0,8,276,785,335,377060,377060,376564,161,,
2014-08-08,2,2014,,-372,2877,1352,529,,-5101,823,-5101,0.13,0.13,2300.0,0.0,,1497,18126,2014年第2季,9876,4775,9876,4775,7160,4213,293912,350840,56928,56928,49768,5801,,,,,25841,9876,11373,,,27.0,16,232,823,427,351489,351489,350840,222,0.0,0.0
2014-11-13,3,2014,,70,-1496,1614,281,,7024,1333,7024,0.15,0.15,0.0,1599.0,,1897,17607,2014年第3季,11134,18158,11134,18158,12923,108,308326,368756,60430,60430,47507,5751,,,,,24149,11134,13031,,,113.0,10,286,1333,1088,369933,369933,368756,89,0.0,0.0
2015-03-27,4,2014,,708,5727,7689,3651,2976.0,-4539,4038,9991,0.57,0.57,5833.0,,,8994,70946,2014年度,43053,38514,43053,38514,38670,13377,1213812,1447397,233585,233585,194915,24403,,-17506.0,,,99566,43053,52047,,,385.0,39,987,4038,2870,1451177,1451177,1447397,910,,
2015-05-07,1,2015,,741,192,811,47,,-3509,764,-3509,0.09,,604.0,,-3509.0,4672,16273,2015年01月01日至2015年03月31日,6902,3393,6902,3393,10579,995,257059,315831,58772,58772,48193,6976,,,0.09,,24944,6902,11574,,,0.0,8,329,764,278,316736,316736,315831,627,,
2015-08-13,2,2015,,-489,-1258,1175,154,,-4144,1021,-4144,0.2,0.2,0.0,1788.0,-4144.0,2774,16608,2015年第2季,14892,10748,14892,10748,17754,-88,263258,329249,65991,65991,48237,5681,,,,,25948,14892,17666,,,125.0,5,166,1021,322,329683,329683,329249,112,0.0,0.0
