date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,-1876,21214,5395,,-1876,0.72,,,80256,,,11984,107731,2013年01月01日至2013年03月31日,417314,415438,417314,415438,459795,37775,6968019,7600694,632675,632675,172880,,10348,,0.72,,54801,417314,,497570,,0.0,,818,,7600694,0.0,0.0
2013-07-30,2,2013,,10114,-876,4577,0.0,10114,0.46,,,51397,,,10885,100447,2013年04月01日至2013年06月30日,265983,276097,265983,276097,303450,13930,6831458,7294965,463507,463507,160057,,10457,,0.46,,49153,265983,0.46,317380,,,,656,,7294965,,
2013-10-31,3,2013,,-12785,10280,38635,0.0,-12785,0.56,,,60412,,,-1458,113169,2013年07月01日至2013年09月30日,327670,314885,327670,314885,341126,46956,6728400,7239331,510931,510931,169805,,10297,,0.56,,46339,327670,,388082,,,,501,,7239331,0.0,0.0
2014-03-12,4,2013,,-12519,37591,59444,25627.0,13108,2.49,,,282552,,,14138,425517,2013年01月01日至2013年12月31日,1446331,1459439,1446331,1459439,1620357,108526,27588501,29899588,2311087,2311087,690730,,43374,,2.49,,221839,1446331,,1728883,,,,2647,,29899588,0.0,0.0
2014-04-24,1,2014,,-3550,3802,4988,,-3550,0.65,0.65,,70858,,,31440,117284,2014年01月01日至2014年03月31日,375556,372006,375556,372006,406861,39553,6789801,7379818,590017,590017,183156,,11753,,0.65,0.65,54119,375556,,446414,,0.0,,677,6789801.0,7379818,0.0,0.0
2014-08-06,2,2014,,-655,-4042,8656,0.0,-655,0.72,0.72,,82653,,,12032,127949,2014年第2季,419209,418554,419209,418554,485885,15977,7446590,8120061,673471,673471,187586,,10966,,0.72,0.72,48671,419209,,501862,,,,669,,8120061,0.0,0.0
2014-10-29,3,2014,,-44096,-3741,35880,0.0,-44096,0.66,0.66,,65986,,,30881,122602,2014年第3季,381554,337458,381554,337458,385280,62260,6618087,7187936,569849,569849,184569,,9143,,0.66,0.66,52824,381554,,447540,,,,760,,7187936,0.0,0.0
2015-03-24,4,2014,,-28519,1444,68803,12137.0,-18367,2.87,2.87,,312103,,78.0,106689,481534,2014年度,1668131,1649764,1668131,1649764,1806193,174041,27607924,30171468,2563544,2563544,757351,,43224,,2.87,2.87,232593,1668131,,1980234,,2063.0,,2895,,30171468,0.0,0.0
2015-04-29,1,2015,,12539,4998,5081,,12539,0.81,0.81,12539.0,89560,,,28459,134284,2015年01月01日至2015年03月31日,473601,486140,473601,486140,525275,37886,6214873,6942698,727825,727825,202550,,9714,,0.81,0.81,58552,473601,,563161,,,0.0,652,6214873.0,6942698,0.0,0.0
2015-07-30,2,2015,,-12740,-10606,16645,,-12655,0.95,0.95,-12655.0,112442,,,31770,114748,2015年第2季,552016,539361,552016,539361,627192,37266,5070310,5875816,805506,805506,178314,102.0,9649,,0.95,0.95,53917,552016,,664458,,,17.0,543,5070310.0,5875816,0.0,0.0
2015-10-29,3,2015,,-33873,20838,40542,,-31868,0.64,0.64,-31868.0,68271,,,14815,110636,2015年第3季,372233,340365,372233,340365,364381,76123,4583674,5117215,533541,533541,169160,2416.0,8841,,0.64,0.64,49683,372233,,440504,,,411.0,72,,5117215,0.0,0.0
2016-03-10,4,2015,-13631.0,-24548,9095,68687,,-32636,3.45,3.45,-19005.0,395908,710.0,,67807,478507,2015年度,2003635,1970999,2003635,1970999,2255473,144070,20363998,23380189,3016191,3016191,760718,6678.0,39242,-17133.0,3.45,3.45,242969,2003635,,2399543,-2792.0,,1135.0,1519,,23380189,0.0,0.0
2016-05-05,1,2016,,46740,-669,6972,,55889,0.81,0.81,55889.0,93958,,,10520,112126,2016年01月01日至2016年03月31日,470142,526031,470142,526031,547541,16559,3801268,4533952,732684,732684,185143,11023.0,10133,,0.81,0.81,62884,470142,,564100,,,1874.0,264,3801268.0,4533952,0.0,0.0
2016-07-29,2,2016,,-24791,-51270,13725,,-35519,0.84,0.84,-35519.0,131747,,,33242,144866,2016年第2季,490133,454614,490133,454614,626596,-4716,4560088,5389918,829830,829830,203234,-12926.0,10007,,0.84,0.84,48361,490133,,621880,,,-2198.0,413,4560088.0,5389918,0.0,0.0
2016-10-27,3,2016,,-1126,-2735,30058,,-21658,0.89,0.89,-21658.0,95852,,,21975,129099,2016年第3季,516715,495057,516715,495057,563803,48764,4246724,5006638,759914,759914,196111,-24737.0,9991,,0.89,0.89,57021,516715,,612567,,,-4205.0,534,,5006638,0.0,0.0
