date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,遞延所得稅費用（利益）,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,266044,2587539,1392566,1277653,534545.0,,,1011609,1.16,490,,1364688,,,,-10058,,1101761,2013年01月01日至2013年03月31日,174,4641962,5919615,,4454155,5596377,2571148,3435502,189516730,197515778,7999048,7999364,5428216,,1364240.0,2478780,,,1.15,1847675,4641962,6006650,,0.0,,534545,448.0,,187807,323238
2013-08-14,2,2013,,,-1249767,1821260,1850881,-1312696,,,,-62929,1.05,174,,1539628,,,,-28312,,1846158,2013年04月01日至2013年06月30日,394,4084926,2772230,,4023097,2946794,2768367,2856187,182071230,191003771,8932541,8932321,6163954,,,2525723,,,1.03,1792073,4084926,5624554,,0.0,,787642,,,61829,-174564
2013-11-14,3,2013,,,156307,642577,1260787,-292239,,,,-448546,1.21,394,,1350561,,,,-6227,,1215269,2013年07月01日至2013年09月30日,502,4801828,4509589,,4653310,4401371,4388928,1763461,210438929,220317939,9879010,9878902,5489974,,,2483068,,,1.2,1791637,4801828,6152389,,0.0,,133676,,,148518,108218
2014-03-28,4,2013,,,-1488952,6643241,6472982,-670444,,,,887468,4.84,490,,5107850,,,-7921.0,-44795,,6227104,2013年01月01日至2013年12月31日,525,19109547,18439103,,18618002,18029864,13059674,11157723,843097495,880401954,37304459,37304424,24244750,,,10511964,,-71660.0,4.78,7505682,19109547,24217397,,-10621.0,,1913705,,,491545,409239
2014-05-13,1,2014,,,678190,1592242,2374771,1138112,,,,452003,1.21,525,,1298015,,,7919.0,7666,,1405790,2014年01月01日至2014年03月31日,672,4851801,5989913,,4675156,5771544,2888599,3261217,207127143,215869719,8742576,8742429,5853830,,,2497862,,,1.2,1950178,4851801,6149816,,0.0,,713462,,,176645,218369
2014-08-14,2,2014,,,996112,-617726,2441025,-296764,,,,-1303052,1.06,672,,1460375,,,10176.0,-1929,,1805672,2014年第2季,1011,4232203,3935439,,4067083,4441657,4306035,1386543,203892557,214468525,10575968,10575629,6269594,,,2405480,,,1.05,2058442,4232203,5692578,,0.0,,434827,,,165120,-506218
2014-11-12,3,2014,,,-37164,1023435,2188928,696133,,,,742196,1.23,1011,,1365617,,,-8899.0,7978,,2723695,2014年第3季,713,4762579,5458712,,4732465,5388960,3643729,2484467,233336827,244332767,10995940,10996238,7352509,,,2651903,,,1.22,1976911,4762579,6128196,,0.0,,735874,,,30114,69752
2015-03-30,4,2014,,,3148145,4582618,8718331,4423905,,,,1280186,4.9,525,,5125045,,,7094.0,10498,,8987444,2014年度,1087,19236020,23659925,,18884396,23727125,14003455,10357610,884509540,926321307,41811767,41811205,27807750,,,10353125,,-5068.0,4.86,8467181,19236020,24361065,,6452.0,,2953837,,,351624,-67200
2015-05-14,1,2015,,,-176056,-132955,1738061,-483743,,,,-307169,0.95,1087,-483743.0,900212,,,,-4761,-518.0,2072890,2015年01月01日至2015年03月31日,1141,3578131,3094388,,3672301,3209082,3729215,749128,194769614,205193392,10423778,10423724,6694509,,,2459542,,,0.95,2162077,3578131,4478343,,,0.0,851217,,,-94170,-114694
2015-08-11,2,2015,,,-933723,31921,845029,-1356372,,,,-416145,0.88,1141,-1356372.0,1528224,,,,-4358,-6504.0,1594597,2015年第2季,2625,3434423,2078051,,3373486,2042384,4457709,504938,240037893,251009059,10971166,10969682,6511973,,,2660844,,,0.87,2256532,3434423,4962647,,,0.0,367654,,,60937,35667
2015-11-11,3,2015,,,-1889826,2212870,868667,619080,,,,2516269,1.51,2625,619080.0,1368695,,,,-6658,-7363.0,2066348,2015年第3季,1755,5741308,6360388,,5830723,6259955,4521564,2588439,264128799,275897237,11768438,11769308,7247744,,,2908059,,,,2273337,5741308,7110003,,,0.0,486440,,,-89415,100433
