date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,加工成本,加工收入,加工收入淨額,勞務成本合計,勞務收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估增值,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,1232,,,-184,7692,7177,24.0,24,8335,384,15438,1452,,1725,1452,1725,,,8335,0.13,0.13,1048,,6128,,,,,508,,81673,2013年01月01日至2013年03月31日,413,24293,32628,,25070,33405,37843,-7422,3230847,3388530,157683,157270,119451,,2903,,,131,0.13,0.13,34875,24293,30421,,,,15438,,,,3229395,,3395190,3386805,8385,-777,-777
2013-08-09,2,2013,,,1147,,,3983,6628,5901,-40.0,-40,3977,542,14973,1934,,2333,1934,2333,,,3977,0.11,0.11,5130,,4959,,,,,4794,,88846,2013年04月01日至2013年06月30日,-233,20111,24088,,20918,24895,24638,432,3607467,3758036,150569,150802,126124,,3020,,,185,0.11,0.11,34258,20111,25070,,,,14973,0.0,,,3605533,,3764614,3755703,8911,-807,-807
2013-11-11,3,2013,,,16325,,,-13732,4843,4113,36.0,36,-3522,439,14499,1214,,1422,1214,1422,,,-3522,-0.05,-0.05,2593,,5316,,,,,5098,,94013,2013年07月01日至2013年09月30日,-32,-5284,-8806,,-9880,-13402,18322,-18290,3313770,3460400,146630,146662,128376,,3336,,,291,0.0,0.0,31027,-5284,32,,,,14499,0.0,,,3312556,,3483101,3458978,24123,4596,4596
2014-03-27,4,2013,,,27789,,,-21919,11903,8691,,27,16207,2113,59849,5051,5990.0,5990,5051,5990,,,12304,0.32,0.32,5870,,25335,,,814.0,814.0,17404,,380483,2013年01月01日至2013年12月31日,152,72634,88841,,62240,78447,150430,-52461,13526734,14209086,682352,682200,531797,,12903,,3089.0,1099,0.32,0.32,138411,72634,97969,,,,59849,0.0,,13521683.0,13521683,14255766.0,14255766,14203096,52670,10394,10394
2014-05-13,1,2014,,,920,,,-5549,3979,2932,-129.0,-129,5081,542,14939,830,,725,830,725,,,5081,0.18,0.18,-4629,,8607,,,,,4003,,86048,2014年01月01日至2014年03月31日,282,39375,44456,,35292,40373,60488,-12506,2746084,2937279,191195,190913,130296,,4999,,,505,0.17,0.17,39249,39375,47982,,,,14939,,,,2745254,,2946822,2936554,10268,4083,4083
2014-08-11,2,2014,,,981,,,11,1908,690,-3796.0,-3796,-5683,696,15884,331,,323,331,323,,,-5683,0.01,0.01,992,,1103,,,,,4491,,89556,2014年第2季,-96,4296,-1387,,1055,-4628,14873,-9474,2963334,3110653,147319,147415,128746,,5164,,,522,0.01,0.01,34026,4296,5399,,,,15884,,,,2963003,,3114204,3110330,3874,3241,3241
2014-11-12,3,2014,,,1449,0.0,,-2293,2172,961,-1987.0,-1987,4990,593,14831,417,,479,417,479,,,4990,-0.29,-0.29,-170,,-5659,,,,,4039,,84089,2014年第3季,-259,-58533,-53543,,-60453,-55463,-53279,-10913,3035493,3102633,67140,67399,118691,,5157,,,618,0.0,0.0,29445,-58533,-64192,,,674.0,14831,,,,3035076,,3108628,3102154,6474,1920,1920
2015-03-27,4,2014,,,4626,,,-6614,10167,5438,-6596.0,-6596,20614,2553,59330,3177,,3662,3177,3662,,,16019,0.22,0.22,-1988,,17833,,,-1558.0,,18272,,354867,2014年度,43,61189,81803,,45069,65683,116527,-37505,11760111,12407408,647297,647254,524131,,20752,,6153.0,2176,0.22,0.22,148512,61189,79022,,,,59330,,,,11756934,,12433005,12403746,29259,16120,16120
2015-05-13,1,2015,0.0,0.0,325,,0.0,-667,5603,4354,0.0,0,-3546,628,12256,141,,467,141,467,0.0,0.0,-3546,0.14,0.14,-342,-3546.0,7456,0.0,,,,-2635,0.0,73681,2015年01月01日至2015年03月31日,110,32442,28896,0.0,31588,28042,49853,-9955,2551783,2718613,166830,166720,116867,0.0,5170,0.0,,621,0.14,0.14,38016,32442,39898,0.0,0.0,,12256,,0.0,,2551642,,2728980,2718146,10834,854,854
2015-08-11,2,2015,,-49.0,256,,,-26,5001,3751,58.0,58,-3227,717,12024,0,,0,0,0,,,-3178,0.05,0.05,230,-3178.0,5667,,-49.0,,,-5620,,80874,2015年第2季,-48,12700,9473,,10858,7631,31036,-12669,2465186,2621666,156480,156528,125550,,5279,,,533,0.05,0.05,39397,12700,18367,,,,12024,,,,2465186,,2636225,2621666,14559,1842,1842
