date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,金融資產重分類淨損益,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-13355,1070,2090,,-13355,0.2,,,,7515,669,2013年01月01日至2013年03月31日,,34898,21543,35430,22075,,,42133,280,37625,141743,104118,104118,61985,,,5691,50435,0.2,,34898,42413,,,3549,,31934,9328,100636,91308,,-532,-532
2013-08-08,2,2013,,,2403,-2312,5281,,2403,0.14,0.14,0.0,,5532,1858,2013年04月01日至2013年06月30日,0.0,25031,27434,24587,26990,,,29445,1118,65920,163328,97408,97408,67963,,,5884,49164,0.14,0.14,25031,30563,,,3709,,60036,21105,135269,114164,,444,444
2013-11-07,3,2013,,0.0,787,1156,3300,0.0,787,0.12,0.12,0.0,,5751,674,2013年07月01日至2013年09月30日,0.0,20524,21311,20524,21311,,,28263,-1988,38236,134816,96580,96580,68317,,,5697,50217,0.12,0.12,20524,26275,,,7118,0.0,32539,4766,89365,84599,0.0,0,0
2014-03-14,4,2013,,,791,-1466,12915,,324,0.57,0.57,0.0,,28931,3395,2013年01月01日至2013年12月31日,0.0,99829,100153,99917,100241,,,136602,-7842,256628,663423,406795,406795,270193,,-562.0,23185,200293,0.57,0.57,99829,128760,,-95.0,22686,,233443,76049,539179,463130,,-88,-88
2014-05-12,1,2014,,,-3346,578,2295,,-3346,0.33,0.33,0.0,,7557,683,2014年01月01日至2014年03月31日,0.0,57998,54652,57998,54652,71454.0,103697.0,69789,-4234,112643,249148,136505,136505,66716,,,5749,52813,0.33,0.33,57998,65555,,,7790,,35440,9206,101844,92638,,0,0
2014-08-08,2,2014,,,10558,-1085,2390,,10558,0.35,0.35,0.0,,7119,1510,2014年第2季,0.0,61693,72251,61693,72251,143285.0,192609.0,73888,-5076,218324,368776,150452,150452,76564,,,5820,52330,0.35,0.35,61693,68812,,,7891,,69219,19030,142867,123837,,0,0
2014-11-11,3,2014,,,-2032,2408,9447,,-2032,0.14,0.14,0.0,,6101,686,2014年第3季,0.0,23651,21619,23651,21619,0.0,0.0,25234,4518,37391,132991,95600,95600,70366,,,5898,53051,0.14,0.14,23651,29752,,,8023,,31493,4861,84801,79940,,0,0
2015-03-12,4,2014,,,4018,5609,17968,,1077,0.97,0.97,0.0,,30097,3077,2014年度,0.0,170514,171591,170514,171591,214739.0,296306.0,205469,-4858,485091,980635,495544,495544,290075,,-3544.0,23017,210961,0.97,0.97,170514,200611,,-603.0,31512,,247335,71992,545360,473368,,0,0
2015-05-11,1,2015,,,4364,-621,2540,,4364,0.11,0.11,0.0,4364.0,6640,967,2015年01月01日至2015年03月31日,0.0,19312,23676,19312,23676,0.0,0.0,31166,-5214,40067,142421,102354,102354,71188,,,5211,55096,0.11,0.11,19312,25952,,,8100,,34856,9575,96900,87325,,0,0
2015-08-12,2,2015,,,-23169,5970,2249,,-23169,0.12,0.12,0.0,-23169.0,7513,1804,2015年第2季,0.0,20775,-2394,20775,-2394,0.0,0.0,26496,1792,75674,175951,100277,100277,73781,,,5443,54652,0.12,0.12,20775,28288,,,8231,,70231,19246,140545,121299,,0,0
2015-11-11,3,2015,,,-6932,-4389,4728,,-6932,0.07,0.07,0.0,-6932.0,-3247,983,2015年第3季,0.0,13115,6183,13115,6183,0.0,0.0,17279,-7411,55688,146880,91192,91192,73913,,,5271,54681,0.07,0.07,13115,9868,,,8733,,50417,11660,103859,92199,,0,0
2016-03-08,4,2015,-7021.0,,-23183,8140,12087,,-30204,0.46,0.46,0.0,-23183.0,13622,4034,2015年度,0.0,80542,50338,80542,50338,0.0,0.0,103426,-9262,267613,669677,402064,402064,298638,-8460.0,,21434,219848,0.46,0.46,80542,94164,-1439.0,,33523,,246179,66093,515922,449829,,0,0
2016-05-06,1,2016,,,-3002,-3272,2662,,-3002,0.04,0.04,0.0,-3002.0,6393,981,2016年01月01日至2016年03月31日,0.0,7448,4446,7448,4446,,,21618,-7777,47245,145023,97778,97778,76160,,,5472,56896,0.04,0.04,7448,13841,,,8148,,41773,7357,95484,88127,,0,0
2016-08-05,2,2016,,,4283,-1161,3111,,4283,0.01,0.01,0.0,4283.0,3774,953,2016年第2季,0.0,2282,6565,2282,6565,,,10765,-4709,81410,178050,96640,96640,85875,,,5553,56422,0.01,0.01,2282,6056,,,7612,,75857,15846,137474,121628,,0,0
2016-11-07,3,2016,,,5830,15261,5706,,5830,0.16,0.16,0.0,5830.0,8358,979,2016年第3季,0.0,27252,33082,27252,33082,,,20605,15005,37786,128100,90314,90314,69709,,,5402,56743,0.16,0.16,27252,35610,,,6941,,32384,2460,73817,71357,,0,0
