date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,200.0,19550,1326,,20271,957,389,24182,0.06,0.06,,5658,0,14313,2013年01月01日至2013年03月31日,5802,26073,5680,25868,-9027,20487,191545,261934,70389,70389,79416,31323,,,369,0.06,0.06,33780,5802,11460,,4111.0,,389,157.0,266169.0,266169.0,261934,4078.0,122,205
2013-08-13,2,2013,,3500.0,3754,2397,,9883,2037,514,7690,-0.05,,,-3880,0,13295,2013年04月01日至2013年06月30日,-4490,5393,-4582,5291,-14007,5637,188547,251314,62767,62767,76774,29165,,,360,-0.05,,34314,-4490,-8370,,1307.0,,514,617.0,252157.0,252157.0,251314,226.0,92,102
2013-11-08,3,2013,,148.0,13888,3349,41193.0,-6988,2821,1595,-8597,0.46,,,8430,0,14614,2013年07月01日至2013年09月30日,41783,34795,41721,34773,34571,15642,228188,304845,76657,76657,83279,26097,,,528,0.46,,42568,41783,50213,,-1461.0,,1595,255.0,307016.0,307016.0,304845,1916.0,62,22
2014-03-28,4,2013,,3848.0,53550,11305,46617.0,40531,9191,4091,35110,0.38,,,20211,171,60037,2013年01月01日至2013年12月31日,35149,75680,34841,75291,-5575,60935,858077,1138854,280777,280777,332969,118721,,9070.0,2114,0.38,,154211,35149,55360,,7497.0,,4091,2252.0,1148388.0,1148388.0,1138854,7282.0,308,389
2014-05-09,1,2014,,0.0,19696,3107,-60.0,22576,1931,1148,27200,0.09,,,5492,-1,14061,2014年01月01日至2014年03月31日,8671,31247,8460,30967,-7491,21654,213693,282663,68970,68970,76401,24840,,,1176,0.09,,37500,8671,14163,,4624.0,,1148,1588.0,295765.0,295765.0,282663,11514.0,211,280
2014-08-13,2,2014,,0.0,2539,4004,0.0,-13236,2480,1574,-15947,0.07,,,4953,67,19902,2014年第2季,6861,-6375,6643,-6522,6778,5036,250040,343277,93237,93237,86459,24967,,,1524,0.07,,41590,6861,11814,,-2711.0,,1574,3841.0,353018.0,353018.0,343277,5900.0,218,147
2014-11-11,3,2014,,0.0,25259,3551,-419.0,18163,2217,2992,21883,0.29,,,11771,52,13432,2014年第3季,28048,46211,27666,45756,13949,25870,192305,290126,97821,97821,83453,27224,,,1334,0.29,,42797,28048,39819,,3720.0,,2992,5946.0,302615.0,302615.0,290126,6543.0,382,455
2015-03-13,4,2014,,0.0,67188,15926,-603.0,44935,10307,7657,56139,0.36,,,22726,9,68746,2014年度,35485,80420,34747,79463,-17255,75466,851901,1180274,328373,328373,345025,106946,,-2046.0,5619,0.36,,169333,35485,58211,,9158.0,,7657,18462.0,1227832.0,1227832.0,1180274,29096.0,738,957
2015-05-08,1,2015,,,12004,2874,0.0,-6505,1484,2450,-7829,0.01,,-6505.0,5374,0,17438,2015年01月01日至2015年03月31日,1513,-4992,1195,-5269,-5541,12428,196780,272005,75225,75225,80766,25065,,,1390,0.01,,38263,1513,6887,,,-1324.0,2450,4277.0,277895.0,277895.0,272005,1613.0,318,277
2015-08-13,2,2015,,,12414,5142,0.0,-11051,4058,2973,-13301,0.16,,-11051.0,9166,-30,18366,2015年第2季,16155,5104,15626,4641,10768,14553,243789,340668,96879,96879,86111,27100,,,1084,0.16,,40645,16155,25321,,,-2250.0,2973,7245.0,356327.0,356327.0,340668,8414.0,529,463
2015-11-11,3,2015,,,22182,4320,1.0,38290,2855,3100,46064,0.13,,38290.0,10878,0,18916,2015年第3季,12723,51013,12215,50169,199,23402,286527,380690,94163,94163,93965,27660,,,1465,0.13,,47389,12723,23601,,,7774.0,3100,4845.0,386573.0,386573.0,380690,1038.0,508,844
2016-03-18,4,2015,1477.0,,63712,17026,527.0,11905,11926,12050,12521,0.39,,10428.0,27160,-148,77272,2015年度,39734,51639,38443,50138,-1646,68540,987677,1354804,367127,367127,369300,109413,1780.0,,5100,0.39,,182615,39734,66894,303.0,,2093.0,12050,20381.0,1387416.0,1387416.0,1354804,12231.0,1291,1501
2016-05-06,1,2016,,,21915,5397,,-13492,3234,3272,-16231,0.09,,-13492.0,8406,-18,17516,2016年01月01日至2016年03月31日,9503,-3989,9245,-4129,-6113,24022,324237,406185,81948,81948,88061,28606,,,2163,0.09,,41939,9503,17909,,,-2739.0,3272,862.0,418364.0,418364.0,406185,11317.0,258,140
2016-08-03,2,2016,,,9007,5132,-48.0,-12458,3836,2956,-15012,0.28,,-12458.0,9801,-20,20115,2016年第2季,27197,14739,26934,14462,25835,11163,350215,469099,118884,118884,93001,28372,,,1296,0.28,,44514,27197,36998,,,-2554.0,2956,9.0,479513.0,479513.0,469099,10405.0,263,277
2016-11-03,3,2016,,,10817,4603,-2.0,-25410,3577,3163,-30575,0.13,,-25410.0,7817,-11,19252,2016年第3季,13411,-11999,13088,-12133,8982,12246,290021,395310,105289,105289,96305,28259,,,1026,0.13,,48794,13411,21228,,,-5165.0,3163,,,,395310,,323,134
