date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,611,-795,35238,38447,29827,83780,8620,78759,0.96,24136.0,0.0,88,,44411,5816.0,131973,,78403,2013年01月01日至2013年03月31日,,283107,366887,283107,366887,0.0,123366,204152,844202,1266676,422474,422562,299196,112138,,,0.95,108655,283107,327518,,,9015,,2698,1506,,,844202,1274927,1266676,8251,0,0.0
2013-08-09,2,2013,,959,-3617,2120,50062,25686,47212,24376,51362,0.78,2215.0,0.0,91,,88966,-533.0,113337,,78828,2013年04月01日至2013年06月30日,,227133,274345,228866,276078,0.0,157039,159060,972150,1422826,450676,450767,293728,100840,,,0.76,114060,227133,316099,,,649,,215,6459,,,972150,1430764,1422826,7938,-1733,-1733.0
2013-11-04,3,2013,,255,-2857,1611,215959,134236,-33546,81723,-30354,1.12,0.0,2551.0,-476,,71652,-335.0,92258,,64273,2013年07月01日至2013年09月30日,,327612,294066,329077,295531,0.0,99990,299274,1324467,1672651,348184,347708,247718,112687,,,1.1,70758,327612,399264,,,587,,3830,10554,,,1324467,1684543,1672651,11892,-1465,-1465.0
2014-03-31,4,2013,,7717,-8030,152498,408332,217539,157324,190793,148391,3.62,92672.0,0.0,-109,,256338,14533.0,450527,,211066,2013年01月01日至2013年12月31日,,1115868,1273192,1120849,1278173,0.0,411669,960537,3323190,4890416,1567226,1567117,1155448,442971,,2928.0,3.56,501411,1115868,1372206,,498.0,9350,,8729,50820,49464.0,,3323190,4927017,4890416,36601,-4981,-4981.0
2014-05-13,1,2014,,9701,10441,161938,66678,24389,60097,42289,46014,1.2,5773.0,,0,,40760,3642.0,125573,,98426,2014年01月01日至2014年03月31日,41.0,372000,432097,372000,432097,,77679,335081,853784,1253857,400073,400032,322353,119245,,,1.19,104682,372000,412760,,,126351,,22984,19108,16531.0,,853784,1261756,1253857,7899,0,0.0
2014-08-08,2,2014,,263,-155,25029,81842,13522,-60424,68320,-67886,1.03,-9634.0,,181,,64104,7617.0,112619,,108905,2014年第2季,,317689,257265,317689,257265,,214370,167423,1131734,1680736,549002,549183,334813,126301,,,1.01,99607,317689,381793,,,-5114,,65612,52067,-25572.0,,1131734,1688555,1680736,7819,0,0.0
2014-11-06,3,2014,,908,-8936,84860,49027,21182,66570,27845,65323,1.21,39925.0,,-139,,71054,10183.0,125933,,110680,2014年第3季,,373616,440186,373616,440186,,224795,219875,1346461,1930000,583539,583400,358605,133099,,,1.2,114826,373616,444670,,,630,,16692,39945,28521.0,,1346461,1936331,1930000,6331,0,0.0
2015-03-25,4,2014,,10528,738,371587,409878,190762,238822,219116,216567,4.51,102679.0,,100,,288922,25623.0,452137,,402086,2014年度,,1480757,1719579,1480757,1719579,,685037,1084642,4348126,6371416,2023290,2023390,1338353,513283,,-4947.0,4.45,422984,1480757,1769679,,-841.0,122183,,123602,148960,33651.0,,4348126,6397847,6371416,26431,0,0.0
2015-05-06,1,2015,,365,-2651,12098,107249,46442,-61859,60807,-58324,1.02,-6881.0,,-181,-61859.0,74687,,86315,-884.0,99122,2015年01月01日至2015年03月31日,,334861,273002,334861,273002,,229037,180511,1154727,1689392,534665,534484,305447,113168,,,1.01,93157,334861,409548,,,-2445,,11470,25151,10319.0,,1154727,1701656,1689392,12264,0,0.0
2015-08-10,2,2015,,2319,-6186,18478,57955,26703,-49876,31252,-41363,0.99,-13984.0,,18,-49876.0,140321,,51867,-2327.0,98891,2015年第2季,0.0,324720,274844,324720,274844,,366285,98756,1329238,2004333,675095,675113,308828,107270,,,0.98,102667,324720,465041,,,219,,10867,29544,23695.0,,1329238,2008727,2004333,4394,0,0.0
