date,season,year,不重分類至損益之項目總額,什項支出,停業單位淨利（淨損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,571.0,,-1288,24359,18955.0,59784,4871.0,1879.0,68895,0.12,,38362.0,38744.0,,,16586,1087.0,1087.0,359.0,-359.0,91696,2013年01月01日至2013年03月31日,,30701,90485,30534,88804,26454,20833,1312883,1671903,359020,359020,332566,106677,,,533.0,134193,30701,47287,,10198.0,,7.0,342.0,1879,,1312883.0,4431.0,,1693548.0,1671903.0,17214.0,167,1681
2013-08-09,2,2013,,,,6473,9987,,42942,,,50335,0.29,,,,,,27548,559.0,,,0.0,115230,2013年04月01日至2013年06月30日,,74452,117394,73385,117841,87566,14434,1674034,2117398,443364,443364,355798,104133,,,,136435,74452,102000,,7952.0,,,,2026,,1674034.0,,,2117398.0,2117398.0,,1067,-447
2013-11-08,3,2013,,,0.0,-6253,20380,,-16948,,,-20160,0.44,0.44,,,,,51460,0.0,,,0.0,107952,2013年07月01日至2013年09月30日,,113128,96180,111448,94690,152289,12299,1724897,2229666,504769,504769,352480,105859,,,,138669,113128,164588,,-3212.0,,,,1828,,,,,,2229666.0,,1680,1490
2014-03-14,4,2013,,,,-12105,76509,,119262,,,120501,1.22,,,,,,130301,2045.0,,,-359.0,415262,2013年01月01日至2013年12月31日,,310828,430090,306419,423745,384499,56630,6476260,8256495,1780235,1780235,1395736,431979,,-3284.0,,548495,310828,441129,,,,,,7415,,,,,,8256495.0,,4409,6345
2014-05-09,1,2014,,,,5998,27446,,31764,,,38022,0.25,,,,,,16524,0.0,,,0.0,103392,2014年01月01日至2014年03月31日,,63625,95389,62484,93988,48717,31432,1615673,2017141,401468,401468,352751,114149,,,,135210,63625,80149,,6258.0,,,,2012,,,,2017141.0,2017141.0,2017141.0,,1141,1401
2014-08-08,2,2014,,,,-4389,16196,,-47829,,,-57051,0.49,,,,,,35332,0.0,,,0.0,121414,2014年第2季,,125998,78169,124153,76744,151247,10083,1959916,2506927,547011,547011,395764,135371,,,,138979,125998,161330,,-9222.0,,,,1724,1959916.0,1959916.0,,2506927.0,2506927.0,2506927.0,,1845,1425
2014-11-07,3,2014,,,,-3367,18855,,35344,,,42027,0.47,,,,0.0,,34709,0.0,,,0.0,120338,2014年第3季,0.0,119432,154776,117739,152676,140777,13364,1991177,2521731,530554,530554,389777,127228,,,,142211,119432,154141,,6683.0,,,,2124,1991177.0,1991177.0,,2521731.0,2521731.0,2521731.0,,1693,2100
2015-03-17,4,2014,,,,13818,101878,,118164,,,143840,1.51,,,,,,139069,0.0,,,0.0,462357,2014年度,,386250,504414,379386,496280,417507,107812,7579980,9533345,1953365,1953365,1535858,509855,,-3133.0,,563646,386250,525319,,22543.0,,,,7884,,,,9533345.0,9533345.0,9533345.0,,6864,8134
2015-04-29,1,2015,,,,-7025,29026,,-45053,,,-53804,0.11,,,,,-45053.0,9623,,,,,121527,2015年01月01日至2015年03月31日,,29541,-15512,27996,-16708,18980,20184,1877256,2276308,399052,399052,380072,130098,,,,128447,29541,39164,,,-8751.0,,,1817,,,,2276308.0,2276308.0,2276308.0,,1545,1196
2015-08-07,2,2015,,,,3700,17845,,-19854,,,-23619,0.29,,,,,-19854.0,29672,,,,,121251,2015年第2季,,74452,54598,72896,53263,84062,20062,1949460,2427405,477945,477945,393883,142356,,,,130276,74452,104124,,,-3765.0,,,1483,,,,,2427405.0,2427405.0,,1556,1335
2015-11-06,3,2015,,,,42099,25974,,63718,,,75983,0.7,,,,,63718.0,51819,,,,,130058,2015年第3季,,177804,241522,175600,238743,163432,66191,2178378,2762364,583986,583986,420554,147099,,,,143397,177804,229623,,,12265.0,,,1882,,2178378.0,,,,2762364.0,,2204,2779
