date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,5677,,20622,10430,7333,82785,3097,11441,82785,0.63,0.63,25343.0,0.0,6754,,14171,,,18030,50111,2013年01月01日至2013年03月31日,,110826,193611,,91565,169901,,,87356,37641,780589,1042017,261428,268182,180826,14171.0,40110,,,0.54,0.54,90605,110826,124997,,,208.0,0.0,203.0,,11441,545,,,0.0,780589.0,780589,1042017.0,1042017.0,1042017,0.0,19261,23710
2013-08-13,2,2013,,,5540,0.0,11029,5899,4975,10022,924,7879,10022,0.29,0.29,16633.0,0.0,4,,8543,,,22439,55276,2013年04月01日至2013年06月30日,,73486,83508,,43572,57757,,,50541,31488,719566,962893,243327,243331,192790,,36434,,,0.26,0.26,101080,73486,82029,,,72.0,0.0,,318.0,7879,182,0.0,,,,719566,,,962893,,29914,25751
2013-11-07,3,2013,,,6342,0.0,-14335,11945,10773,-42149,1172,8080,-42149,0.31,0.31,-8420.0,,0,,3839,,,16196,56005,2013年07月01日至2013年09月30日,0.0,68743,26594,,48838,9580,,0.0,66856,5726,755072,1002143,247071,247071,180215,,39642,,,0.28,0.28,84568,68743,72582,,,-20.0,,,-198.0,8080,249,,,,755072.0,755072,1002143.0,1002143.0,1002143,,19905,17014
2014-03-27,4,2013,,,30102,,22676,32517,25385,86969,7132,37875,86643,1.49,1.49,46438.0,,6758,,37134,,,79743,236614,2013年01月01日至2013年12月31日,,308453,395422,,227852,322624,0.0,,248526,97061,3068518,4078901,1010383,1017141,768615,,176207,,326.0,1.38,1.38,355794,308453,345587,,,-3445.0,,,-8425.0,37875,1360,,,,,3068518,,,4078901,,80601,72798
2014-05-08,1,2014,,,1895,,10108,7305,5067,15848,2238,8100,15848,0.19,0.19,11285.0,,12964,,11482,,,2862,72355,2014年01月01日至2014年03月31日,,51716,67564,,30853,42532,,,51023,12175,747719,989531,241812,254776,203753,11482.0,48479,,,0.18,0.18,82919,51716,63198,,,0.0,114.0,775.0,,8100,57,,,,747719.0,747719,989531.0,989531.0,989531,,20863,25032
2014-08-07,2,2014,,,15836,,-24188,14747,11778,-49990,2969,8464,-49990,0.22,0.22,,11971.0,0,,35967,,,8221,69097,2014年第2季,,59798,9808,,34750,-12672,,,105449,-9684,758814,1061442,302628,302628,197179,35967.0,43218,,,0.2,0.2,84864,59798,95765,,,2982.0,,,-1005.0,8464,-368,,,,,758814,,,1061442,0.0,25048,22480
2014-11-11,3,2014,,,12948,,-10494,7001,5764,59234,1237,7937,59234,0.33,0.33,,-25322.0,0,,7392,,,10001,68556,2014年第3季,,90620,149854,,54481,113272,16473.0,,99441,-1429,787855,1088973,301118,301118,201677,,36305,,,0.33,0.33,96816,90620,98012,,,-6194.0,,,0.0,7937,-201,,,,,787855,,,1088973,,36139,36582
2015-03-20,4,2014,,,70090,,-98160,38710,29063,125162,9647,32840,127644,0.56,0.56,52661.0,,12964,,36612,,,49417,319305,2014年度,,192697,317859,,90690,211663,71502.0,,272182,-42873,3106472,4215580,1109108,1122072,849890,,178035,,-2482.0,0.48,0.48,352550,192697,229309,,,,13339.0,1713.0,,32840,2397,,,,3106472.0,3106472,,,4215580,,102007,106196
2015-05-14,1,2015,0.0,0.0,11024,,-24273,6876,4440,-32386,2436,8365,-32386,0.16,0.16,0.0,13193.0,26866,-32386.0,10598,0.0,0.0,1625,65306,2015年01月01日至2015年03月31日,,16281,-16105,0.0,25173,-5884,,,51016,-24137,744522,942435,197913,224779,173763,,40744,0.0,,0.14,0.14,67713,16281,26879,0.0,0.0,529.0,0.0,548.0,,8365,0,1133.0,0.0,,744522.0,744522,,,942435,,-8892,-10221
2015-08-11,2,2015,,,10228,,-16853,7539,5032,-61910,2507,8124,-61910,0.26,0.26,,3808.0,0,-61910.0,20773,,,11575,65673,2015年第2季,,30748,-31162,,40354,-17099,,,57384,-5863,715497,952344,236847,236847,179463,,45111,,,0.23,0.23,68679,30748,51521,,,0.0,1699.0,632.0,,8124,-1750,,,,,715497,,,952344,,-9606,-14063
