date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,8462.0,0.0,,9451,66057,13560,11397,,183203,947,42707.0,189916,0.27,0.27,74256,,106363,,24520,749.0,20342,,160695,2013年01月01日至2013年03月31日,108114,126977,310180,83495,175521,,94245,57252,3180435,3847447,667012,665261,571016,129340,,,1216,0.27,0.27,280981,126977,,151497,,,16913.0,,382.0,,,42707,-119,,,,3180435.0,3180435.0,,3847447.0,3847447.0,3847447,,43482,134659
2013-08-09,2,2013,,,,,-5298,6243,13423,10384,10381.0,-28866,1431,42384.0,-24958,0.26,0.26,16266,,547,,20124,-2761.0,24546,,205387,2013年04月01日至2013年06月30日,1344,124655,95789,81167,55602,10381.0,142951,1828,3343653,4057455,713802,713005,570054,117558,,,1216,,,247109,124655,,144779,392.0,,-4151.0,,-1435.0,,,42384,1793,,,1431.0,,,,4057455.0,4057455.0,4057455,,43488,40187
2013-11-08,3,2013,,10382.0,0.0,,3551,-32191,11709,7302,,-52869,1993,42813.0,-15089,-0.01,,-30644,,544,,2660,-51399.0,26586,,256110,2013年07月01日至2013年09月30日,-6126,-10308,-63177,-3170,-48773,,29061,-36709,3385455,4107749,722294,728964,699903,139748,,,1215,,,304045,-10308,,-7648,1199.0,,-10068.0,,-1728.0,,,42813,10563,,,1993.0,3385455.0,3385455.0,0.0,4107749.0,4107749.0,4107749,0.0,-7138,-14404
2014-03-28,4,2013,,131036.0,,,15919,-40062,76988,61032,,117109,8326,,139733,0.2,,88731,0.0,107997,,110020,-36085.0,-23245,,808392,2013年01月01日至2013年12月31日,99360,199451,316560,63383,147633,,466659,-157188,13575827,16496008,2920181,2928818,2462159,534493,,11537.0,4864,,,1119274,199451,,309471,2766.0,,13995.0,,,10778.0,,170869,13021,,,,,13575827.0,,,,16496008,,136068,168927
2014-05-13,1,2014,,7042.0,,0.0,32382,93581,36251,34247,,56850,788,48907.0,22976,0.5,0.5,73935,,99867,,47625,5286.0,12119,,302496,2014年01月01日至2014年03月31日,18,236480,293330,154908,205815,,191061,93044,3859756,4658192,798436,898285,707224,118917,,,1216,,,285811,236480,,284105,,,3794.0,,-118.0,,35000.0,48907,-8194,,,,,3859756.0,,,,4658192,,81572,87515
2014-08-11,2,2014,,18666.0,,0.0,-23626,16016,105646,99851,,-85373,3549,47812.0,-67228,0.12,0.12,0,59512.0,536,,93987,-3349.0,11816,,283033,2014年第2季,-18,120986,35613,38929,-27808,,129307,85666,3756286,4595749,839463,840017,710710,138076,,,2246,,,289601,120986,,214973,0.0,,-8830.0,,75356.0,0.0,7053.0,47812,11785,,,,,3756286.0,,,,4595749,,82057,63421
2014-11-07,3,2014,,,,0.0,-7375,-1798,23039,18664,16288.0,34454,1387,,51266,0.42,0.42,17425,0.0,514,,38502,-4718.0,7347,,280314,2014年第3季,0,165090,199544,129767,145429,16288.0,220630,-17038,3563268,4516083,952815,953329,732699,154889,,,2279,,,297496,165090,,203592,709.0,,4719.0,,0.0,266.0,396.0,45626,0,3065.0,,,,3563268.0,,,,4516083,,35323,54115
2015-03-25,4,2014,,65435.0,,0.0,-1331,193032,236909,217180,,154738,10513,,164988,1.64,,155377,,101416,,236966,6389.0,29952,,1195214,2014年度,0,766870,921608,512023,609220,,732538,271298,15103174,18762443,3659269,3760685,3028147,609421,,4872.0,7332,1.64,,1223512,766870,1.64,1003836,1884.0,,20180.0,,75195.0,0.0,42452.0,188595,0,14557.0,,,,15103174.0,,,,18762443,,254847,312388
2015-05-13,1,2015,,9426.0,,0.0,1846,-76678,19719,17770,,-79357,402,,-75934,0.42,0.42,0,87291.0,-391,-79357.0,63003,,55339,-20209.0,279433,2015年第1季,-916,147471,68114,129731,58634,,237833,-27359,2914735,3730972,816237,816762,578929,88967,,,1547,0.42,0.42,210529,147471,,210474,,,,-14940.0,0.0,314.0,0.0,25739,20353,0.0,,,,2914735.0,,,,3730972,,17740,9480
2015-08-10,2,2015,,6388.0,0.0,0.0,503,-43493,12304,9311,,-25848,1633,,-20273,0.36,0.36,0,36324.0,411,-25848.0,85708,,49467,-10622.0,291866,2015年第2季,-120,142160,116312,112872,91191,,235588,-7720,2943999,3784654,840655,841186,605598,96375,,,1360,,,217357,142160,,227868,,,,-4544.0,0.0,1256.0,0.0,25998,475,0.0,,,,2943999.0,,,,3784654,,29288,25121
