date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息費用,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,維修成本,維修收入淨額,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-23,1,2013,,,23815,3020,,73.0,73.0,,,2762,,5030.0,335.0,2762,1.42,,21286,75286,2013年01月01日至2013年03月31日,87959,90721,89006,91507,83252,25993,323772,543152,219380,219380,136201,22206,,,1.39,38709,4004.0,4695.0,87959,109245,,,842,319765,538122,-1047,-786
2013-08-08,2,2013,,,3062,3296,3296.0,,,,,-300,1161.0,6629.0,842.0,-300,2.0,,26015,54722,2013年04月01日至2013年06月30日,126556,126256,130345,130567,147374,5197,394879,684086,289207,289207,141833,24041,,,1.98,63070,3735.0,5787.0,126556,152571,,,1161,390925,677457,-3789,-4311
2013-10-29,3,2013,,,-11601,2978,2978.0,,,,,-2245,1187.0,5544.0,1630.0,-2245,2.11,,22918,52510,2013年07月01日至2013年09月30日,136892,134647,137021,135291,169620,-9810,413271,715207,301936,301936,132316,23598,,,2.09,56208,4309.0,3914.0,136892,159810,,,1187,408792,709663,-129,-644
2014-03-04,4,2013,,,12032,12134,12134.0,,,,,1078,4428.0,19602.0,4216.0,959,7.81,,111557,217170,2013年01月01日至2013年12月31日,501206,502284,507483,509247,593025,19738,1591256,2711331,1120075,1120075,527050,93967,,143.0,7.68,215913,15300.0,15386.0,501206,612763,,24.0,4428,1575229,2691729,-6277,-6963
2014-05-06,1,2014,,,24624,2987,2987.0,,,,,-1050,,6342.0,1036.0,-1050,2.36,,34744,57099,2014年01月01日至2014年03月31日,155883,154833,153238,151767,164064,26563,441093,748309,307216,307216,143152,25946,,,2.33,60107,2665.0,5306.0,155883,190627,,,1048,438136,741967,2645,3066
2014-07-31,2,2014,,,-14765,2326,2326.0,,,,,-948,,4003.0,995.0,-948,2.4,,30462,46055,2014年第2季,156855,155907,157076,156374,200492,-13175,437993,752410,314417,314417,113925,21342,,,2.39,46528,3165.0,3008.0,156855,187317,,,736,434579,748407,-221,-467
2014-11-04,3,2014,,0.0,16290,3096,3096.0,,,,,1732,,4661.0,1184.0,1732,2.04,,31273,53539,2014年第3季,133826,135558,133007,134860,149471,15628,367038,642085,275047,275047,125576,24076,,,1.99,47961,3407.0,3477.0,133826,165099,,,3758,363485,637424,819,698
2015-03-10,4,2014,,,44986,11664,11664.0,,,,,756,10141.0,22656.0,7212.0,1511,8.88,,116134,207447,2014年度,585291,586047,580115,580676,654916,46509,1642359,2819475,1177116,1177116,522200,96326,,-909.0,8.63,218427,15384.0,15444.0,585291,701425,,-154.0,10141,1625917,2796819,5176,5371
2015-05-05,1,2015,,,-8664,2846,2846.0,,,,,-263,,2761.0,1037.0,-263,1.68,-263.0,15918,59386,2015年01月01日至2015年03月31日,111739,111476,109610,109426,137239,-9582,388944,660427,271483,271483,134244,21859,,,1.6,52999,1636.0,1724.0,111739,127657,,,3764,387062,657666,2129,2050
2015-08-04,2,2015,,,-12733,2495,2495.0,,,,,-2748,,6579.0,1716.0,-2748,2.32,-2748.0,16699,54696,2015年第2季,158260,155512,156866,154654,188545,-13586,430622,760815,330193,330193,141648,29821,,,2.19,57131,553.0,4863.0,158260,174959,,,3348,429604,754236,1394,858
2015-11-05,3,2015,,,54698,2295,2295.0,,,,,3792,,2349.0,0.0,3792,3.01,3792.0,40838,65160,2015年第3季,203478,207270,203889,207180,191108,53208,454713,796739,342026,342026,150918,23547,,,2.83,62211,1360.0,2349.0,203478,244316,,,3785,453353,794390,-411,90
2016-03-10,4,2015,-2229.0,,31615,10211,10211.0,,,,,-7418,15171.0,13386.0,2976.0,-5189,9.12,-5189.0,92202,251114,2015年度,618970,611552,616481,609414,684517,26655,1748715,3023136,1274421,1274421,589904,98521,-2685.0,,8.56,240269,6378.0,10410.0,618970,711172,-456.0,,15171,1741625,3009750,2489,2138
2016-05-05,1,2016,,,-17236,2502,2502.0,,,,,676,,1749.0,31.0,676,1.75,676.0,27173,67346,2016年01月01日至2016年03月31日,121803,122479,118053,118947,167060,-18084,420521,738374,317853,317853,150793,22014,,,1.65,61433,1596.0,1718.0,121803,148976,,,3350,418925,736625,3750,3532
2016-07-25,2,2016,,,5750,2215,2215.0,,,,,-2792,,1577.0,0.0,-2792,2.5,-2792.0,31382,70895,2016年第2季,175016,172224,169109,166771,200487,5911,451973,803709,351736,351736,151249,23585,,,2.35,56769,865.0,1577.0,175016,206398,,,2054,451108,802132,5907,5453
2016-11-11,3,2016,,,-35175,2115,2115.0,,,6016.0,17369.0,-17074,,,,-17074,1.41,-17074.0,34072,80449,2016年第3季,98566,81492,97512,80803,181386,-48748,512792,911591,398799,398799,217413,31785,,,1.32,105179,,,98566,132638,,,15688,506776,894222,1054,689
