date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-14,1,2013,,,,-655.0,10890,6188,4163,4818,-0.35,-0.35,,3770.0,9536,2013年01月01日至2013年03月31日,-33487,-29324,-33487,-29324,-46296,16579,177846,180557,2711,2711,49007,2714,,,36757,-33487,-29717,,,,499
2013-08-12,2,2013,,,,0.0,1036,17602,684,684,-0.1,-0.1,,154.0,9709,2013年04月01日至2013年06月30日,-9485,-8801,-9485,-8801,-27571,18240,146039,155894,9855,9855,37426,2882,,,24835,-9485,-9331,,,,398
2013-11-12,3,2013,,,,0.0,-2346,6630,-4321,-4321,-0.19,-0.19,,178.0,10431,2013年07月01日至2013年09月30日,-18385,-22706,-18385,-22706,-22197,3990,146181,165488,19307,19307,41504,2915,,,28158,-18385,-18207,,,,294
2014-03-26,4,2013,,,,-655.0,8150,42306,3445,2930,-0.88,-0.88,,5825.0,39070,2013年01月01日至2013年12月31日,-83255,-79810,-83255,-79810,-124989,47559,575405,620317,44912,44912,169901,13113,,1410.0,117718,-83255,-77430,,240.0,,2897
2014-05-12,1,2014,,,,0.0,1270,9952,202,202,-0.28,-0.28,,879.0,9336,2014年01月01日至2014年03月31日,-26298,-26096,-26298,-26096,-36104,10685,87165,97719,10554,10554,46658,1589,,,35733,-26298,-25419,,,,537
2014-08-13,2,2014,,,,0.0,-7792,11935,-492,-492,-0.11,-0.11,,2741.0,8304,2014年第2季,-10481,-10973,-10481,-10973,-11607,3867,99762,121614,21852,21852,33459,1626,,,23529,-10481,-7740,,,,276
2014-11-12,3,2014,,,,0.0,4733,5359,1006,1006,-0.86,-0.86,,161.0,8691,2014年第3季,-81845,-80839,-81845,-80839,-90716,9032,82113,93926,11813,11813,102529,1974,,,91864,-81845,-81684,,,,1060
2015-03-16,4,2014,,,,0.0,-6332,33841,-2745,-3613,-1.39,-1.39,,710.0,33807,2014年度,-131771,-134516,-131771,-134516,-155788,24727,337892,397012,59120,59120,214908,6608,,1045.0,174493,-131771,-131061,,177.0,,2782
2015-05-12,1,2015,,,,,-1297,5222,-6687,-6687,-0.29,-0.29,-6687.0,12.0,9965,2015年01月01日至2015年03月31日,-27508,-34195,-27508,-34195,-30701,3205,59436,68727,9291,9291,39992,2530,,,27497,-27508,-27496,,,,720
2015-08-12,2,2015,,,,,-3450,4002,-2300,-2300,-0.16,-0.16,-2300.0,151.0,7607,2015年第2季,-14775,-17075,-14775,-17075,-15178,554,61256,75460,14204,14204,29382,1236,,,20539,-14775,-14624,,,,-2
2015-11-10,3,2015,,40500.0,0.82,,6855,2385,18665,18665,0.44,-0.38,18665.0,0.0,6118,2015年第3季,21643,40308,21643,40308,-28096,9239,26615,34846,8231,8231,36327,5153,,,25056,-18857,-18857,,,,1
2016-03-28,4,2015,0.0,30883.0,0.62,,-5571,13119,7847,7847,-0.51,-1.13,7847.0,0.0,24606,2015年度,-25304,-17457,-25304,-17457,-63730,7543,114246,148274,34028,34028,97758,10386,0.0,,62766,-56187,-56187,0.0,,,5
2016-05-11,1,2016,,0.0,0.0,,-3469,3637,-730,-730,-0.18,-0.18,-730.0,0.0,4088,2016年01月01日至2016年03月31日,-8806,-9536,-8806,-9536,-8973,167,29711,32730,3019,3019,11992,550,,,7354,-8806,-8806,,,,1
2016-08-10,2,2016,,0.0,0.0,,-2429,3084,-705,-705,-0.12,-0.12,-705.0,,4988,2016年第2季,-6006,-6711,-6006,-6711,-6659,653,32989,40373,7384,7384,14043,564,,,8491,-6006,-6006,,,,2
2016-11-10,3,2016,,0.0,0.0,,-6751,7544,-2056,-2056,-0.18,-0.18,-2056.0,3179.0,3526,2016年第3季,-8971,-11027,-8971,-11027,-6584,792,17005,19881,2876,2876,9460,160,,,5774,-8971,-5792,,,0.0,1
