date,season,year,不動產重估增值,不重分類至損益之項目總額（稅後）,保險業務淨收益,保險負債準備淨變動合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,其他不重分類至損益之項目,其他什項收入,其他什項淨利益（損失）,其他利息以外淨損益,其他利息以外淨收益,其他可能重分類至損益之項目,其他業務及管理費用,出售不良債權收入,出售不良債權淨利益（損失）,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金收入合計,手續費及佣金淨收益,投資性不動產損益,折舊及攤銷費用,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益（損失）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅後淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,資產減損損失,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-05-28,1,2013,,,308537,-97943,1059398,421582.0,,1014363,,,,450856,,,1491592,,,5686900,10894708,7588805,3305903,861176,3625495,,998256,0.54,,-1014569,,2447847,,193229,,,,,3663.0,,,,26424,2013年01月01日至2013年03月31日,,1423501.0,6187587,7611088,13275705,5310316,,,,0.54,6187587,7202156.0,,,,,,,-23314.0,,402789,1167,23848
2013-08-27,2,2013,,,388768,-62979,461402,-1487077.0,,886757,,561469.0,561469.0,1280653,1280653.0,,1543932,719184.0,719184.0,5469145,11276818,7688960,3587858,618512,3309106,,-516162,0.5,,-1838803,,2295735,,184080,,,,,-47183.0,,,,33992,2013年04月01日至2013年06月30日,,-2050422.0,5726651,3676229,13158105,5037118,,,,0.5,5726651,7565454.0,,,,,,,-194664.0,,316502,880,-8897
2013-11-26,3,2013,,,417326,38189,517056,516181.0,,439198,,516406.0,516406.0,1094177,1094177.0,,1661764,577771.0,577771.0,6439912,11824090,7585094,4238996,1316543,3578222,,-331517,0.55,,-951035,,2494938,,181221,,,,,-28443.0,,,26126.0,26126,2013年07月01日至2013年09月30日,,156221.0,6298032,6454253,14025006,5421207,,,,0.55,6298032,7249067.0,,,,,,,-67945.0,,1519036,7849,1934
2014-03-26,4,2013,,,1480026,-183695,2123657,-94537.0,,2947572,,,2194331.0,3898519,,,6486779,,1704188.0,23732342,46533690,31276126,15257564,5276424,15689350,,40248,1.96,,-4505513,,9789911,,739528,,,,,-24342.0,,,,203681,2013年01月01日至2013年12月31日,,-535261.0,22494569,21959308,55008468,22915657,,,-550157.0,1.96,22494569,27000082.0,,,,93527.0,,,-333187.0,,3622163,5337,5013
2014-05-27,1,2014,,,437448,3814,382738,528860.0,,879344,,351395.0,351395.0,1176554,1176554.0,,1558143,825159.0,825159.0,6431729,13425175,8706985,4718190,141186,3834789,,700665,0.65,,-1378476,,2518433,,179845,,,,,9290.0,,,,26614,2014年01月01日至2014年03月31日,,1238815.0,8042461,9281276,15138714,5572777,,,,,8042461,9420937.0,,0.65,,,,13362.0,,-13362.0,1023960,-118,8321
2014-08-26,2,2014,,,376862,-68660,629974,1597658.0,,508227,,,463139.0,834247,834247.0,,1688705,,371108.0,6678959,14117024,9214287,4902737,521118,3651979,,-545980,0.65,,-1838252,,2549599,,178284,,,,,37641.0,,,,20866,2014年第2季,,1089319.0,8083568,9172887,15893246,5518968,,,,0.65,8083568,9921820.0,,,,,,,,-71982.0,1831166,-9292,-7317
2014-11-25,3,2014,,,346754,-8749,695694,-1013852.0,,684404,,,235695.0,293076,293076.0,,2026013,,57381.0,5571349,14291348,9387644,4903704,502192,3548787,,213612,0.62,,-1046767,,3113454,,162631,,,,,-35618.0,,,,40078,2014年第3季,,-835858.0,7681352,6845494,14958993,5737431,,,,0.62,7681352,8728119.0,,,,,,,,-208367.0,606256,-9471,-26229
2015-03-24,4,2014,,,1529154,-207527,1812054,1686320.0,,3283164,,,1183348.0,2481160,,,7340324,,1297812.0,23830787,56213248,36674180,19539068,1588465,15751179,,1496054,2.43,,-5089109,,11121423,,703700,,,,,78164.0,,,,152363,2014年度,,3176516.0,30239717,33416233,60504967,23795203,,,-101231.0,2.43,30239717,35328826.0,,,,17209.0,,,,-374423.0,3825892,-18947,-19828
2015-05-26,1,2015,0.0,0.0,415089,-42052,741601,,-21750.0,457842,0.0,,194152.0,267676,,,1904715,,73524.0,5995071,14212828,9151553,5061275,-62659,3794409,,-1361455,0.66,-1377785.0,-1162072,2639577.0,2639577,532060.0,185229,,0.0,0.0,,,0.0,5420.0,,54434,2015年第1季,-1377785.0,,8204910,6827125,15146624,5884353,,0.0,,0.66,8204910,,9366982.0,,0.0,,,,,-814.0,887606,-966,1562
2015-08-25,2,2015,0.0,0.0,347790,-71121,350977,,-865360.0,528218,0.0,,510095.0,598524,598524.0,,2036790,,88429.0,5007460,14089876,9243824,4846052,-1853999,3867416,,-620515,0.59,-1558360.0,-2864850,,2747691,5529.0,159013,,0.0,0.0,,,0.0,-72485.0,,99317,2015年第2季,-1558360.0,,7248335,5689975,14251284,6063219,,0.0,,0.59,7248335,,10113185.0,,0.0,,,,,-264221.0,593635,-64844,-5674
