date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,裝置成本,裝置收入淨額,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2014,,,291,-6459,1001,1001,4866,,5875,98825,106196,5584,0.12,,,10470,-112,26405,2014年01月01日至2014年03月31日,33774,39649,33774,39653,54218,-9974,616156,709783,93627,93627,44275,,,0.12,,17870,33774,44244,,98825,106196,4404,517331,105,603692,603587,0.0,0,-4
2013-05-10,1,2013,,,8533,-7594,1991,1991,4859,,11710,77887,80778,3177,0.04,,,2591,-20,23308,2013年01月01日至2013年03月31日,12030,23740,12030,23725,23637,-9016,436685,495672,58987,58987,40209,,,,,16901,12030,14621,,77887,80778,3393,358798,74,414968,414894,0.0,0,15
2013-08-09,2,2013,,,-10078,-2567,1477,1477,4718,,-8134,90181,96692,1944,0.26,0.26,,8578,-40,20530,2013年04月01日至2013年06月30日,75094,66960,75094,66975,88559,-4887,686329,806594,120265,120265,36424,,,,,15894,75094,83672,,90181,96692,3757,596148,172,710396,709902,322.0,0,-15
2013-11-12,3,2013,,,26676,6537,29588,29588,5024,,25660,98021,109395,-1016,0.28,0.28,,14844,-1396,21696,2013年07月01日至2013年09月30日,78589,104249,78575,104209,62615,30818,557404,652515,95111,95111,37520,,,,,15824,78589,93433,,98021,109395,3911,459383,344,543464,543120,0.0,14,40
2014-03-26,4,2013,,0.0,78456,-32832,34266,34266,19453,1626.0,79711,423090,504310,9196,0.87,0.87,,45781,-1967,99184,2013年01月01日至2013年12月31日,245731,325442,245723,325392,307771,-16259,2445409,2902598,457189,457189,168871,,-9567.0,0.87,0.87,69687,245731,291512,,423090,504310,15726,2022319,789,2399400,2398288,323.0,8,50
2014-08-12,2,2014,,,31087,23804,1098,1098,4828,,23414,177116,171846,-7673,0.21,0.21,,598,-2458,20996,2014年第2季,58764,82178,58764,82135,41631,17731,741870,815047,73177,73177,36374,,,,,15378,58764,59362,,177116,171846,4713,564754,1985,651492,643201,6306.0,0,43
2014-11-10,3,2014,,,-5753,-558,28597,28597,4675,,2236,124932,133228,7989,0.14,0.14,,10282,-140,21129,2014年第3季,39559,41795,39540,41787,26586,23255,485480,546066,60586,60586,38675,,,,,17546,39559,49841,,124932,133228,4644,360548,1640,414478,412838,0.0,19,8
2015-03-26,4,2014,,0.0,96637,135811,33232,33232,19096,1391.0,110734,488572,492277,20888,0.88,0.88,,40994,-3235,91891,2014年度,250603,361337,250585,361294,143271,148326,2339174,2627354,288180,288180,164005,,-8182.0,0.88,0.88,72114,250603,291597,,488572,492277,17482,1850602,3942,2145325,2135077,6306.0,18,43
2015-05-14,1,2015,,,14043,106406,2120,2120,4904,,9707,73019,77856,-4336,0.39,,9707.0,2491,-85,21742,2015年01月01日至2015年03月31日,111861,121568,111861,121563,9293,105059,578469,624407,45938,45938,41549,,,0.39,,19807,111861,114352,,73019,77856,3382,505450,489,547040,546551,,0,5
2015-08-12,2,2015,,,1531,2097,1957,1957,4561,,-4145,56370,59306,-5676,0.17,0.17,-4145.0,-10616,-2979,20299,2015年第2季,47923,43778,47923,43783,39417,-2110,742912,813349,70437,70437,35581,,,,,15282,47923,37307,,56370,59306,3185,686542,1396,755882,754043,443.0,0,-5
2015-11-12,3,2015,,,-139455,103600,26003,26003,4609,,-116260,112243,129113,23195,0.52,,-116260.0,11359,-69,27740,2015年第3季,147280,31020,147261,31075,33175,125464,690918,765538,74620,74620,46054,,,0.52,,18314,147280,158639,,112243,129113,4070,578675,460,637124,636425,239.0,19,-55
2016-03-25,4,2015,-13164.0,0.0,-73982,270092,38016,38016,18170,,-78460,411346,455256,8686,1.96,1.96,-65296.0,-10405,-3678,86360,2015年度,445822,367362,445806,367342,145835,289582,2772275,3051353,279078,279078,151413,-15861.0,,1.96,1.96,65053,445822,435417,-2697.0,411346,455256,14848,2360929,2653,2599432,2596097,682.0,16,20
2016-05-11,1,2016,,,2664,97034,2835,2835,3862,,-3776,59871,52943,-6440,0.34,0.34,-3776.0,11000,-6103,27215,2016年01月01日至2016年03月31日,76401,72625,76401,72816,-2209,89610,532021,571010,38989,38989,45060,,,0.34,0.34,17845,76401,87401,,59871,52943,4156,472150,679,518746,518067,,0,-191
2016-08-10,2,2016,,,3236,27546,5513,5513,3666,,-24716,95189,87401,-27952,0.32,0.32,-24716.0,37953,19,22923,2016年第2季,72825,48109,72824,48139,81986,28792,629012,746123,117111,117111,38791,,,,,15868,72825,110778,,95189,87401,4286,533823,1444,660166,658722,0.0,1,-30
2016-11-10,3,2016,,,12303,81028,22252,22252,3541,,8905,72355,74492,-3398,0.8,,8905.0,15141,-64,24563,2016年第3季,182623,191528,182371,190900,98627,99137,796020,934304,138284,138284,43198,,,0.8,,18635,182623,197764,,72355,74492,4079,723665,15589,875401,859812,0.0,252,628
