date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-12,2,2013,,10358,31782,35679,41108,1.17,1.17,,67421,,1878,37279,,473911,2013年01月01日至2013年06月30日,297255,332934,296551,326859,293714,70962,1226861,2345304,1118443,1118443,824729,198332,,,1.16,1.16,152486,297255,364676,,7307,,8457,704,6075
2014-03-31,4,2013,,-2766,84398,-78284,12218,2.49,2.49,,127305,,-376,62376,,948489,2013年01月01日至2013年12月31日,632095,553811,631741,547198,632570,126830,2555998,4777733,2221735,2221735,1589165,340806,,-107365,2.47,2.47,299870,632095,759400,,-17239,,17178,354,6613
2014-08-08,2,2014,,-3221,43721,3711,-13660,1.41,1.41,,83997,,17371,30851,,492328,2014年上半年度,357866,361577,358362,363611,377710,64153,1382844,2591356,1208512,1208512,830802,176277,,0,1.41,1.41,162197,357866,441863,,0,,7198,-496,-2034
2015-03-27,4,2014,,-53262,96282,52814,59009,2.87,2.87,,163784,,-227,73515,,984016,2014年度,735182,787996,727108,771018,797032,101934,2792093,5279553,2487460,2487460,1690428,378785,,3072,2.84,2.84,327627,735182,898966,,9040,,14601,8074,16978
2015-08-07,2,2015,,-8546,63012,-102217,-39186,2.66,2.66,-102217,91930,,,51668,-63031,475321,2015年上半年度,410641,308424,408919,313422,404873,97698,1402902,2619363,1216461,1216461,811588,170652,,,2.62,2.62,165615,410641,502571,,,,8436,1722,-4998
2016-03-25,4,2015,-33422,11661,92701,-58084,-24662,5.56,5.56,-24662,180544,-1923,,68658,0,853403,2015年度,856477,798393,854215,802851,872436,164585,2484669,4783205,2298536,2298536,1426100,298748,-37951,,5.48,5.48,273949,856477,1037021,-6452,,0,8435,2262,-4458
2016-08-04,2,2016,,2699,196304,0,0,3.40,3.40,0,73183,,,13194,0,393273,2016年上半年度,523307,523307,523209,523209,384744,211746,1152950,2253588,1100638,1100638,715894,182013,,,3.36,3.36,140608,523307,596490,,,,451,98,98
