date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,分期付款銷貨收入,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,專櫃銷貨收入（百貨業適用）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估價之利益（損失）,重估增值,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,5791.0,33187,160,,5791,,,,,-0.29,,,14,,,,4078,,,,,,,54395,2013年01月01日至2013年03月31日,-57969,-52178,,-51389,-45761,-82519,24564,767847,788657,20810,20810,103329,,16177,,,,32757,-57969,-57955,,,,12861,,,767847.0,767847,,793687,793687,788657,5030.0,-6580,-6417
2013-08-13,2,2013,,,,14774,9005,16952.0,16952,,,,,-0.18,,,2887,,,,-2585,,,,,,,44465,2013年04月01日至2013年06月30日,-11355,5597,,-32198,-14627,-16631,8163,948354,1027377,79023,79023,95654,,12467,,,,38722,-11355,-8468,,,,13031,,,948354.0,948354,,1035141,1035141,1027377,7764.0,20843,20224
2013-11-13,3,2013,,,,17182,106,,-12373,,,,,-0.26,,,-1051,,,,-928,,,,,,,49951,2013年07月01日至2013年09月30日,-69354,-81727,,-62941,-75620,-73679,3274,838928,863891,24963,24963,98642,,15203,,,-0.26,33488,-69354,-70405,,12373.0,,13086,,,838928.0,838928,10269.0,874160,874160,863891,,-6413,-6107
2014-03-31,4,2013,,,36725.0,84741,10772,,42093,,,,307.0,-0.79,,,2773,,,,1615,,,,,,,164291,2013年01月01日至2013年12月31日,-161312,-119219,,-172717,-132874,-203186,44647,3534152,3721136,186984,186984,390170,,57225,,5636.0,,168654,-161312,-158539,,575.0,,52481,,,3534152.0,3534152,,3755994,3755994,3721136,34858.0,11405,13655
2014-03-31,1,2014,,,-5171.0,8654,62,,-5171,,,,,-0.32,,,143,,,,-988,,,,,,,38842,2014年01月01日至2014年03月31日,-104812,-109983,,-91990,-97189,-98692,-5977,775688,769981,-5707,-5707,92985,,13457,,,,40686,-104812,-104669,,,,13705,,,775688.0,775688,,777788,777788,769981,7807.0,-12822,-12794
2014-06-30,2,2014,,,12091.0,43780,9049,,189965,,,,,-0.11,,,8592,,,,-1585,,,,,,,40761,2014年第2季,-38480,151485,,-36585,153309,-67060,37172,823840,851060,27220,27220,94280,,12973,,,,40546,-38480,-29888,,,,14072,177874.0,,823840.0,823840,,858092,858092,851060,7032.0,-1895,-1824
2014-09-30,3,2014,,,-14994.0,22545,9,,-14994,,,,,-0.5,,,13,,,,5659,,,,,,,44857,2014年第3季,-58137,-73131,,-59544,-74490,-71925,13801,964710,993014,28304,28304,100229,,12744,,,,42628,-58137,-58124,,,,14412,0.0,,964710.0,964710,,1003150,1003150,993014,10136.0,1407,1359
2014-12-31,4,2014,,,-11425.0,433226,9556,,169426,,,,1055.0,0.46,,,31726,,,-2237.0,7839,,,,,,,171198,2014年度,-6201,163225,,52571,221261,-368249,393774,3441565,3455795,14230,14230,382479,,47837,,4496.0,,163444,-6201,25525,,337.0,,56847,177874.0,,3441565.0,3441565,,3492933,3492933,3455795,37138.0,-58772,-58036
2015-03-31,1,2015,0.0,0.0,13492.0,6187,162,,13810,0.0,0.0,0.0,0.0,-0.52,0.0,13810.0,55,0.0,0.0,,-104,318.0,318.0,0.0,0.0,0.0,0.0,38112,2015年第1季,-68561,-54751,0.0,-61589,-47799,-59875,-8631,618600,649528,30928,30928,90803,0.0,12685,0.0,,,40006,-68561,-68506,0.0,,0.0,14876,,0.0,,618600,0.0,655495,655495,649528,5967.0,-6972,-6952
2015-06-30,2,2015,,0.0,-12243.0,21948,12865,,-6974,,,,,-1.07,,-6974.0,-1044,,,,2317,5269.0,5269.0,,,,,31905,2015年第2季,-123745,-130719,,-126750,-133697,-138731,13942,855843,801589,-54254,-54254,84477,,12883,,,,39689,-123745,-124789,0.0,,0.0,23188,,0.0,855843.0,855843,,814602,814602,801589,13013.0,3005,2978
2015-09-30,3,2015,,0.0,-31122.0,11624,74,,-30883,,,,,-0.55,,-30883.0,554,,,,421,239.0,239.0,,,,,37792,2015年第3季,-65955,-96838,,-65363,-96220,-54531,-10870,713941,754915,40974,40974,95505,,14969,,,,42744,-65955,-65401,0.0,,0.0,22989,,0.0,,713941,,761523,761523,754915,6608.0,-592,-618
2015-12-31,4,2015,,2116.0,-12867.0,186810,13173,,1456,,,,0.0,-2.25,,-660.0,59613,,,,4782,,12207.0,,,,,150282,2015年度,-270738,-269282,,-266859,-274836,-329054,117929,3053157,3102891,49734,49734,378788,,54570,2913.0,,-2.25,173936,-270738,-211125,797.0,,,86836,,0.0,3053157.0,3053157,,3134959,3134959,3102891,32068.0,-3879,5554
2016-03-31,1,2016,,,-4710.0,9977,102,,-5444,,,,,-0.82,,-5444.0,-3610,,,,-415,-734.0,-734.0,,,,,42012,2016年01月01日至2016年03月31日,-110848,-116292,,-98690,-103972,-98094,-16364,651961,647448,-4513,-4513,93581,,14266,,,,37303,-110848,-114458,,,,26028,,,,651961,,651762,651762,647448,4314.0,-12158,-12320
