date,season,year,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,無形資產減損損失,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2012-05-13,1,2013,654.0,,162,850,29144,7957.0,0.0,13377,9876.0,32.0,15923,-0.16,,-5187.0,,7662,-1571.0,,-1571,72188,2013年01月01日至2013年03月31日,,-48227,-34850,-48227,-34850,,,-68956,28391,473059,861099,388040,388040,456996,7662.0,306809,11311.0,-0.16,77999,-48227,-40565,,2708.0,,,2.0,717.0,,32,-4398.0,,,9876.0,473059.0,473059.0,1436,873867,873867,861099,11332
2013-08-13,2,2013,-402.0,0.0,-217,899625,19520,5595.0,,8740,13636.0,16.0,10790,3.13,2758.0,,,36179,1602.0,,1602,38651,2013年04月01日至2013年06月30日,,916721,925461,916721,925461,,,32169,920731,519202,955183,435981,435981,403812,36179.0,265858,289.0,3.08,99303,916721,952900,,1833.0,,896945.0,,0.0,,16,-480.0,,,13636.0,519202.0,519202.0,2469,979167,979167,955183,21515
2013-11-11,3,2013,-30.0,,-496,-12043,19781,6346.0,,-2969,13187.0,16.0,-2979,-0.15,-12730.0,,,39619,551.0,,551,62863,2013年07月01日至2013年09月30日,,-44001,-46970,-44001,-46970,,,-12655,8273,617622,1058707,441085,441085,453740,39619.0,290603,157.0,-0.15,100274,-44001,-4382,91.0,-506.0,,-45.0,,0.0,,16,702.0,,,13187.0,617622.0,617622.0,332,1091173,1091173,1058707,32134
2014-03-17,4,2013,,,-1168,892908,90339,,,31012,,,38448,3.05,,,,112866,,,282,258312,2013年01月01日至2013年12月31日,,890788,921800,890788,921800,,,20205,983449,2277375,4155584,1878209,1878209,1858004,,1196463,,2.98,403229,890788,1003654,,6268.0,,,,,,80,,,,,2277375.0,2277375.0,6603,4225813,4225813,4155584,63626
2014-05-13,1,2014,613.0,,331,-554,22028,6475.0,,1070,15385.0,16.0,1214,0.28,4114.0,,,10242,0.0,,0,87385,2014年01月01日至2014年03月31日,,82749,83819,82749,83819,,,71533,21458,558453,1108030,549577,549577,478044,10242.0,301629,168.0,0.28,89030,82749,92991,,475.0,,,45.0,,,16,,4010.0,,15385.0,558453.0,558453.0,860,1109436,1109436,1108030,546
2014-08-14,2,2014,-286.0,,-901,-12380,18731,1887.0,,-7749,16671.0,8.0,-8251,0.12,0.0,12615.0,,14910,0.0,,0,80635,2014年第2季,,33680,25931,33680,25931,,,42247,6343,542663,1016890,474227,474227,431980,14910.0,278005,173.0,0.11,73340,33680,48590,,-1403.0,,0.0,475.0,,,8,424.0,0.0,,16671.0,,,10531,1030941,1030941,1016890,3520
2014-11-12,3,2014,3.0,,-2027,-8260,19694,4952.0,,5953,14523.0,2.0,9614,0.38,15046.0,,,21890,0.0,,0,104663,2014年第3季,,112250,118203,112250,118203,25965.0,,122708,11432,798154,1395830,597676,597676,474968,21890.0,291762,169.0,0.38,78543,112250,134140,50.0,1634.0,,0.0,117.0,1690.0,,2,1089.0,,25965.0,14523.0,,,4948,1417171,1417171,1395830,16393
2015-03-17,4,2014,332.0,,-2713,-3071,77328,14890.0,,9912,61703.0,42.0,15534,0.9,29640.0,,,48006,0.0,0.0,0,357865,2014年度,,264650,274562,264650,274562,31234.0,5269.0,238441,74215,2584996,4647395,2062399,2062399,1823958,48006.0,1143803,685.0,0.88,322290,264650,312656,50.0,2909.0,,,1512.0,1702.0,0.0,42,,1335.0,25965.0,61703.0,2584996.0,2584996.0,23396,4704004,4704004,4647395,33213
2015-05-14,1,2015,548.0,,1585,5442,17972,1519.0,,-8425,15196.0,21.0,-12059,0.0,2148.0,,-8425.0,4937,0.0,,0,65640,2015年01月01日至2015年03月31日,4937.0,623,-7802,623,-7802,,,-17833,23393,530090,909890,379800,379800,397633,,260953,1257.0,0.0,71040,623,5560,,,-2049.0,0.0,29.0,2991.0,,21,880.0,0.0,,15196.0,530090.0,530090.0,14300,941172,941172,909890,16982
2015-07-30,2,2015,241.0,,1510,-7979,19133,2913.0,,-1822,14430.0,66.0,-4015,-0.46,0.0,8689.0,-1822.0,-21197,0.0,,0,60269,2015年第2季,-21197.0,-135407,-137229,-135407,-137229,,,-167692,11088,403323,658485,255162,255162,422854,,286553,1790.0,-0.46,76032,-135407,-156604,,,-683.0,0.0,191.0,-23.0,,66,1165.0,0.0,,14430.0,,,6998,694411,694411,658485,28928
