date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,5565,29980,566805,69714,,64149,0.92,,54999,,-1646,42718,2013年01月01日至2013年03月31日,437149,506863,442137,511851,-53283,545431,2691394,2888362,196968,196968,250251,,90026,,,0.88,117507,437149,492148,,0.0,,49708,,,2911043,2888362,22681,-4988,-4988
2013-08-02,2,2013,,-40425,31141,11063,-29158,,11267,0.59,,48981,,-5477,97635,2013年04月01日至2013年06月30日,300601,271443,306742,277552,352233,-2651,3174614,3844652,670038,670038,317805,,84492,,,0.58,135678,300601,349582,,0.0,,39378,,,3864641,3844652,19989,-6141,-6109
2013-11-04,3,2013,,-6738,-9677,11660,-51340,37824.0,-44602,0.35,,21157,218.0,218,74873,2013年07月01日至2013年09月30日,176895,125555,182596,131315,233675,-35623,3152418,3695751,543333,543333,309658,21157.0,94921,,,0.34,139864,176895,198052,,0.0,,37824,3152418.0,3152418.0,3785062,3695751,89311,-5701,-5760
2014-03-10,4,2013,,-44293,65061,665397,38606,165807.0,60786,1.91,,137087,-13997.0,-13997,287725,2013年01月01日至2013年12月31日,947809,986415,979563,1018216,534242,550654,12005060,13751666,1746606,1746606,1212364,137087.0,366137,,22113.0,1.86,558502,947809,1084896,,0.0,,165807,12005060.0,12005060.0,13922938,13751666,171272,-31754,-31801
2014-05-12,1,2014,,-10780,-11726,17543,46013,,56793,0.05,,2333,,-9928,79362,2014年01月01日至2014年03月31日,21060,67073,26733,72733,70209,-46816,2820912,3222384,401472,401472,331263,,95699,,,0.05,156202,21060,23393,,0.0,,42705,2820912.0,2820912.0,3236536,3222384,14152,-5673,-5660
2014-08-13,2,2014,,-18864,-21850,18178,-80157,,-61293,0.32,,23342,,2132,83094,2014年第2季,163396,83239,167568,87513,219176,-32438,3244609,3792690,548081,548081,328905,,97923,,,0.29,147888,163396,186738,,0.0,,30898,3244609.0,3244609.0,3823781,3792690,31091,-4172,-4274
2014-11-05,3,2014,,-9433,5431,18633,38944,,48377,0.59,,54185,,-1495,85984,2014年第3季,309268,348212,312553,351385,367923,-4470,3470564,4172885,702321,702321,334398,,112689,,,0.54,135725,309268,363453,,0.0,,27039,3470564.0,3470564.0,4197774,4172885,24889,-3285,-3173
2015-03-10,4,2014,,-47162,14588,69055,141547,,185770,1.17,,123745,,-12694,338134,2014年度,615662,757209,629860,771365,800846,-61439,12392047,14517137,2125090,2125090,1324244,,432110,,2939.0,1.09,554000,615662,739407,,0.0,,132388,12392047.0,12392047.0,14633145,14517137,116008,-14198,-14156
2015-05-13,1,2015,,-674,9054,11814,-42754,,-42080,0.26,-42754.0,21260,,-2583,89435,2015年01月01日至2015年03月31日,159591,116837,162664,120267,187126,-6275,2966579,3501896,535317,535317,348191,,132180,,,0.25,126576,159591,180851,,,0.0,24560,2966579.0,2966579.0,3528993,3501896,27097,-3073,-3430
2015-08-05,2,2015,,-22234,15878,17484,-58623,,-36389,0.07,-58623.0,3485,,3945,98536,2015年第2季,40787,-17836,43155,-15086,30313,13959,3214807,3599864,385057,385057,354744,,139269,,,0.07,116939,40787,44272,,,0.0,23348,3214807.0,3214807.0,3625484,3599864,25620,-2368,-2750
2015-11-04,3,2015,,-9971,127609,17676,220482,,230453,0.06,220482.0,2192,,1809,138630,2015年第3季,35920,256402,35920,256402,-89287,127399,3218276,3517783,299507,299507,388794,,142321,,,0.06,107843,35920,38112,,,0.0,19695,3218276.0,3218276.0,3593239,3517783,75456,0,0
2016-03-07,4,2015,190.0,-38808,174712,75228,98027,,136645,0.45,97837.0,34650,,10873,450505,2015年度,269748,367775,275189,373955,130799,173599,12632960,14230534,1597574,1597574,1466775,,562834,190.0,,0.44,453436,269748,304398,0.0,,0.0,87214,12632960.0,12632960.0,14412636,14230534,182102,-5441,-6180
2016-05-11,1,2016,,17113,42316,6460,-78009,,-95122,-0.03,-78009.0,-240,,-844,92823,2016年01月01日至2016年03月31日,-17609,-95618,-17609,-95618,-48171,30322,3106185,3390327,284142,284142,332313,,139445,,,0.0,100045,-17609,-17849,,,0.0,17610,3106185.0,3106185.0,3461434,3390327,71107,0,0
