date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,72872,14428,,53689,26517,53689,2.35,,,92729,186614,2013年01月01日至2013年03月31日,388898,442587,389773,441794,420844,60783,2227899,3135812,907913,907913,487069,164451,,,2.33,,136004,388898,481627,,,26517,3135812.0,-875,793
2013-08-09,2,2013,,38337,38310,,38015,28008,44639,2.09,2.09,,118562,221183,2013年04月01日至2013年06月30日,344976,382991,345901,382749,414899,48639,2418365,3417414,999049,999049,584150,203187,,,2.07,2.07,159780,344976,463538,6624.0,,28008,,-925,242
2013-11-07,3,2013,,-47616,17850,-105173.0,-12660,27878,-15141,1.36,1.36,,52970,198100,2013年07月01日至2013年09月30日,221486,208826,224893,212781,332100,-57644,2502818,3463251,960433,960433,523160,176580,,,1.35,1.35,148480,221486,274456,-2481.0,,27878,,-3407,-3955
2014-03-24,4,2013,,90050,98174,-133896.0,105786,111383,117958,8.06,8.06,,345300,814230,2013年01月01日至2013年12月31日,1331419,1437205,1337253,1439877,1599878,76841,9730403,13639496,3909093,3909093,2175319,751111,,-2730.0,8.01,8.01,609978,1331419,1676719,9442.0,,111383,,-5834,-2672
2014-05-08,1,2014,,56885,16336,,18537,34676,22190,2.61,2.61,,108097,205595,2014年01月01日至2014年03月31日,429924,448461,432632,450465,499476,38545,2637266,3672960,1035694,1035694,536218,177957,,,2.59,2.59,152666,429924,538021,3653.0,,34676,,-2708,-2004
2014-08-07,2,2014,,-73478,38414,,-33400,31895,-40037,1.99,1.99,,137270,239445,2014年第2季,325336,291936,329385,296982,529565,-66959,2621284,3715883,1094599,1094599,565034,167294,,,1.97,1.97,158295,325336,462606,-6637.0,,31895,,-4049,-5046
2014-11-13,3,2014,,57964,15514,0.0,29808,30625,35746,2.44,2.44,,85341,217098,2014年第3季,400802,430610,404891,433883,443290,42853,2544952,3529238,984286,984286,540996,176430,,,2.43,2.43,147468,400802,486143,5938.0,,30625,,-4089,-3273
2015-03-26,4,2014,,209277,93216,0.0,86450,138747,108384,10.07,10.07,,432989,898573,2014年度,1656644,1743094,1670101,1754079,1925887,163746,10496938,14711547,4214609,4214609,2288722,760903,,-4734.0,10.0,10.0,629246,1656644,2089633,17200.0,,138747,,-13457,-10985
2015-05-07,1,2015,,-112373,17590,,-25693,39819,-30830,1.74,1.74,-25693.0,52347,251058,2015年01月01日至2015年03月31日,286840,261147,289259,264180,473789,-134602,2475666,3528366,1052700,1052700,578911,173951,,,1.73,1.73,153902,286840,339187,,-5137.0,39819,,-2419,-3033
2015-08-10,2,2015,,-36415,26997,,-13355,40226,-16013,1.64,1.64,-13355.0,149888,230225,2015年第2季,268675,255320,271462,258484,468207,-49644,2541506,3601469,1059963,1059963,591756,191815,,,1.62,1.62,169716,268675,418563,,-2658.0,40226,,-2787,-3164
2015-11-12,3,2015,,317427,18846,,19821,46133,23726,3.82,3.82,19821.0,90487,212703,2015年第3季,630894,650715,633381,652448,431241,290140,2608733,3658715,1049982,1049982,618741,230878,,,3.8,3.8,175160,630894,721381,,3905.0,46133,,-2487,-1733
2016-03-23,4,2015,-3209.0,53510,116519,,-73736,175604,-70527,9.45,9.45,-70527.0,396788,908109,2015年度,1550370,1476634,1566449,1498789,1952733,-5575,10676359,15069146,4392787,4392787,2440054,830594,-3209.0,,9.36,9.36,701351,1550370,1947158,,,175604,,-16079,-22155
2016-05-10,1,2016,,-78571,21763,,-25255,51780,-25255,2.48,2.48,-25255.0,138080,245320,2016年01月01日至2016年03月31日,408251,382996,410817,388928,654919,-108588,2880474,4140931,1260457,1260457,605538,184376,,,2.46,2.46,175842,408251,546331,,,51780,,-2566,-5932
2016-08-05,2,2016,,-78178,41981,,-53432,53035,-53432,1.4,1.4,-53432.0,151328,241143,2016年第2季,229311,175879,233070,186768,469871,-89232,2714220,3820237,1106017,1106017,636146,203501,,,1.4,1.4,191502,229311,380639,,,53035,,-3759,-10889
2016-11-10,3,2016,,-179382,70112,,-68784,47619,-68784,0.71,0.71,-68784.0,54712,228073,2016年第3季,114440,45656,116831,59062,326041,-156889,2861917,3785308,923391,923391,597350,190448,,,0.7,0.7,178829,114440,169152,,,47619,,-2391,-13406
