date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,-685,5896,6066,,,634,6134,,59915,6273,71705,0.0,0.0,,,,,4386,,5893,,63421,2013年01月01日至2013年03月31日,446,60361,933,54463,-6750,11582,859644,978909,119265,119265,126649,28619,,,0.0,0.0,34609,446,4832,,11105.0,,,6273,,,,859644,972775,,-487,5898
2013-08-08,2,2013,,,1015,6794,10577,,,-502,8775,,17510,5489,18645,0.01,,,,,,1111,860.0,9247,,64177,2013年04月01日至2013年06月30日,2570,20080,2914,18630,-17448,21129,977920,1101449,123529,123529,140475,30953,,,0.01,,45345,2570,3681,,3010.0,,,5489,,,,977920,1092674,,-344,1450
2013-11-04,3,2013,,,82,-10082,5187,,,0,7179,,-15342,6824,-17359,-0.11,-0.11,,,,,-693,-892.0,1315,,86249,2013年07月01日至2013年09月30日,-24459,-39801,-23684,-37425,-14748,-10404,964613,1097051,132438,132438,147186,31215,,,-0.11,-0.11,29722,-24459,-25152,,-2827.0,,,6824,,,,964613,1089872,,-775,-2376
2014-03-24,4,2013,,,-3384,4371,43243,43243.0,-19541.0,-19541,28365,-15412.0,91360,25523,105259,-0.18,-0.18,,,0.0,,6354,11565.0,22767,,318126,2013年01月01日至2013年12月31日,-39391,51969,-38605,39226,-77895,44858,4049365,4589039,539674,539674,598028,128828,,-6668.0,-0.18,-0.18,151074,-39391,-33037,,,,,25523,,,,4049365,4560674,,-786,12743
2014-05-02,1,2014,,,-1790,-1197,17755,,,-10656,60043,,19915,8544,28040,0.03,,,,,,1842,-1372.0,4941,,80560,2014年01月01日至2014年03月31日,2368,22283,6568,27946,-8745,12955,1013766,1175205,161439,161439,159528,34329,,,,,44639,2368,4210,,4963.0,,,8544,,,,1013766,1115162,,-4200,-5663
2014-08-04,2,2014,,,-4647,-357,10428,,,4751,62278,,-42968,7239,-41939,0.12,0.12,,,,,742,-2850.0,4602,,76435,2014年第2季,26650,-16318,26255,-11231,19958,7434,1068246,1224287,156041,156041,140834,33860,,,0.12,0.12,30539,26650,27392,,-6468.0,,,7239,,,,1068246,1162009,,395,-5087
2014-11-03,3,2014,,,-1550,5347,6899,,,-400,50459,,32622,9561,37587,0.03,0.03,,,,,473,1373.0,7401,,80350,2014年第3季,7968,40590,7165,30891,-1645,10086,1236870,1397637,160767,160767,162012,33644,,,0.03,0.03,48018,7968,8441,,4788.0,,,9561,,,,1236870,1347178,,803,9699
2015-03-16,4,2014,,9519.0,-19858,851039,64144,44184.0,,-28452,235269,,51660,33770,94071,4.14,4.14,110467.0,99610.0,19960.0,,7479,-2849.0,16944,,392308,2014年度,891104,942764,895101,930056,226,898357,4878192,5684574,806382,806382,777704,144596,,-8095.0,4.11,4.11,240800,891104,898583,,11609.0,,850475.0,33770,0.0,774.0,,4878192,5449305,,-3997,12708
2015-05-05,1,2015,,,1530,-2401,16339,,,573,55011,,-27238,9878,-32329,0.28,0.28,,,,-27238.0,20038,,0,0.0,113956,2015年01月01日至2015年03月31日,80139,52901,59627,35925,96117,4060,1284980,1576218,291238,291238,195694,35424,,,0.28,0.28,46314,80139,100177,,,-3561.0,,9878,,,,1284980,1521207,,20512,16976
2015-08-05,2,2015,,,42837,25323,26377,,,-3483,68089,,24355,10883,-21360,0.32,0.32,,,,24355.0,46988,,0,0.0,79902,2015年第2季,105618,129973,69502,81725,111789,40817,1298371,1569720,271349,271349,156077,36716,,,0.31,0.31,39459,105618,152606,,,-2878.0,,10883,,,,1298371,1501631,,36116,48248
