date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,-52,21189,,,,0.38,0.0,,-107,-467,25143,2013年01月01日至2013年03月31日,0.0,,45617,45617,45617,45617,26341,19169,647528,717651,70123,70123,43782,,,,0.38,18639,45617,45510,,,,1501,0.0,
2013-08-13,2,2013,,0.0,-221,1342,0.0,0.0,,0.29,,,671,-847,53577,2013年04月01日至2013年06月30日,,,34247,34247,34247,34247,35112,-194,599779,708784,109005,109005,73893,,,,0.29,20316,34247,34918,,,,468,0.0,0.0
2013-11-12,3,2013,,,-244,1531,,,,2.63,,,-624,-986,45750,2013年07月01日至2013年09月30日,,,395125,395125,395125,395125,394713,-212,1492933,1972573,479640,479640,84927,,,,2.63,39177,395125,394501,,,,513,,
2014-03-18,4,2013,,,-414,27132,,1017.0,,4.05,,,-1008,-3025,152776,2013年01月01日至2013年12月31日,,,606874,607891,606874,607891,585247,20619,3704106,4552161,848055,848055,262808,-1008.0,,1225.0,4.03,110032,606874,605866,,208.0,,3074,,
2014-04-29,1,2014,,,97,1960,,,,0.49,,,-162,-918,57263,2014年01月01日至2014年03月31日,,,73521,73521,73521,73521,72517,842,545189,699329,154140,154140,81623,,,,0.49,24360,73521,73359,,,,297,,
2014-08-13,2,2014,,,538,1643,,,,1.01,,,17401,-1101,23644,2014年第2季,,,150875,150875,150875,150875,167565,711,651587,871737,220150,220150,52585,,,,1.0,28941,150875,168276,,,,369,,
2014-11-10,3,2014,,,-148,698,,,,0.89,,,1088,-4127,24141,2014年第3季,,,152758,152758,152758,152758,158174,-4328,883399,1102554,219155,219155,60981,,,,0.88,36840,152758,153846,,,,751,,
2015-03-27,4,2014,,,-801,5301,,8288.0,,3.15,,,16218,-7881,160865,2014年度,,,543350,551638,543350,551638,564931,-5363,3211786,4067260,855474,855474,290543,16218.0,,9986.0,3.13,129678,543350,559568,,1698.0,,1982,,
2015-04-30,1,2015,,,208,1142,,,,0.3,,,282,-683,33216,2015年01月01日至2015年03月31日,,,51231,51231,51231,51231,51289,224,492302,604039,111737,111737,60448,,,,0.3,27232,51231,51513,,,,443,,
2015-08-13,2,2015,,,-79,1706,,-1796.0,-2164.0,0.54,,-1796.0,5696,1725,13305,2015年第2季,,,93881,92085,93881,92085,96651,2926,509797,656111,146314,146314,49663,,,,0.54,36358,93881,99577,,,-368.0,426,,
2015-11-05,3,2015,,,-845,1266,,3484.0,4198.0,0.44,,3484.0,-2824,498,17130,2015年第3季,,,80104,83588,80104,83588,76906,374,441862,574260,132398,132398,55492,,,,0.39,38362,80104,77280,,,714.0,545,,
2016-03-24,4,2015,851.0,,-1921,8381,,3895.0,3668.0,1.4,,3044.0,4381,2089,87522,2015年度,,4381.0,255430,259325,255430,259325,253418,6393,1745189,2216810,471621,471621,218203,,1025.0,,1.25,130681,255430,259811,174.0,,624.0,2156,,
2016-04-28,1,2016,,,8,982,,-598.0,-721.0,0.01,,-598.0,-1414,-163,6148,2016年01月01日至2016年03月31日,,,2068,1470,2068,1470,1029,-375,153856,183469,29613,29613,28584,,,,0.01,22436,2068,654,,,-123.0,1202,,
2016-08-08,2,2016,,,25114,2242,,-25350.0,-30542.0,0.82,,-25350.0,39496,5945,16149,2016年第2季,,,150556,125206,150556,125206,157694,32358,558358,764619,206261,206261,48567,,,,0.74,32418,150556,190052,,,-5192.0,943,,
2016-11-01,3,2016,,,-964,6363,,1267.0,1527.0,0.1,,1267.0,4714,-226,20092,2016年第3季,,,18288,19555,18288,19555,19431,3571,317576,391408,73832,73832,54401,,,,0.09,34309,18288,23002,,,260.0,1602,,
