date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,9,,,12556,6782,,47852,915.0,47843,-0.21,-0.21,,-9449,,,,,,24604,2013年01月01日至2013年03月31日,-23797,24055,,-23797,24055,-51669,18423,549998,571055,21057,21057,72726,12836,,,,,35286,-23797,-33246,,,915,,,
2013-08-08,2,2013,,,26,,,-13499,8348,,7274,,7248,-0.17,-0.17,,-2666,,,,-84.0,,23264,2013年04月01日至2013年06月30日,-19087,-11813,,-19087,-11813,-15740,-6013,597938,645221,47283,47283,63023,11724,,,-0.17,-0.17,28035,-19087,-21753,,,778,,,
2013-11-08,3,2013,,,-3,0.0,0.0,-6662,11951,,-16072,,-16069,-0.26,-0.26,,584,,,,-307.0,,17903,2013年07月01日至2013年09月30日,-28763,-44835,,-28763,-44835,-31828,3649,626168,667381,41213,41213,73041,11169,,,-0.26,-0.26,43969,-28763,-28179,,,1333,,0.0,0.0
2014-03-20,4,2013,,,45,0.0,0.0,-22283,52610,-279.0,46937,3908.0,38433,-0.84,-0.84,,-2719,,,7097.0,552.0,,87869,2013年01月01日至2013年12月31日,-95178,-48241,,-95178,-48241,-124868,26971,2351499,2525620,174121,174121,298989,71725,,1641.0,-0.84,-0.84,139395,-95178,-97897,,,3908,,0.0,0.0
2014-05-12,1,2014,,,-5,,,4985,4445,,20729,861.0,19219,-0.1,-0.1,,-636,,,1515.0,499.0,,19074,2014年01月01日至2014年03月31日,-10766,9963,,-10766,9963,-20470,9068,511612,560879,49267,49267,69737,13925,,,-0.1,-0.1,36738,-10766,-11402,,,861,,,
2014-08-08,2,2014,,,-1,,,505,6037,,-24274,,-21937,-0.12,-0.12,,-2828,,,-2336.0,-129.0,,21847,2014年第2季,-13711,-37985,,-13711,-37985,-21984,5445,557082,602952,45870,45870,67854,11200,,,,,34807,-13711,-16539,,,968,,,
2014-11-07,3,2014,,,-7,0.0,0.0,1000,6579,,22801,,20685,-0.13,-0.13,,1000,,,2123.0,-1923.0,,19353,2014年第3季,-14573,8228,,-14573,8228,-18169,4596,557630,609133,51503,51503,69672,14143,,,-0.13,-0.13,36176,-14573,-13573,,,1060,,0.0,0.0
2015-03-20,4,2014,,,-26,0.0,0.0,-10375,27763,-50.0,68274,3898.0,61455,-0.62,-0.62,,-9743,,,6599.0,-1958.0,,76430,2014年度,-70223,-1949,,-70223,-1949,-91498,11532,2135477,2324378,188901,188901,280399,51882,,296.0,-0.62,-0.62,152087,-70223,-79966,,,3898,,0.0,0.0
2015-05-13,1,2015,,,4,,,4177,8046,,-14387,1078.0,-12620,-0.15,-0.15,-14387.0,1592,,,,-427.0,-1771.0,18236,2015年01月01日至2015年03月31日,-17353,-31740,,-17353,-31740,-26479,10718,463048,490961,27913,27913,54392,9786,,,-0.15,-0.15,26370,-17353,-15761,,,1078,,,
2015-07-30,2,2015,,,-12,,,-2489,9542,,-22323,,-21197,-0.36,-0.36,-22323.0,-5984,,,,-172.0,-1114.0,15770,2015年第2季,-40773,-63096,,-40773,-63096,-52362,5605,499040,509847,10807,10807,63169,12846,,,,,34553,-40773,-46757,,,1276,,,
2015-11-05,3,2015,0.0,0.0,-13,0.0,0.0,-9545,8068,,17331,,17344,-0.33,-0.33,17331.0,-5190,0.0,0.0,,-858.0,,12565,2015年第3季,-37720,-20389,0.0,-37720,-20389,-39584,-3326,533964,548647,14683,14683,54267,12415,0.0,,-0.33,-0.33,29287,-37720,-42910,0.0,0.0,991,0.0,0.0,0.0
2016-02-26,4,2015,,-243.0,-28,0.0,0.0,2107,32329,,-37238,4365.0,-36967,-0.94,-0.94,-36995.0,-6106,,,,-1621.0,,59881,2015年度,-106465,-143703,,-106465,-143703,-141021,28450,2010799,2097950,87151,87151,228172,50281,-293.0,,-0.94,-0.94,118010,-106465,-112571,-50.0,,4365,,0.0,0.0
