date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-1530,-8504,29464,11385,12915,0.0,,0,,,,18537,2013年01月01日至2013年03月31日,2554,13939,1248,12698,3632,-1078,925142,967096,41954,41954,38322,,,,19785,2554,2554,,,,22038,925142.0,925142,749,969079.0,969079,967096,1234,1306,1241
2013-08-12,2,2013,,8693,1412,28696,16025,7332,0.01,,1136,,,,22459,2013年04月01日至2013年06月30日,2402,18427,1705,16629,-461,3999,1209216,1251145,41929,41929,42390,,,,19931,2402,3538,,,,26109,1209216.0,1209216,6986,1259523.0,1259523,1251145,1392,697,1798
2013-11-08,3,2013,,5493,114557,19343,866,-4627,0.29,,9643,,,,23515,2013年07月01日至2013年09月30日,76051,76917,75688,76731,-28700,114394,1015019,1027439,12420,12420,41120,,,0.29,17605,76051,85694,,,,19506,1015019.0,1015019,3116,1032046.0,1032046,1027439,1491,363,186
2014-03-28,4,2013,,12932,229245,112011,33681,24936,0.72,,14985,-1697.0,,-53.0,86594,2013年01月01日至2013年12月31日,182791,216472,181586,212523,-55682,253458,4301627,4416877,115250,115250,170932,,-2490.0,0.72,84338,182791,197776,,,,87745,,4301627,19563,,4441646,4416877,5206,1205,3949
2014-05-13,1,2014,,2828,33629,2000,-928,-3756,0.05,,-465,,,,22652,2014年01月01日至2014年03月31日,22655,21727,13508,12628,6967,15223,1062709,1116079,53370,53370,46403,,,,23751,22655,22190,,,,20406,1062709.0,1062709,7776,1126747.0,1126747,1116079,2892,9147,9099
2014-08-12,2,2014,,-3379,75852,21861,-11900,-8521,0.18,,3282,,,,24980,2014年第2季,91345,79445,44972,33182,17995,76632,1184420,1251262,66842,66842,48847,,,,23867,91345,94627,,,,21081,1184420.0,1184420,5833,1259371.0,1259371,1251262,2276,46373,46263
2014-11-12,3,2014,,-1379,2962,10219,10542,11921,0.09,,1423,,-172.0,-172.0,24368,2014年第3季,30048,40590,22571,32960,36623,-5152,1014221,1101331,87110,87110,50487,,,0.09,26119,30048,31471,,,,18161,1014221.0,1014221,1477,1103237.0,1103237,1101331,429,7477,7630
2015-03-26,4,2014,,-3144,21642,37222,5248,14856,0.34,,5869,,,178.0,95804,2014年度,102458,107706,88140,94921,127578,-19251,4111017,4418058,307041,307041,179463,,-7094.0,0.34,83659,102458,108327,,-630.0,,78293,,4111017,21576,,4445642,4418058,6008,14318,12785
2015-05-12,1,2015,,-1311,79630,1699,-6039,-4728,0.42,-6039.0,3543,,-5427.0,-5427.0,22171,2015年01月01日至2015年03月31日,114575,108536,110540,104562,60483,57635,677357,785432,108075,108075,47592,,,,25421,114575,118118,,,,18267,677357.0,677357,15582,801217.0,801217,785432,203,4035,3974
2015-08-11,2,2015,,-318,360925,18742,-7425,-7107,1.16,-7425.0,2341,,,15624.0,22782,2015年第2季,391242,383817,305505,298171,17936,375647,921873,1011041,89168,89168,71232,,,,48450,391242,393583,,,,19644,921873.0,921873,868,1012446.0,1012446,1011041,537,85737,85646
