date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他減損損失,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資性不動產損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,2466,,1505,-13295,30102,27960,,,107440,2142,4330.0,105935,0.03,,0.0,11154.0,,-434,,,,7401,2013年01月01日至2013年03月31日,8859,116299,,5034,109379,,-4052,12477,1067430,1175757,108327,108327,112379,20219,,,0.03,,84759,8859,8425,,,,,,,-325.0,0.0,,,4330,,,,,,3825,6920
2013-08-09,2,2013,,,499,,-12832,-2375,20969,18237,,,45996,2732,4598.0,58828,0.17,,0.0,1357.0,,13595,,,,8476,2013年04月01日至2013年06月30日,26799,72795,,27554,70802,,26398,13996,1229212,1372313,143101,143101,116703,18463,,,0.17,,89764,26799,40394,,,,,,,519.0,0.0,,,4598,,,,,,-755,1993
2013-11-06,3,2013,,,410,,-5383,-3348,11686,8851,,,-47155,2835,4433.0,-41772,0.13,,5661.0,0.0,,27302,,,,9168,2013年07月01日至2013年09月30日,18504,-28651,,20462,-25845,,41901,3905,1313156,1474777,161621,161621,119720,19250,,,0.13,,91302,18504,45806,,,,,,0.0,,0.0,,8599.0,4433,,,,,,-1958,-2806
2014-03-28,4,2013,,,3470,,-15660,-21051,76652,64171,,,149185,10532,17950.0,171118,0.46,0.46,-8674.0,,,57833,,,,35130,2013年01月01日至2013年12月31日,80542,229727,,74451,216510,,100724,37651,4848758,5420066,571308,571308,470584,77978,,-2396.0,0.46,0.46,357476,80542,138375,1949.0,,3877.0,,,,8907.0,0.0,,,17950,,,,,,6091,13217
2014-05-07,1,2014,,,114,,0,-26425,11361,7662,,,51657,3699,5547.0,61984,-0.26,-0.26,,25679.0,,747,,,,6407,2014年01月01日至2014年03月31日,-44505,7152,,-42027,8394,,-23147,-20611,967883,1045081,77198,77198,100345,18678,,,-0.26,-0.26,75260,-44505,-43758,,,10327.0,,,,632.0,,,,5547,,,,,,-2478,-1242
2014-08-11,2,2014,,,1542,,2914,-1485,9304,5173,,18000.0,-59015,4131,6351.0,-74134,-0.08,-0.08,14652.0,,,-2745,,,0.0,8391,2014年第2季,-10184,-69199,,-12290,-68968,18000.0,-14397,1468,1058609,1107487,48878,48878,63275,22152,,,0.0,0.0,32732,-10184,-12929,,,-12205.0,,,,-3389.0,16.0,,,6351,,,,0.0,0.0,2106,-231
2014-11-12,3,2014,,,247,,-4375,-477,14426,10234,,0.0,51914,4192,5627.0,67373,0.01,0.01,1419.0,,,9134,,,,4816,2014年第3季,5676,57590,,1900,51642,0.0,6488,8322,1020187,1128672,108485,108485,101997,10883,,,0.01,0.01,86298,5676,14810,,,11084.0,,,,1649.0,0.0,,,5627,,,,,,3776,5948
2015-03-27,4,2014,,,2476,,-3458,-52655,52684,34035,,,177604,17968,23615.0,218043,-0.86,-0.86,,31265.0,,-1489,,,,28912,2014年度,-138586,39018,,-139057,31936,18000.0,-116489,-23586,4009868,4269456,259588,259588,376077,75635,,-2442.0,-0.86,-0.86,271530,-138586,-140075,681.0,,34539.0,,,,930.0,16.0,,,23615,,,,,,471,7082
2015-05-04,1,2015,,,6215,,820,11763,12599,6873,,,-42038,5726,5370.0,-51252,-0.16,-0.16,19106.0,0.0,-42038.0,-6201,,,,8477,2015年01月01日至2015年03月31日,-32107,-74145,,-26511,-66673,,-57300,18992,885515,941544,56029,56029,113329,20325,,,-0.16,-0.16,84527,-32107,-38308,,,,-8394.0,,,1128.0,,,,5370,,,,,,-5596,-7472
2015-08-10,2,2015,,,1401,,-6401,-3216,15045,11057,,0.0,-42360,3988,5840.0,-43130,0.03,0.03,3242.0,0.0,-42360.0,424,,,,4853,2015年第2季,-4779,-47139,,4411,-37004,0.0,-10344,5989,960824,1028289,67465,67465,77809,17942,,,,,55014,-4779,-4355,,,,-7171.0,,,5057.0,0.0,0.0,,5840,,,,,,-9190,-10135
