date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,16500.0,40023,20807,192338,119887,0.57,985,,62838,84145.0,26974,,414286,2013年01月01日至2013年03月31日,334919,527257,326294,480446,334448,63309,3580389,4617094,1036705,1037690,703242,93818,,,0.56,195138,334919,397757,,28194.0,,24495,8625,46811
2013-08-09,2,2013,,33000.0,20034,50388,100840,67282,0.68,862,,112005,9554.0,75567,,441749,2013年04月01日至2013年06月30日,408593,509433,393177,470100,399593,121005,3717464,4897631,1180167,1181029,781436,115676,,,0.66,224011,408593,520598,,8996.0,,24984,15416,39333
2013-11-11,3,2013,,0.0,-34697,74934,-46284,-30045,0.55,987,,53753,-23522.0,67688,,428233,2013年07月01日至2013年09月30日,349797,303513,327701,292145,321507,82043,3657846,4761892,1104046,1105033,783526,120330,,,0.54,234963,349797,403550,,-7283.0,,25882,22096,11368
2014-03-25,4,2013,,49500.0,-25781,194090,483857,235407,2.28,3822,,299830,155933.0,242503,,1779511,2013年01月01日至2013年12月31日,1398615,1882472,1346842,1754693,1391851,306594,15098380,19616358,4517978,4521800,3129949,451241,,116644.0,,899197,1398615,1698445,,73627.0,,104218,51773,127779
2014-05-12,1,2014,,0.0,46451,36908,-16711,-27639,0.67,145,,75933,8380.0,85580,,491166,2014年01月01日至2014年03月31日,404685,387974,396856,389342,340709,139909,3993156,5200849,1207693,1207838,867129,137190,,,0.65,238773,404685,480618,,-2548.0,,29030,7829,-1368
2014-08-11,2,2014,,0.0,-64293,43191,-115748,-63005,0.44,145,,132200,-73801.0,114094,,521326,2014年第2季,268348,152600,261017,155508,339240,61308,4077475,5314394,1236919,1237064,897824,141399,,,0.39,235099,268348,400548,,-21058.0,,31684,7331,-2908
2014-11-11,3,2014,,0.0,35522,25898,121305,91716,0.38,146,,35923,50499.0,81406,,477086,2014年第3季,241481,362786,226723,326585,166528,110876,4010280,5082064,1071784,1071930,905402,144574,,,0.38,283742,241481,277404,,20910.0,,31950,14758,36201
2015-03-24,4,2014,,0.0,-335339,151203,184952,98972,1.54,581,,247486,99559.0,422607,,2051482,2014年度,952523,1137475,909886,1068006,1088385,111624,16413331,21141658,4728327,4728908,3640523,577360,,18854.0,1.51,1011681,952523,1200009,,32433.0,,126847,42637,69469
2015-04-30,1,2015,,,-57508,37676,-68943,-46765,0.7,145,-68943.0,71509,,76851,-34823.0,436365,2015年01月01日至2015年03月31日,430698,361755,412748,351008,481479,20728,4307825,5612549,1304724,1304869,823390,130921,,,0.68,256104,430698,502207,,,-12645.0,36291,17950,10747
2015-08-11,2,2015,,,-282243,60852,-63075,-38916,0.22,146,-63075.0,76631,,98690,-35237.0,430498,2015年第2季,134619,71544,129381,75293,370397,-159147,4270862,5485092,1214230,1214376,843979,158084,,,0.22,255397,134619,211250,,,-11078.0,36446,5238,-3749
2015-11-10,3,2015,,,169858,30477,248584,127754,0.82,144,248584.0,85054,,64601,165280.0,407205,2015年第3季,482521,731105,484583,701607,339744,227831,4075560,5237296,1161736,1161880,822136,157423,,,0.8,257508,482521,567575,,,44450.0,37105,-2062,29498
2016-03-24,4,2015,-86100.0,25428.0,-218137,192086,-71120,-55796,2.87,581,14980.0,360519,,412281,43934.0,1722679,2015年度,1730936,1659816,1695564,1625500,1854038,237417,17275581,22456256,5180675,5181256,3327218,590564,-103736.0,,2.87,1013975,1730936,2091455,-17636.0,,-1414.0,148813,35372,34316
2016-05-09,1,2016,,,-78100,34207,-113173,-62799,1.04,145,-113173.0,140359,,94902,-70315.0,409351,2016年01月01日至2016年03月31日,635667,522494,615691,518331,757802,18224,4410580,5961500,1550920,1551065,793263,131777,,,1.04,252135,635667,776026,,,-19941.0,32785,19976,4163
2016-08-09,2,2016,,,-60269,53917,-169708,-116666,0.87,146,-169708.0,185626,,125473,-83262.0,390200,2016年第2季,527215,357507,513519,365977,627337,85504,4416810,5839424,1422614,1422760,795423,155419,,,0.87,249804,527215,712841,,,-30220.0,33617,13696,-8470
2016-11-08,3,2016,,,-127352,29956,-202411,-128489,0.94,144,-202411.0,94364,,137391,-110043.0,417192,2016年第3季,569031,366620,554271,377917,654596,8799,4347727,5801075,1453348,1453492,798896,158751,,,0.94,222953,569031,663395,,,-36121.0,31196,14760,-11297
