date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,72140,54635,8596,112860,,,36046,0.14,,,,30939,,,,106117,2013年01月01日至2013年03月31日,,51624,164484,,36768,139274,45567,36996,1589030,1897914,308884,308884,263317,,,,,,157200,51624,82563,,-4674.0,,,26235,,14856,25210
2013-08-09,2,2013,,,-6806,33833,10383,19559,,,26365,0.12,,0.0,,29278,,,,142138,2013年04月01日至2013年06月30日,0.0,61562,81121,,31757,47295,73541,17299,1880697,2231251,350554,350554,277013,,,,,,134875,61562,90840,,,,,26917,,29805,33826
2013-11-08,3,2013,,,-18148,-27143,29579,-63515,,,-45367,0.02,,,,-3638,,,,156657,2013年07月01日至2013年09月30日,,13822,-49693,,6015,-44580,38100,-27916,1758001,2055597,297596,297596,259496,,,,,,102839,13822,10184,,,,,30352,,7807,-5113
2014-03-21,4,2013,,,59891,87793,60796,112375,,,49470,0.54,,,,76635,,,,493500,2013年01月01日至2013年12月31日,,215055,327430,,141598,247074,257155,34535,7047666,8397647,1349981,1349981,1092826,,,10873.0,,,599326,215055,291690,,7859.0,,,114054,,73457,80356
2014-05-09,1,2014,,,-12704,2898,9969,-26938,,,-14336,0.11,,,,25685,,,,121523,2014年01月01日至2014年03月31日,,48664,21726,,28813,-2233,87979,-13630,1705862,2074625,368763,368763,280784,,,,,,159261,48664,74349,,-102.0,,,26497,,19851,23959
2014-08-08,2,2014,,,-2722,-21811,8278,-8788,,,-7276,-0.01,,,,1872,,,,141167,2014年第2季,,1953,-6835,,-2876,-6470,47632,-43807,2043994,2396868,352874,352874,305242,,,,,,164075,1953,3825,,-1210.0,,,30274,,4829,-365
2014-11-07,3,2014,,,-35843,21447,34296,-20648,,,16618,0.17,,,,23003,,,,127728,2014年第3季,,51958,31310,,44910,19470,50917,24044,2011538,2337973,326435,326435,275518,,,,,,147790,51958,74961,,1423.0,,,31699,,7048,11840
2015-03-20,4,2014,,,-50364,56529,69911,-24494,,,45820,0.53,,,,76420,,,,514224,2014年度,,188441,163947,,139827,104052,259920,4941,7771854,9176591,1404737,1404737,1144817,,,-20015.0,,,630593,188441,264861,,-65.0,,,121499,,48614,59895
2015-05-08,1,2015,,,39019,-32317,17037,16662,,,-24349,0.08,,,16662.0,9265,,,,117405,2015年01月01日至2015年03月31日,,31368,48030,,21128,43637,83652,-43019,1724194,2065096,340902,340902,257250,,,,,,139845,31368,40633,,,-1992.0,,27739,,10240,4393
2015-08-07,2,2015,,,-17695,-16231,15866,-25127,,,-10062,0.06,,,-25127.0,14741,,,,107471,2015年第2季,,32739,7612,,16654,-4038,74621,-27141,1902450,2235757,333307,333307,258686,,,,,,151215,32739,47480,,,-2630.0,,26776,,16085,11650
2015-11-06,3,2015,,,-67149,84410,29283,-92181,,,-25620,0.32,,,-92181.0,26166,,,,122033,2015年第3季,,99561,7380,,85275,-12114,40298,85429,1791450,2101419,309969,309969,269671,,,,,,147638,99561,125727,,,-588.0,,28264,,14286,19494
2016-03-23,4,2015,0.0,-9302.0,-39926,-3931,93626,-138084,0.0,0.0,-88190,0.56,,,-128782.0,72261,0.0,0.0,0.0,477732,2015年度,,220329,82245,0.0,147408,19094,314515,-21925,7158962,8560902,1401940,1401940,1087425,0.0,-10918.0,,,,609693,220329,292590,-1616.0,,666.0,,111620,0.0,72921,63151
