date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,處分投資損失,財務成本淨額,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,5853.0,66302,13125,9252.0,,60269,3873.0,1932,65053,-0.22,-0.22,66302.0,,,21608,3857.0,-3857,355385,2013年01月01日至2013年03月31日,-103945,-43676,-106862,-49077,,-155975,73638,2596903,3322349,725446,725446,881421,21608.0,352070,,,,173966,-103945,-82337,10637.0,,0.0,,1932,3873.0,2596903.0,2596903.0,3322349.0,3322349.0,3322349.0,2917,5401
2013-08-13,2,2013,,-9905.0,-2562.0,49740,48621,,,23167,48621.0,2573,31535,-0.01,-0.01,39835.0,,,12566,,1495,369553,2013年04月01日至2013年06月30日,-10281,12886,-6581,19205,,-94998,97283,3320335,4206945,886610,886610,981608,,395989,,,,216066,-10281,2285,5806.0,,0.0,,2573,,,,,4206945.0,4206945.0,-3700,-6319
2013-11-12,3,2013,,32980.0,9242.0,-9399,21913,,,-11114,,2794,-24266,0.41,0.41,23581.0,,,31636,,1989,413676,2013年07月01日至2013年09月30日,196118,185004,194177,185488,,216045,11709,3277561,4520035,1242474,1242474,1026429,,392198,,,,220555,196118,227754,-3910.0,,0.0,,2794,,,,,4520035.0,4520035.0,1941,-484
2014-03-11,4,2013,,36944.0,-10722.0,234306,114209,,,103799,,11515,129658,0.72,,214607.0,,,117100,,-27581,1439618,2013年01月01日至2013年12月31日,347242,451041,344147,451830,,154923,309419,13385695,17434116,4048421,4048421,3893498,,1578171,,7565.0,0.72,875709,347242,464342,22702.0,,56643.0,,11515,,,,,17434116.0,17434116.0,3095,-789
2014-05-13,1,2014,,,0.0,37073,21261,21261.0,,10328,,4084,12085,0.11,,37073.0,,,33418,,2353,418344,2014年01月01日至2014年03月31日,51141,61469,51533,60113,,27956,56603,2811710,3870297,1058587,1058587,1030631,,411167,,,0.11,201120,51141,84559,1757.0,,,,4084,,,,,3870297.0,3870297.0,-392,1356
2014-08-12,2,2014,,,0.0,-70483,38427,38427.0,,-50918,,4046,-61162,0.44,,-70483.0,,,101971,,913,506862,2014年第2季,210276,159358,211011,160995,,347436,-35189,4030004,5553021,1523017,1523017,1175581,,453393,,,0.44,215326,210276,312247,-10244.0,,,,4046,,,,,5553021.0,5553021.0,-735,-1637
2014-11-11,3,2014,,,0.0,-181679,35727,35727.0,,7097,,4474,8346,0.05,,-181679.0,,,15357,,3992,497568,2014年第3季,27600,34697,23702,29800,,189391,-146434,4665781,6084781,1419000,1419000,1229609,,505029,,,0.05,227012,27600,42957,1249.0,,,,4474,,,,,6084781.0,6084781.0,3898,4897
2015-03-17,4,2014,,0.0,0.0,-247110,136159,,,42055,,16806,49250,0.37,,0.0,240957.0,,208786,,-70943,2017226,2014年度,178257,220312,174379,213660,,585743,-198700,15964315,21260772,5296457,5296457,4710714,,1869947,,706.0,0.37,823541,178257,387043,7901.0,,0.0,6153.0,16806,,,,,21260772.0,21260772.0,3878,6652
2015-05-12,1,2015,,,,-424963,31897,31897.0,30833.0,-132545,,6270,-159667,-0.93,,0.0,394130.0,-132545.0,-15018,,-2465,418526,2015年01月01日至2015年03月31日,-445459,-578004,-441719,-574139,30833.0,-58676,-401801,3848164,4872159,1023995,1023995,1082671,,448018,,,-0.93,216127,-445459,-460477,,-27122.0,,,6270,,,,,4872159.0,4872159.0,-3740,-3865
2015-08-11,2,2015,,,,21205,38645,38645.0,0.0,-18029,,6617,-21186,-0.41,,21205.0,0.0,-18029.0,-20773,,-4756,512276,2015年第2季,-198706,-216735,-195239,-210654,0.0,-267956,48477,4404600,5328947,924347,924347,1192303,,462530,,,-0.41,217497,-198706,-219479,,-3157.0,,,6617,,,,,5328947.0,5328947.0,-3467,-6081
