date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,53915,158800,350366,,180825,123157,3.86,3.86,6920,,440227,,,283578,,1583661,2013年01月01日至2013年03月31日,35626,2325658,2506483,2105521,2275235,2028277,737608,33783014,38299011,4515997,4487291,2459014,3753.0,,,3.85,3.85,875353,2325658,2765885,,,55136,220137,231248
2013-08-13,2,2013,,-4481,113731,373734,,31863,34700,3.05,3.05,35626,,626948,,,392076,,1807617,2013年04月01日至2013年06月30日,27493,1885168,1917031,1667465,1690691,1688038,824078,29994110,34352988,4358878,4367011,2678973,1644.0,,,3.05,3.05,871356,1885168,2512116,,,55463,217703,226340
2013-11-12,3,2013,,31441,91173,511393,,20395,-17656,3.58,3.58,27493,,461518,,,198862,,1739460,2013年07月01日至2013年09月30日,12670,2251336,2271731,1957697,1981576,1972631,740223,29473515,34070459,4596944,4611767,2639136,6610.0,,,3.58,3.58,899676,2251336,2712854,,,61205,293639,290155
2014-03-25,4,2013,,124898,589655,1688989,,236208,188236,14.01,14.01,6920,,1938013,,-46583.0,1358993,,7159707,2013年01月01日至2013年12月31日,11914,8633251,8869459,7650112,7871803,7172415,3398849,128577607,146466911,17889304,17884310,10711895,-55868.0,,30753.0,14.0,14.0,3552188,8633251,10571264,5228.0,,238788,983139,997656
2014-05-08,1,2014,,-30878,-43015,347473,,4873,-3497,4.11,4.11,11914,,521654,,6539.0,152476,,1699700,2014年01月01日至2014年03月31日,32434,2504364,2509237,2242124,2237068,2644543,381475,32534048,37782712,5248664,5228144,2583601,32709.0,,,4.1,4.1,883901,2504364,3026018,,,75459,262240,272169
2014-08-11,2,2014,,25032,25017,474957,0.0,-26425,-76050,4.58,4.58,32434,,521730,,-9536.0,662146,,1994689,2014年第2季,26445,2767709,2741284,2503592,2476596,2212725,1076714,36575525,41684557,5109032,5115021,2902296,29442.0,,0.0,4.58,4.58,907607,2767709,3289439,-4687.0,,85406,264117,264688
2014-11-11,3,2014,,9701,13589,289052,,143659,118796,4.43,4.43,26445,,492240,,15091.0,487032,,1999697,2014年第3季,32453,2728343,2872002,2421798,2548614,2532660,687923,33524994,38834324,5309330,5303322,2770662,85.0,,,4.43,4.43,770965,2728343,3220583,14.0,,101750,306545,323388
2015-03-24,4,2014,,11706,14897,1528047,0.0,366443,168582,16.84,16.84,11914,,1935575,,111490.0,2036268,,7668156,2014年度,21542,10293361,10659804,9196735,9516264,9025992,3202944,139903501,160214136,20310635,20301007,11275015,71582.0,,0.0,16.83,16.83,3606859,10293361,12228936,-3083.0,,376268,1096626,1143540
2015-05-12,1,2015,,29587,-40246,402836,,-4228,-44236,5.41,5.41,21542,-4228.0,593751,,,591542,-5249.0,1812834,2015年第1季,65637,3262711,3258483,2957447,2952539,2920483,935979,37725170,43476264,5751094,5706999,2786516,,18879.0,,5.41,5.41,973682,3262711,3856462,,3209.0,18153,305264,305944
2015-08-11,2,2015,,31841,70017,209465,,-29171,-60960,4.62,4.62,21542,-29171.0,889338,,,672234,-7242.0,2052512,2015年第2季,39620,2802776,2773605,2525011,2501518,2754834,937280,36340629,42034410,5693781,5675703,2920869,,8663.0,,4.62,4.62,868357,2802776,3692114,,1473.0,14436,277765,272087
2015-11-10,3,2015,,-91846,-110991,715804,,108875,182471,4.05,4.05,83714,108875.0,387536,,,531251,18591.0,1968084,2015年第3季,54971,2456860,2565735,2211384,2296209,1723173,1121223,28725780,33501787,4776007,4804750,3081577,,-412.0,,4.05,4.05,1113493,2456860,2844396,,-71.0,14841,245476,269526
2016-03-28,4,2015,-64585.0,-93334,-170947,1854910,,-70023,-29925,17.9,17.9,21542,-5438.0,2338273,-64585.0,,2478143,106280.0,8095785,2015年度,49409,10882493,10812470,9776591,9706323,9120540,4100226,139402826,160607628,21204802,21176935,12056395,,13905.0,,17.89,17.89,3960610,10882493,13220766,,2364.0,61880,1105902,1106147
2016-05-10,1,2016,,26192,-88314,410153,,-54297,-89639,4.9,4.9,49409,-54297.0,504703,,,736013,10825.0,2002042,2016年01月01日至2016年03月31日,45395,2981483,2927186,2678985,2635641,2440801,1045385,34691375,40176914,5485539,5489553,3048752,,-2019.0,,4.9,4.9,1046710,2981483,3486186,,-344.0,12467,302498,291545
2016-08-11,2,2016,,23147,58478,485354,,-88920,-79135,5.4,5.4,49409,-88920.0,838262,,,818658,-31447.0,2130238,2016年第2季,70193,3306089,3217169,2951691,2873785,2793691,1350660,41265183,47293693,6028510,6007726,3214035,,-1788.0,,5.4,5.4,1083797,3306089,4144351,,-303.0,11830,354398,343384
2016-11-10,3,2016,,-62643,9716,512464,,-209847,-146107,4.69,4.69,66179,-209847.0,546539,,,358256,0.0,2072155,2016年第3季,50644,2900591,2690744,2563508,2381685,2576411,870719,33777307,39512862,5735555,5751090,3174679,,-1322.0,,4.69,4.69,1102524,2900591,3447130,,-225.0,9717,337083,309059
