date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,308196,-25756,53054,568621,251163,0.11,0.11,,33584,9262.0,-19770,,39975,2013年01月01日至2013年03月31日,77791,646412,54954,607399,120990,-9615,2610601,2982277,371676,371676,250686,26483,,,0.11,0.11,184228,77791,111375,,,17143,22837,39013
2013-08-14,2,2013,,-382026,181347,43361,-353742,24664,0.08,0.08,,89736,3620.0,-54352,,47421,2013年04月01日至2013年06月30日,82548,-271194,43449,-276106,19451,152833,3246608,3536281,289673,289673,270222,30338,,,0.08,0.08,192463,82548,172284,,,17523,39099,4912
2013-11-13,3,2013,,-83051,25369,110539,-223782,-141530,0.12,0.12,,59845,799.0,2316,,48974,2013年07月01日至2013年09月30日,108552,-115230,63604,-128010,48791,119606,3832854,4234423,401569,401569,352778,31659,,,0.12,0.12,272145,108552,168397,,,18618,44948,12780
2014-03-28,4,2013,,-472467,139380,275316,-264432,190159,0.63,0.63,,201560,12388.0,61206,,195360,2013年01月01日至2013年12月31日,488904,224472,325443,147405,285767,404697,13967830,15460006,1492176,1492176,1206409,123017,,6402.0,0.63,0.63,888032,488904,690464,,914.0,71205,163461,77067
2014-05-07,1,2014,,-99659,-48774,44469,-26308,90826,-0.06,-0.06,,28417,-17475.0,-8742,,44825,2014年01月01日至2014年03月31日,9760,-16548,-29415,-97860,68297,-30120,3185083,3533028,347945,347945,279648,32493,,,-0.06,-0.06,202330,9760,38177,,,17073,39175,81312
2014-08-12,2,2014,,393100,37804,28464,-3366,-376167,0.14,0.14,,67655,-20299.0,-1618,,33987,2014年第2季,107250,103884,72798,77657,118227,56678,3690007,4048308,358301,358301,240074,33485,,,0.14,0.14,172602,107250,174905,,,7972,34452,26227
2014-11-13,3,2014,,-130552,102923,56727,50997,181549,0.33,0.33,,40951,0.0,6,,44931,2014年第3季,207628,258625,169796,218574,95989,152590,4483758,4889242,405484,405484,309495,41299,,,0.33,0.33,223265,207628,248579,,,7066,37832,40051
2015-03-26,4,2014,,391488,111067,227093,406698,53407,0.4,0.4,,211173,-37774.0,-10452,,183294,2014年度,377971,784669,209472,658519,300258,288886,15732396,17181487,1449091,1449091,1148833,148777,,-673.0,0.4,0.4,816762,377971,589144,,-250.0,38822,168499,126150
2015-05-05,1,2015,,25676,58297,30834,-215215,-240891,-0.22,-0.22,-215215.0,29787,,-11,0.0,43652,2015年01月01日至2015年03月31日,-77551,-292766,-112866,-250008,-129419,81655,3227560,3383063,155503,155503,284922,34818,,,-0.22,-0.22,206452,-77551,-47764,,,7465,35315,-42758
2015-08-13,2,2015,,46218,29897,35831,-161170,-207388,0.08,0.08,-161170.0,45221,,4,0.0,42349,2015年第2季,80079,-81091,40433,-70395,65147,60153,4549560,4904256,354696,354696,289549,40068,,,0.08,0.08,207132,80079,125300,,,5579,39646,-10696
2015-11-11,3,2015,,-600833,110604,94792,-509802,91031,0.63,0.63,-509802.0,60229,,1,0.0,63058,2015年第3季,376231,-133571,318437,-87190,236002,200458,4913364,5445124,531760,531760,295758,43735,,,0.62,0.62,188965,376231,436460,,,4939,57794,-46381
2016-03-24,4,2015,-3136.0,-560778,185089,250293,-741291,-177377,0.55,0.55,-738155.0,257398,,-23,0.0,198209,2015年度,474884,-266407,284038,-375546,319239,413043,17378153,18933935,1555782,1555782,1236543,162904,-3604.0,,0.55,0.55,875430,474884,732282,-468.0,,22316,190846,109139
2016-04-29,1,2016,,134545,-42684,22114,-29705,-164250,-0.04,-0.04,-29705.0,29587,,0,,41659,2016年01月01日至2016年03月31日,21708,-7997,-20702,-24815,77365,-26070,2981162,3329088,347926,347926,270561,38898,,,,,190004,21708,51295,,,5500,42410,16818
2016-08-10,2,2016,,-46218,967326,27218,-415021,-330110,1.7,1.7,-415021.0,57359,,-1918,-38693.0,91303,2016年第2季,884414,469393,862884,478461,-46944,988717,4092424,4397961,305537,305537,352481,45522,,,1.68,1.68,215656,884414,941773,,,3909,21530,-9068
2016-11-10,3,2016,,-20541,47840,55652,-377308,-396183,0.17,0.17,-377308.0,26765,,3514,39416.0,60230,2016年第3季,106935,-270373,88195,-214361,30144,103556,4522890,4850341,327451,327451,297307,51107,,,0.17,0.17,185970,106935,133700,,,3450,18740,-56012
