date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－重估增值,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估價之利益（損失）,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-974,28465,1831,1831,0.0,-24764,0.0,0.0,-23790,0.11,28465.0,0.0,,0,0.0,,,-3890,,,12303,2013年01月01日至2013年03月31日,-8265,-33029,0.0,14792,684,-6637,-1628,347189,391215,44026,44026,50663,0.0,,0.0,0.0,38360,-8265,-8265,0.0,0.0,28034,0.0,-23057,-33713
2013-08-09,2,2013,,1751,8228,180,180,0.0,-16638,0.0,0.0,-18389,-0.06,,,,0,0.0,,,86,,,16039,2013年04月01日至2013年06月30日,-31450,-48088,0.0,-8524,-16926,-17195,-14255,545693,557084,11391,11391,28586,0.0,,0.0,0.0,12547,-31450,-31450,0.0,0.0,22749,0.0,-22926,-31162
2013-11-12,3,2013,,1659,-24926,15572,15572,0.0,11082,0.0,0.0,9423,-0.37,-24926.0,0.0,,0,0.0,,,2011,,,32991,2013年07月01日至2013年09月30日,-77113,-66031,0.0,-50099,-43237,-47095,-30018,769439,774193,4754,4754,51849,0.0,,0.0,0.0,18858,-77113,-77113,0.0,0.0,22675,0.0,-27014,-22794
2014-03-21,4,2013,,4639,7488,91468,91468,0.0,-38525,0.0,0.0,-52358,-0.61,,,,1563,10058.0,,10058.0,2460,,,94795,2013年01月01日至2013年12月31日,-174918,-213443,0.0,-82550,-97623,-171202,-2153,2258508,2273592,15084,15084,186286,0.0,,-864.0,0.0,91491,-174918,-173355,0.0,0.0,103569,,-92368,-115820
2014-05-09,1,2014,,1657,29139,1955,1955,0.0,2688,0.0,0.0,11089,-0.22,,,,0,-10058.0,,-10058.0,4662,,,15106,2014年01月01日至2014年03月31日,-74145,-71457,0.0,-29414,-31693,-82943,8798,422588,377960,-44628,-44628,38315,0.0,,0.0,,23209,-74145,-74145,0.0,0.0,26958,,-44731,-39764
2014-08-08,2,2014,,1167,-24002,3148,3148,0.0,19616,0.0,0.0,18449,-0.49,,,,7,0.0,,0.0,2490,,,15556,2014年第2季,-93604,-73988,0.0,-65816,-54464,-48532,-45065,466133,452226,-13907,-13907,34625,0.0,,0.0,,19069,-93604,-93597,0.0,0.0,26701,,-27788,-19524
2014-11-10,3,2014,,541,-149974,951,951,,-31086,,,-31627,-1.4,,,,0,0.0,,0.0,-7592,,,24757,2014年第3季,-185310,-216396,,-189763,-206683,-355,-184955,529550,574033,44483,44483,44838,,,,,20081,-185310,-185310,,,28340,,4453,-9713
2015-03-23,4,2014,,2218,88065,35460,35460,,-63492,,,-35056,-1.51,,,,1162,-18067.0,-8009.0,-10058.0,6557,,,68464,2014年度,-238481,-301973,,-203988,-251778,-257537,20218,1802430,1746387,-56043,-56043,201494,,,-12587.0,0.0,133030,-238481,-237319,,,109864,,-34493,-50195
2015-05-05,1,2015,,2643,-26946,7219,7219,,15907,0.0,,11838,-0.48,,,15907.0,0,,,,764,1426.0,1426.0,14467,2015年01月01日至2015年03月31日,-93580,-77673,,-65099,-54494,-52372,-41208,295968,273825,-22143,-22143,30229,,,,,15762,-93580,-93580,,,22245,,-28481,-23179
2015-08-07,2,2015,,-1332,-5439,2419,2419,,2756,,,12089,-0.2,,,2756.0,0,,,,187,-8001.0,-8001.0,17133,2015年第2季,-36846,-34090,,-26461,-29120,-8890,-27956,335187,358966,23779,23779,32669,,,,,15536,-36846,-36846,,,25123,,-10385,-4970
2015-11-11,3,2015,,-3660,73270,1170,1170,,-54840,,,-48654,0.27,,,-54840.0,0,,,,-89,-2526.0,-2526.0,18249,2015年第3季,8970,-45870,,36034,2987,-40700,49670,351450,352081,631,631,41331,,,,,23082,8970,8970,,,24681,,-27064,-48857
2016-03-24,4,2015,7774.0,-2082,3577,7058,7058,,2572,,,5086,-0.89,,,-5202.0,5595,,,,140,-8206.0,-8206.0,58871,2015年度,-205413,-202841,,-119777,-119483,-116644,-83174,1296001,1314739,18738,18738,135382,,7774.0,,,76511,-205413,-199818,,,93949,,-85636,-83358
2016-05-09,1,2016,,470,-64479,1812,1812,,28955,,,28485,-0.79,,,28955.0,0,,,,-94,0.0,0.0,12077,2016年01月01日至2016年03月31日,-131077,-102122,,-106299,-90103,-46650,-84427,282632,266860,-15772,-15772,30878,,,,,18801,-131077,-131077,,,21666,,-24778,-12019
2016-08-11,2,2016,,1129,-41016,28746,28746,,36355,,,38724,-0.23,,,36355.0,471,,,,126,-3498.0,-3498.0,12837,2016年第2季,-50297,-13942,,-30849,-11839,-16848,-32978,280951,291099,10148,10148,26996,,,,,14159,-50297,-49826,,,20834,,-19448,-2103
2016-11-04,3,2016,,-1079,-36149,4220,4220,,46821,,,47504,-0.41,,,46821.0,-131,,,,-204,396.0,396.0,11110,2016年第3季,-69198,-22377,,-55801,-30257,-15343,-53986,316672,340095,23423,23423,38766,,,,,27656,-69198,-69329,,,21853,,-13397,7880
