date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,6786,-4860,2886,,36757,36319,0.24,,8240,,22131,2013年01月01日至2013年03月31日,28150,64907,28288,64879,39329,-2939,269409,383693,114284,114284,74955,10228,,,0.24,42596,28150,,36390,,6348.0,,965,269409.0,101.0,388744.0,388744.0,383693.0,4950.0,-138,28
2013-08-08,2,2013,,-437,826,2216,,15964,18878,0.41,,16887,,25127,2013年04月01日至2013年06月30日,47825,63789,48203,64074,62731,1981,337588,488423,150835,150835,88104,14194,,,0.4,48783,47825,,64712,,2477.0,,1061,337588.0,5957.0,495782.0,495782.0,488423.0,1402.0,-378,-285
2013-10-29,3,2013,,1502,-855,4724,,-11095,-14809,0.36,,16991,,24696,2013年07月01日至2013年09月30日,42824,31729,42641,31659,57229,2586,333360,471945,138585,138585,81356,10896,,,0.36,45764,42824,,59815,,-2212.0,,1283,333360.0,591.0,473400.0,473400.0,471945.0,864.0,183,70
2014-03-21,4,2013,,8858,-6562,14250,,60119,60086,1.33,,22834,283.0,96462,2013年01月01日至2013年12月31日,158722,218841,157540,217417,178003,3553,1239361,1752183,512822,512822,334819,48270,,900.0,1.32,190087,158722,,181556,,10008.0,,4135,1239361.0,7779.0,1767515.0,1767515.0,1752183.0,7553.0,1182,1424
2014-05-12,1,2014,,3310,-1964,4001,0.0,4426,1695,0.11,,7373,-21.0,25434,2014年01月01日至2014年03月31日,13324,17750,12976,17423,18712,1985,267769,367521,99752,99752,81040,12512,,,0.11,43094,13324,,20697,,558.0,,52,,350.0,370194.0,370194.0,367521.0,2323.0,348,327
2014-08-13,2,2014,,3907,1319,3748,,-17090,-24256,0.38,,18128,-98.0,29460,2014年第2季,45277,28187,44977,27985,59101,4304,332081,475299,143218,143218,84117,11346,,,0.38,43311,45277,,63405,,-3357.0,,763,,1452.0,478481.0,478481.0,475299.0,1730.0,300,202
2014-11-10,3,2014,,429,3518,3892,,26579,31080,0.36,,5235,,27011,2014年第3季,42722,69301,42272,68672,41717,6240,369294,499631,130337,130337,88620,12623,,,0.35,48986,42722,,47957,,4930.0,,1170,,176.0,,500282.0,499631.0,475.0,450,629
2015-03-18,4,2014,,8604,13886,18474,,50354,54621,1.11,,42038,,113306,2014年度,133206,183560,131826,181781,146282,28962,1311085,1802397,491312,491312,345030,49053,,-4439.0,1.1,182671,133206,,175244,,8432.0,,3398,1311085.0,,,,,,1380,1779
2015-05-13,1,2015,,-1012,-7643,4355,0.0,-12894,-14042,0.1,-12894.0,5077,,29527,2015年01月01日至2015年03月31日,11995,-899,11879,-887,21544,-4472,295529,400620,105091,105091,83547,11580,,,0.1,42440,11995,,17072,,,-2160.0,1184,,,,,,,116,-12
2015-08-06,2,2015,,-742,-4357,4340,,-17953,-20329,0.21,-17953.0,9644,,27296,2015年第2季,24746,6793,24664,6901,35667,-1277,335197,453736,118539,118539,82872,12393,,,0.21,43183,24746,,34390,,,-3118.0,1260,,,,,453736.0,,82,-108
2015-11-12,3,2015,,9,5598,3574,,54827,64880,0.07,54827.0,4365,,25523,2015年第3季,9382,64209,8904,63153,6101,7646,340516,429986,89470,89470,83369,11733,,,0.07,46113,9382,,13747,,,10062.0,1526,,,,,429986.0,,478,1056
2016-03-17,4,2015,-104.0,-3030,-17884,16738,,-14604,-12849,0.45,-14500.0,23589,,102474,2015年度,54002,39398,53194,38935,84288,-6697,1260102,1667170,407068,407068,322780,45150,-125.0,,0.44,175156,54002,0.44,77591,-21.0,,-1379.0,5551,1260102.0,,1667170.0,1667170.0,1667170.0,,808,463
2016-05-12,1,2016,,-295,-2901,9688,,-13150,-14646,0.11,-13150.0,8947,,22714,2016年01月01日至2016年03月31日,13602,452,13450,470,17389,5160,275183,371110,95927,95927,78538,10294,,,0.11,45530,13602,,22549,,,-1791.0,1627,,,,,,,152,-18
2016-08-10,2,2016,,78,102537,3334,,-27912,-32107,0.86,-27912.0,12364,,25140,2016年第2季,100885,72973,100756,73199,9062,104187,302412,415479,113067,113067,104005,11950,,,0.86,66915,100885,,113249,,,-4117.0,1684,,,,,,,129,-226
2016-11-10,3,2016,,-500,-14556,6445,,-41183,-47093,0.07,-41183.0,4476,,21184,2016年第3季,7818,-33365,7705,-33049,21629,-9335,254558,353784,99226,99226,77597,11580,,,0.07,44833,7818,,12294,,,-6410.0,1224,,,,,353784.0,,113,-316
