date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,加工收入淨額,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量之金融資產之利益,除列按攤銷後成本衡量之金融資產之損失,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-09,2,2013,,,-8117,,,14089,370,4912.0,17270,370,13088.0,13088.0,19858,0.29,0.34,,,6239,,,0.0,26054,2013年01月01日至2013年06月30日,,21480,38750,,26178,38946,33458,2378,736245,852964,116719,116719,88173,9328,,,0.28,0.34,52791,29597,35836,,2588.0,,,12081,,6207.0,846767.0,839876.0,684.0,,,,-4698,-196
2013-11-22,3,2013,,,-357,,,6309,212,716.0,-4856,212,4626.0,4626.0,-5613,0.24,0.25,,,11321,,,0.0,14154,2013年07月01日至2013年09月30日,,21154,16298,,22306,18607,32409,423,392826,471108,78282,78282,46589,14102,,,0.24,0.25,18333,21511,32832,,-757.0,,,6098,,3655.0,471107.0,466482.0,970.0,,,,-1152,-2309
2014-03-11,4,2013,,,-9239,,,29869,895,5985.0,19029,895,23004.0,23004.0,20897,0.93,0.93,,,25564,,,,56298,2013年01月01日至2013年12月31日,,79023,98052,,85442,99586,105706,8120,1529194,1815350,286156,286156,186435,34228,,1004.0,0.92,0.92,95909,88262,113826,,2872.0,,,22644,,11882.0,1808584.0,1792346.0,4356.0,,,,-6419,-1534
2014-05-07,1,2014,,,-48,,,5461,384,158.0,603,384,8687.0,8687.0,773,0.43,0.43,,,8658,,,,13735,2014年01月01日至2014年03月31日,,39651,40254,,39616,40448,48236,121,430640,523749,93109,93109,45031,5855,,,0.43,0.43,25441,39699,48357,,170.0,,,5724,,3630.0,520963.0,515062.0,2271.0,,,,35,-194
2014-08-08,2,2014,,,-5503,,,-831,556,0.0,-7015,556,7460.0,7460.0,-8113,0.12,0.15,,,290,,,,17927,2014年第2季,,11714,4699,,11448,6088,23044,-5537,457301,534746,77445,77445,54401,9035,,,0.12,0.15,27439,17217,17507,,-1098.0,,,5262,,,,527286.0,,,,,266,-1389
2014-11-07,3,2014,,,-1254,,,6345,237,0.0,8980,237,,,10360,0.27,0.28,,,6417,,,,17169,2014年第3季,,27544,36524,,27791,34529,32472,2743,486778,565929,79151,79151,46679,7718,,,0.27,0.28,21792,28798,35215,,1380.0,,,3839,,,,,,,,,-247,1995
2015-03-24,4,2014,,,-7418,,,20048,1435,158.0,17604,1435,,,18602,1.18,1.23,,,27749,,,,70482,2014年度,,112428,130032,,116967,131133,145263,2332,1892473,2238880,346407,346407,201302,31000,,1902.0,1.18,1.23,99820,119846,147595,,2900.0,,,19151,,,,,,,,,-4539,-1101
2015-05-08,1,2015,,,-10,,,-14572,163,0.0,-4676,163,,,-5404,0.13,0.13,,-4676.0,3669,,,,17045,2015年01月01日至2015年03月31日,,16080,11404,,13452,9896,38534,-18775,450575,536651,86076,86076,47542,8374,,,0.13,0.13,22123,16090,19759,,,-728.0,,4366,,,,,,,,,2628,1508
2015-08-07,2,2015,0.0,0.0,-313,,0.0,1605,264,0.0,-6598,264,,,-7619,0.29,0.3,,-6598.0,15987,0.0,0.0,,12767,2015年第2季,,29466,22868,0.0,30189,25204,48916,-3150,513108,608235,95127,95127,46211,9402,0.0,,0.29,0.29,24042,29779,45766,0.0,,-1021.0,0.0,5019,0.0,,,,,,,,-723,-2336
2015-11-06,3,2015,,,-6,,,24921,190,0.0,23332,190,,,27008,0.48,0.48,0.0,23332.0,11831,,,,23493,2015年第3季,0.0,53298,76630,,49922,67870,44249,20886,492761,593724,100963,100963,56714,9090,,,0.48,0.48,24131,53304,65135,,,3676.0,,4225,,,,,,,,,3376,8760
