date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他費損,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-4221,-1700,4280,,,,,-5744,,,0.13,0.13,,,416,,-1523.0,1000,,23299,2013年01月01日至2013年03月31日,57516,51772,51242,45498,64588,-6656,1502690,1655638,152948,152948,88360,24194,,,0.13,0.13,40867,57516,57932,,,,10236,1502690.0,1655638,6274,6274
2013-08-08,2,2013,,-5087,-717,4555,,,,,-5814,,,-0.42,-0.42,,,13937,,-727.0,391,,54081,2013年04月01日至2013年06月30日,-124097,-129911,-159565,-165379,-105027,-5133,1389480,1383400,-6080,-6080,98947,1407,,,-0.42,-0.42,43459,-124097,-110160,,,,9362,1389480.0,1383400,35468,35468
2013-11-11,3,2013,,5722,3852,10014,,,,,5885,,,0.01,0.01,,,19138,,163.0,-3260,,53873,2013年07月01日至2013年09月30日,73635,79520,4345,10230,91367,1406,1310780,1498887,188107,188107,96740,1308,,,0.01,0.01,41559,73635,92773,,,,9200,1310780.0,1498887,69290,69290
2014-03-26,4,2013,,-12,-5816,55451,25887.0,,,,-1080,,,-0.32,-0.32,29564.0,,32726,,-1266.0,4170,,100135,2013年01月01日至2013年12月31日,-18034,-19114,-121389,-122230,-1153,15845,5518687,5885806,367119,367119,368272,5462,,239.0,-0.32,-0.32,262675,-18034,14692,,41.0,,37960,5518687.0,5885806,103355,103116
2014-05-14,1,2014,,-4497,-4049,4957,,,,,-5177,,,-0.14,-0.14,,,2589,,-680.0,2738,,24967,2014年01月01日至2014年03月31日,-45032,-50209,-54801,-59978,-33931,-8512,1417153,1468645,51492,51492,85423,1298,,,-0.14,-0.14,59158,-45032,-42443,,,,12158,1417153.0,1468645,9769,9769
2014-08-07,2,2014,,-1864,3099,4705,,-215.0,-215.0,,-3077,,,-0.06,-0.06,,,13331,,-1213.0,-142,,26359,2014年第2季,12395,9318,-23903,-26980,29679,-3953,1354581,1482634,128053,128053,98159,1290,,,-0.06,-0.06,70510,12395,25726,,,,11615,1354581.0,1482634,36298,36298
2014-11-11,3,2014,,-866,-1436,10631,,0.0,0.0,,-567,,,-0.09,-0.09,,,19982,,299.0,-2549,,25215,2014年第3季,37157,36590,-35038,-35605,63484,-6345,1429997,1593465,163468,163468,99984,1221,,,-0.09,-0.09,73548,37157,57139,,,,12991,1429997.0,1593465,72195,72195
2015-03-23,4,2014,,-8780,-12759,45376,23732.0,,-397.0,1091.0,-14373,,,-0.44,-0.44,21644.0,,23619,,-261.0,6276,,101438,2014年度,-41341,-55714,-167761,-182006,-6857,-10865,5533169,5900408,367239,367239,373699,5029,,-6423.0,-0.44,-0.44,267232,-41341,-17722,,,,49758,5533169.0,5900408,126420,126292
2015-05-12,1,2015,,-82,-2414,6269,,0.0,0.0,,-1345,,,-0.18,-0.18,,-1345.0,3149,,,-1582,-1263.0,28682,2015年01月01日至2015年03月31日,-57394,-58739,-67305,-68650,-42462,-11783,1327847,1378182,50335,50335,92797,1221,,,-0.18,-0.18,62894,-57394,-54245,,,,14056,1327847.0,1378182,9911,9911
2015-08-11,2,2015,,-104,15976,4527,,0.0,0.0,,-1412,,244.0,0.05,0.05,,-1412.0,14887,,,1623,-1552.0,37133,2015年第2季,52388,50976,17917,16505,59423,7852,1164262,1328950,164688,164688,105265,1099,,,0.05,0.05,67033,52388,67275,,,,14274,1164262.0,1328950,34471,34471
