date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備損失,財務成本淨額,金融資產減損損失,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,,-1238.0,19422,4194,603,-46,542,5715.0,1436.0,-0.04,19422,,,201,23209,2013年01月01日至2013年03月31日,-7201,-7247,,-7201,-7247,,-24901,17901,442957,519862,76905,76905,101806,12142,,,3049,,66455,-7201,-7000,,244.0,,,5715,,442957.0,,,,,
2013-08-07,2,2013,,,,-4273,10816,7000,-2229,751,4685.0,358.0,0.09,6462,,,2770,24025,2013年04月01日至2013年06月30日,16286,14057,-2526.0,16286,14057,,17198,1858,398909,522556,123647,123647,106449,11657,,,3065,,70767,16286,19056,,61.0,,10735.0,4685,,,,,,,
2013-10-31,3,2013,,1864.0,,-15745,4881,1424,-3068,401,4915.0,-869.0,0.25,4622,,,12201,25308,2013年07月01日至2013年09月30日,45502,42434,-2347.0,45502,42434,18503.0,73482,-15779,560448,754750,194302,194302,120820,12570,,,3056,,82942,45502,57703,,-148.0,,,4915,18503.0,,,,,,
2014-03-19,4,2013,,12474.0,-6111.0,-13702,27480,12839,-4749,2402,19657.0,1386.0,0.53,38303,,,22569,105475,2013年01月01日至2013年12月31日,95649,90900,,95649,90900,39531.0,124097,-5879,2127927,2671160,543233,543233,419136,45475,,256.0,12239,,268186,95649,118218,,280.0,,,19657,39531.0,,,,,,
2014-05-07,1,2014,,168.0,1194.0,22451,4593,1077,758,413,,-525.0,0.18,22619,,,6634,27221,2014年01月01日至2014年03月31日,32391,33149,,32391,33149,,16444,22581,624970,711643,86673,86673,70229,8771,,,3103,,34237,32391,39025,,-89.0,,,4463,,624970.0,,,,,
2014-08-13,2,2014,,,,-4963,8320,4601,840,626,4373.0,-1113.0,-0.17,-2915,,,-5893,27905,2014年第2季,-31176,-30336,1764.0,-31176,-30336,,-36053,-1016,692299,739736,47437,47437,83490,10997,,,3093,,44588,-31176,-37069,,-189.0,,2048.0,4373,,,,,,,
2014-11-12,3,2014,,982.0,-189.0,15773,5776,2259,618,372,,972.0,-0.13,16755,,,-383,30157,2014年第3季,-23215,-22597,,-23215,-22597,0.0,-40951,17353,689994,729684,39690,39690,80641,13844,,,3145,,36640,-23215,-23598,,165.0,,,4196,0.0,,729684.0,729684.0,729684.0,,
2015-02-16,4,2014,,5291.0,5257.0,48615,192123,177611,14783,1978,16856.0,11735.0,0.72,53906,,,35345,113752,2014年度,130052,144835,,130052,144835,0.0,-58485,223882,2766566,3017695,251129,251129,309614,44032,,-246.0,12534,,151830,130052,165397,,1963.0,,,16856,0.0,,,,,,
2015-05-08,1,2015,,1231.0,81.0,625,3469,162,81,112,,0.0,-0.07,1856,,81.0,-2546,25276,2015年01月01日至2015年03月31日,-12429,-12348,,-12429,-12348,,-16436,1461,660402,710863,50461,50461,66897,10595,,,3195,,31026,-12429,-14975,,,0.0,,2633,,660402.0,,,,,
2015-08-05,2,2015,,,-414.0,-3408,3866,127,-414,523,2953.0,0.0,0.07,-3408,,-414.0,15290,25495,2015年第2季,13117,12703,,13117,12703,,30902,-2495,753603,849178,95575,95575,64673,10282,,,3216,,28896,13117,28407,,,0.0,0.0,2953,,,,,,,
