date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,60823,-3951,26710,252311,234055,-0.03,-0.03,1891,,8884,,-7911.0,-8427,,98599,2013年01月01日至2013年03月31日,1709,28111,280422,-13167,216871,41074,-4079,1661606,2073895,412289,412471,371397,156621,,,-0.03,-0.03,116177,28111,36995,,34656.0,,18411,41278,63551
2013-08-08,2,2013,,,75917,-16021,26300,214778,152447,0.17,0.17,0,,55097,,11336.0,48439,,120051,2013年04月01日至2013年06月30日,22,148608,363386,76539,274042,163661,40044,1918772,2517050,598278,598256,434595,181621,,,0.17,0.17,132923,148608,203705,,24922.0,,18674,72069,89344
2013-11-08,3,2013,,,38721,-7264,52156,-23694,-55612,0.21,0.21,0,,66781,,-18069.0,73819,,124523,2013年07月01日至2013年09月30日,149,180413,156719,91628,75385,148325,98869,2072386,2682297,609911,609762,461437,193747,,,0.21,0.21,143167,180413,247194,,-11266.0,,19842,88785,81334
2014-03-25,4,2013,,,160211,-36961,167056,478636,445291,0.35,,1891,,185864,,-47196.0,148851,,447856,2013年01月01日至2013年12月31日,2030,424309,902945,154634,582314,407832,202341,7492349,9610689,2118340,2118201,1710369,727741,,-24864.0,0.35,,534772,424309,610173,,54806.0,,76605,269675,320631
2014-05-09,1,2014,,0.0,90674,6817,33564,229343,177019,0.17,,2030,,54910,,-14118.0,57527,,108932,2014年01月01日至2014年03月31日,1916,157530,386873,73525,282510,134394,78046,1868646,2424018,555372,555486,421092,182832,,,0.16,,129328,157530,212440,,24232.0,,19862,84005,104363
2014-08-08,2,2014,,,-14330,3415,36682,-191651,-219939,0.29,,0,,85222,,11261.0,92464,,119428,2014年第2季,-958,250937,59286,130763,-36668,220952,115207,2083141,2749841,666700,667658,446706,190169,,,0.29,,137109,250937,336159,,-31357.0,,17354,120174,95954
2014-11-13,3,2014,,,-34360,85625,63024,98347,211767,0.55,,0,,90745,,-57667.0,107284,,119365,2014年第3季,86,291283,389630,192940,263117,141966,240062,2045504,2644073,598569,598483,456517,196150,,,0.54,,141002,291283,382028,,21393.0,,15871,98343,126513
2015-03-25,4,2014,,,10920,108803,172177,454292,667258,1.1,,2030,,268469,,-115351.0,344589,,455517,2014年度,979,815041,1269333,428587,784334,529874,553636,7847083,10145521,2298438,2299489,1769615,782190,,-38015.0,1.09,,531908,815041,1083510,,70520.0,,71933,386454,484999
2015-05-07,1,2015,-7976.0,0.0,39708,105324,65480,-136315,-163295,0.37,,979,-128339.0,51247,-9611.0,,64184,-34153.0,104278,2015年01月01日至2015年03月31日,782,178436,42121,115348,3444,13763,215920,1736810,2182951,446141,446338,432575,210694,,,0.36,,117603,178436,229683,-1635.0,,-29401.0,19068,63088,38677
2015-08-12,2,2015,19047.0,,-29306,410977,31954,-98291,-131268,1.25,,0,-117338.0,120615,22950.0,,76169,28721.0,122704,2015年第2季,-240,477971,379680,395118,314007,98506,500080,1874013,2420516,546503,546743,448237,206230,,,1.23,,119303,477971,598586,3903.0,,-14515.0,19020,82853,65673
2015-11-11,3,2015,8393,,-56057,39972,53549,278530,451345,0.03,,0,270137,55417,10111,,5455,-65996,112486,2015年第3季,0,140820,419350,10635,251782,116071,80166,1799025,2345288,546263,546263,430192,195216,,,0.03,,122490,140820,196237,1718,,59155,18810,130185,167568
2016-03-23,4,2015,-24217.0,,2342,563590,185413,-135329,-18631,1.52,,979,-111112.0,270764,22532.0,,115675,-109575.0,454983,2015年度,542,884973,749644,476872,383860,366495,789242,7270963,9419265,2148302,2148739,1782244,827964,-51450.0,,1.5,,499297,884973,1155737,-4701.0,,-14752.0,75436,408101,365784
2016-05-12,1,2016,-335.0,,65571,-11410,25269,-96625,-203414,0.07,,542,-96290.0,30755,-404.0,,-8748,13807.0,104893,2016年01月01日至2016年03月31日,542,83152,-13473,20598,-49657,128607,-14700,1806460,2348403,541943,541943,413336,207302,,,0.07,,101141,83152,113907,-69.0,,-27746.0,19811,62554,36184
