date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備損失,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,3900,-42,77699,122263,68763,430174,53500,38725.0,430216,2.36,,84293,,285626,,1187773,2013年01月01日至2013年03月31日,886064,1316238,886926,1331314,,1010453,161237,10439844,13240567,2800723,2800723,1790270,172061,,,2.36,,430436,886064,1171690,,,,,3173,,38725,479.0,,,,-862,-15076
2013-08-13,2,2013,,,1473,56,1770,105212,38427,117976,66785,36537.0,117920,2.22,,-7655,,404856,,1214719,2013年04月01日至2013年06月30日,831820,949796,831229,960073,,1166231,70445,10970707,13954098,2983391,2983391,1817160,170665,,,2.22,,431776,831820,1236676,,,,,6967,,36537,17865.0,0.0,,,591,-10277
2013-11-08,3,2013,,,1098,-33,-38251,97437,35690,-59236,61747,31217.0,-59203,2.47,,-23210,,272823,,1358667,2013年07月01日至2013年09月30日,916879,857643,926390,865994,,1161733,27969,11767215,14911472,3144257,3144257,1982524,170372,,,2.47,,453485,916879,1189702,,,,,324,,31217,-13619.0,,,,-9511,-8351
2014-03-26,4,2013,73170.0,,9422,-16,12134,482979,232566,674832,250413,,687836,9.34,,122717,,1061858,,5211155,2013年01月01日至2013年12月31日,3443352,4118184,3504722,4211118,73170.0,4149317,355893,42708106,54391855,11683749,11683749,7534432,704207,,31491.0,9.34,,1619070,3443352,4505210,,,44479.0,,27991,,139220,,,,,-61370,-92934
2014-05-14,1,2014,,,590,40,80487,119046,59972,101482,59074,33931,104977,2.83,,91443,,297599,-4474,1303008,2014年01月01日至2014年03月31日,1066069,1167551,1060098,1154672,,1202540,161128,11078377,14199655,3121278,3121278,1918738,175937,,,2.83,,439793,1066069,1363668,,,3535,,2481,,33931,-7885,,,,5971,12879
2014-08-08,2,2014,,,2885,29,-69858,134296,62816,-251649,71480,33373.0,-309457,2.29,,-65214,,708481,-149.0,1439171,2014年第2季,861905,610256,859332,609429,,1539470,30916,11552813,15138048,3585235,3585235,2045765,206738,,,2.29,,399856,861905,1570386,,,-57779.0,,9432,,33373,7673.0,,,,2573,827
2014-11-07,3,2014,,,-949,9460,17792,149277,76404,42657,72873,31056.0,43133,3.07,,9447,,292826,3142.0,1622243,2014年第3季,1145033,1187690,1149760,1203278,,1298704,139155,13047154,16697213,3650059,3650059,2351355,184814,,,3.07,,544298,1145033,1437859,,,9936.0,,4812,,31056,12208.0,,,,-4727,-15588
2015-03-25,4,2014,2282.0,,10272,-261,208547,569074,288940,116178,280134,,125444,10.96,,243322,,1470373,,5809025,2014年度,4106331,4222509,4112125,4240954,2282.0,4923216,653488,46547389,60045290,13497901,13497901,8574685,764104,,-4215.0,10.96,,2001556,4106331,5576704,,,4790.0,,22221,,124133,,,,,-5794,-18445
2015-05-13,1,2015,,,4933,29010,-212361,101042,43544,-515487,57498,36866.0,-654828,2.53,,-206477,-515487.0,233544,-2320.0,1365475,2015年01月01日至2015年03月31日,957230,441743,947239,437542,,1341279,-150505,11286661,14586968,3300307,3300307,1959028,189157,,,2.53,,404396,957230,1190774,,,,-110331.0,5478,,36866,4527.0,,,,9991,4201
2015-08-07,2,2015,,,5866,-10516,-222832,87536,34784,-72321,52752,34301.0,-68039,2.22,,-57081,-72321.0,406582,-2645.0,1509819,2015年第2季,842479,770158,835641,769271,,1421303,-172242,12099532,15614462,3514930,3514930,2093627,203347,,,2.22,,380461,842479,1249061,,,,-6234.0,14599,142541.0,34301,-2745.0,,,,6838,887
