date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,遞延所得稅費用（利益）,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,807.0,10143,41289,596,309.0,10840,287.0,,697,0.17,16852.0,,8565,25979,2013年01月01日至2013年03月31日,,43112,53952,42931,53843,2210.0,9812,41865,301544,391380,89836,89836,80024,8565.0,43066,,,0.17,10979,43112,,51677,,27454.0,20,,,2210.0,287.0,,,391380.0,391380.0,391380.0,181,109
2013-08-06,2,2013,,142.0,11650,11464,1796,1559.0,11885,237.0,0.0,235,0.05,4830.0,,3614,30190,2013年04月01日至2013年06月30日,,11772,23657,11806,23629,0.0,2126,13260,363997,458669,94672,94672,92546,2382.0,47979,,,0.05,14377,11772,,15386,0.0,6776.0,0,,1232.0,0.0,237.0,363997.0,363997.0,458669.0,458669.0,458669.0,-34,28
2013-11-06,3,2013,,0.0,49124,-24266,61932,792.0,48736,184.0,0.0,-388,0.18,-6956.0,,12799,29083,2013年07月01日至2013年09月30日,,42889,91625,42801,91324,0.0,18022,37666,378732,487734,109002,109002,90980,2667.0,48065,,,0.18,13832,42889,0.18,55688,60956.0,-17340.0,0,30.0,10132.0,0.0,184.0,378732.0,378732.0,487734.0,487734.0,487734.0,88,301
2014-03-21,4,2013,,,136700,37702,73093,,141858,,,1356,0.54,,,25230,115313,2013年01月01日至2013年12月31日,,127270,269128,127117,268563,,42081,110419,1420382,1832917,412535,412535,370454,,201879,,3802.0,,53262,127270,,152500,,,376,,,,,,,,,,153,565
2014-05-09,1,2014,,,159759,63090,2873,,160403,,,644,0.25,,,1678,31346,2014年01月01日至2014年03月31日,,54932,215335,54826,215008,,-9315,65925,310994,405415,94421,94421,103736,1678.0,53165,,,0.25,19225,54932,,56610,,,38,,,,,,,405415.0,405415.0,405415.0,106,327
2014-08-08,2,2014,,,144644,27270,11346,,143986,,,-658,0.17,,,1775,34523,2014年第2季,,37330,181316,37136,181102,,491,38614,366701,468692,101991,101991,101500,,51443,,,0.17,15534,37330,,39105,,,2,,,,,366701.0,366701.0,,,468692.0,194,214
2014-11-07,3,2014,,,-130414,32727,51654,,-129829,,,585,0.4,,,2180,36129,2014年第3季,,89516,-40313,89480,-40204,,7315,84381,430212,552888,122676,122676,115361,,62657,,,0.4,16575,89516,,91696,,,0,,,,,430212.0,430212.0,552888.0,552888.0,552888.0,36,-109
2015-03-13,4,2014,,,189308,162182,69629,,191169,,,1464,0.94,,,5136,137179,2014年度,,209007,400176,208668,399643,,-17626,231769,1456609,1877067,420458,420458,438084,,230090,,397.0,,70815,209007,,214143,,,42,,,,,1456609.0,1456609.0,1877067.0,1877067.0,1877067.0,339,533
2015-05-08,1,2015,,,20880,18843,1312,,20532,,,-348,0.08,,20532.0,-734,29417,2015年01月01日至2015年03月31日,-734.0,16930,37462,16875,37394,,-3959,20155,307809,400016,92207,92207,96166,,52517,,,0.08,14232,16930,,16196,,,0,,,,,,,400016.0,400016.0,400016.0,55,68
2015-08-07,2,2015,,,-159064,58360,1099,,-159532,,,-468,0.16,,-159532.0,24363,30625,2015年第2季,,36113,-123419,36103,-123146,,1017,59459,330256,430538,100282,100282,99265,,54620,,,0.16,14020,36113,,60476,,,0,,,,,330256.0,330256.0,,,430538.0,10,-273
2015-11-09,3,2015,,,-190864,-20031,77764,,-189189,,,1675,0.26,,-189189.0,1510,32250,2015年第3季,,57486,-131703,57381,-131466,,1263,57733,362561,472656,110095,110095,108832,,58289,,,0.26,18293,57486,,58996,,,0,,,,,362561.0,362561.0,472656.0,472656.0,472656.0,105,-237
2016-03-18,4,2015,-2985.0,,-138585,53674,80890,,-141038,,,532,0.55,,-138053.0,24552,125142,2015年度,,121847,-19191,121736,-18969,,12407,133992,1361892,1779082,417190,417190,404783,,219527,-2985.0,,0.55,60114,121847,,146399,,,572,,,,,1361892.0,1361892.0,1779082.0,1779082.0,1779082.0,111,-222
2016-04-28,1,2016,,,8131,-1572,644,,6087,,,-2044,0.08,,6087.0,4036,31539,2016年01月01日至2016年03月31日,4036.0,17616,23703,17596,23601,,23026,-1374,323509,442015,118506,118506,95480,,50121,,,0.08,13820,17616,,21652,,,446,,,,,,,442015.0,442015.0,442015.0,20,102
2016-08-09,2,2016,,,584,3597,6150,,104,,,-480,0.13,,104.0,-1361,33881,2016年第2季,,27754,27858,27736,27913,,17093,9300,370437,489997,119560,119560,102467,,54491,,,0.13,14095,27754,,26393,,,447,,,,,370437.0,370437.0,,,489997.0,18,-55
2016-11-04,3,2016,,,74919,-20304,70683,,74194,,,-725,0.31,,74194.0,4676,35166,2016年第3季,,69044,143238,69061,143093,,23864,49856,446858,586136,139278,139278,115414,,63067,,,0.31,17181,69044,,73720,,,523,,,,,446858.0,446858.0,586136.0,586136.0,586136.0,-17,145
