date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額
2013-05-14,1,2013,,0.0,27778,10086,43860,43860,-0.08,-0.08,,1430,24425,2013年01月01日至2013年03月31日,-16303,27557,-16303,27557,-52037,37164,1435713,1483645,47932,47932,99969,4724,,,-0.08,-0.08,70820,-16303,-14873,700
2013-08-14,2,2013,,0.0,12011,3461,22741,22741,0.17,0.17,,6262,20752,2013年04月01日至2013年06月30日,34531,57272,34531,57272,26265,14528,1705473,1813991,108518,108518,82253,3894,,,0.17,0.17,57607,34531,40793,944
2013-11-13,3,2013,,0.0,-15893,3108,-14617,-14617,-0.1,-0.1,,683,19757,2013年07月01日至2013年09月30日,-20779,-35396,-20779,-35396,-6342,-13754,1271732,1349719,77987,77987,84329,3487,,,,,61085,-20779,-20096,969
2014-03-27,4,2013,,0.0,37757,28094,81909,81623,0.15,0.15,,3641,83444,2013年01月01日至2013年12月31日,31162,113071,31162,113071,-27541,62344,5334496,5655955,321459,321459,349000,13383,,286.0,,,252173,31162,34803,3507
2014-05-14,1,2014,,,19779,3542,-8652,-8652,-0.23,-0.23,,1307,14953,2014年01月01日至2014年03月31日,-46732,-55384,-46732,-55384,-67672,22247,839035,848608,9573,9573,77245,1738,,,,,60554,-46732,-45425,1074
2014-08-12,2,2014,,,-26590,15562,-28897,-28897,-0.1,-0.1,,1712,16169,2014年第2季,-19230,-48127,-19230,-48127,-5453,-12065,1065151,1128075,62924,62924,68377,289,,,,,51919,-19230,-17518,1037
2014-11-12,3,2014,,34240.0,30883,8999,78703,44463,0.02,0.02,,2429,12321,2014年第3季,4586,83289,4586,83289,-32654,39669,1050378,1081162,30784,30784,63438,210,,,,,50907,4586,7015,213
2015-03-26,4,2014,,30150.0,59343,49790,84716,54171,-0.39,-0.39,,9446,52954,2014年度,-78640,6076,-78640,6076,-175039,105845,3759373,3857161,97788,97788,272827,2618,,395.0,,,217255,-78640,-69194,3288
2015-05-13,1,2015,,12112.0,-7741,9935,-2077,-14189,-0.42,-0.42,-2077.0,-397,8373,2015年01月01日至2015年03月31日,-84351,-86428,-84351,-86428,-86252,1504,546881,521544,-25337,-25337,60915,498,,,,,52044,-84351,-84748,690
2015-08-13,2,2015,,-14156.0,-10790,11582,-35938,-21782,-0.53,-0.53,-35938.0,1256,9092,2015年第2季,-106615,-142553,-106615,-142553,-106018,659,490367,441698,-48669,-48669,57349,382,,,,,47875,-106615,-105359,133
2015-11-12,3,2015,,-41052.0,33035,10734,13673,54725,-0.22,-0.22,13673.0,-36,11193,2015年第3季,-44326,-30653,-44326,-30653,-87826,43464,461413,434072,-27341,-27341,60485,277,,,,,49015,-44326,-44362,305
2016-03-25,4,2015,877.0,-4404.0,-43779,52551,-14338,-10811,-1.78,-1.78,-15215.0,-8362,38845,2015年度,-358584,-372922,-358584,-372922,-374552,7606,1881500,1740516,-140984,-140984,233568,1268,877.0,,,,193455,-358584,-366946,1166
2016-05-12,1,2016,,-32558.0,-13694,4839,-56677,-24119,-0.44,-0.44,-56677.0,732,10147,2016年01月01日至2016年03月31日,-88675,-145352,-88675,-145352,-79081,-8862,297115,285303,-11812,-11812,67269,1344,,,,,55778,-88675,-87943,7
2016-08-11,2,2016,,-10695.0,10402,4495,-39163,-28468,-0.35,-0.35,-39163.0,-1588,9025,2016年第2季,-70892,-110055,-70892,-110055,-87374,14894,310660,289009,-21651,-21651,65723,4881,,,,,51817,-70892,-72480,3
2016-11-10,3,2016,,-787.0,-14265,9342,-35447,-34660,-0.44,-0.44,-35447.0,1141,7511,2016年第3季,-89425,-124872,-89425,-124872,-83184,-5100,351237,332632,-18605,-18605,64579,7777,,,,,49291,-89425,-88284,177
