date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,34,-11782,372,11466,11309,-11772,157,2571,-0.21,,406,,,669,10.0,389,-389,,20023,2013年01月01日至2013年03月31日,-24914,-36686,-24909,-36681,-33123,8878,467588,473882,6294,6294,39417,2421,,,16973,-24914,-24245,,,,,,2571,1359,,475241,473882,0.0,-5,-5
2013-08-09,2,2013,,0,-14683,-97,25008,10453,-14681,6,3104,-0.33,-0.33,1345,0.0,,1472,2.0,619,-619,,15783,2013年04月01日至2013年06月30日,-40253,-54934,-40247,-54928,-59969,21188,419689,395169,-24520,-24520,35449,2725,,,16941,-40253,-38781,14549.0,,,185.0,1627.0,3104,526,,395903,395169,208.0,-6,-6
2013-11-07,3,2013,,0,98,1549,918,860,93,6,3035,-0.24,-0.24,1549,,,838,-5.0,528,-528,,28235,2013年07月01日至2013年09月30日,-28970,-28877,-28965,-28872,-27036,-1096,574192,596351,22159,22159,49195,2837,,,18123,-28970,-28132,52.0,,,,0.0,3035,612,,596963,596351,0.0,-5,-5
2014-03-20,4,2013,,2393,-6705,1019,37545,22769,-6640,175,11577,-1.01,-1.01,4048,,,3677,9.0,2365,-2365,,94065,2013年01月01日至2013年12月31日,-122369,-129009,-122348,-128988,-143314,24622,2110936,2146324,35388,35388,178702,11911,,68.0,72726,-122369,-118692,14601.0,,12.0,,636.0,11577,3935,,2150467,2146324,208.0,-21,-21
2014-05-06,1,2014,,15,2593,-3379,366,218,2600,148,3553,-0.35,-0.35,-3364,,,345,7.0,487,-487,,17696,2014年01月01日至2014年03月31日,-41899,-39299,-41894,-39294,-34501,-7053,418396,420990,2594,2594,37095,2472,,,16927,-41899,-41554,,,,,,3553,851,,421841,420990,,-5,-5
2014-08-07,2,2014,,1,-31076,5762,45893,22236,-31083,23,4985,-0.09,-0.09,5879,,,1996,-7.0,598,-598,,22865,2014年第2季,-10640,-41723,-10634,-41717,-54716,46072,548503,537020,-11483,-11483,43233,3018,,,17350,-10640,-8644,23634.0,,,,116.0,4985,583,537603.0,537603,537020,0.0,-6,-6
2014-11-06,3,2014,,9,-3031,-147,218,136,-3025,5,4370,-0.36,-0.36,-138,,,397,6.0,362,-362,,20795,2014年第3季,-43739,-46764,-43728,-46759,-38681,-4661,491430,495649,4219,4219,42900,3064,,,19041,-43739,-43342,77.0,,,,0.0,4370,259,,497597,495649,1689.0,-11,-5
2015-03-19,4,2014,,377,-29862,1771,46766,22861,-23524,194,17235,-1.32,-1.32,2113,,,2926,-2.0,3300,-3300,,82486,2014年度,-160165,-183689,-160144,-183668,-185241,28002,2024716,2008921,-15795,-15795,169446,12254,,7638.0,74706,-160165,-157239,23711.0,,1298.0,35.0,0.0,17235,2197,,2016019,2008921,4901.0,-21,-21
2015-05-05,1,2015,,5,-2985,839,198,50,-2985,148,4791,-0.51,-0.51,844,,-2985.0,1020,,438,-438,0.0,14104,2015年01月01日至2015年03月31日,-61834,-64819,-61828,-64813,-56622,-4192,344762,321943,-22819,-22819,33803,2429,,,17270,-61834,-60814,,,,,,4791,167,,322130,321943,20.0,-6,-6
2015-08-06,2,2015,,0,-20275,4114,33770,16784,-20275,41,4980,-0.21,-0.21,4114,,-20275.0,835,,723,-723,0.0,19087,2015年第2季,-26304,-46579,-26293,-46568,-57650,32181,437652,418069,-19583,-19583,38067,2296,,,16684,-26304,-25469,16945.0,,,,0.0,4980,235,418482.0,418482,418069,178.0,-11,-11
