date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,-10871,46067,118645,,,133918,0.04,,,7898,,1987,,200349,2013年01月01日至2013年03月31日,43850,162495,11746,86318,16888,34860,2513477,2974739,461262,461262,444374,70868,,,0.04,,173157,43850,51748,,15273.0,,2323,32104,76177
2013-08-06,2,2013,,13527,35625,83797,,,93395,-0.22,-0.22,,-8351,,-4880,,186074,2013年04月01日至2013年06月30日,-55617,28180,-59716,-12860,-101179,37211,2823068,3151052,327984,327984,429163,74963,,,-0.22,-0.22,168126,-55617,-63968,,9598.0,,7061,4099,41040
2013-11-11,3,2013,,43900,50432,-54120,,,-63512,0.1,0.1,,40139,,-10774,,207532,2013年07月01日至2013年09月30日,96342,42222,27025,-18830,64554,71927,3556470,4075610,519140,519140,454586,77374,,,0.1,0.1,169680,96342,136481,,-9392.0,,11631,69317,61052
2014-03-26,4,2013,,21854,226194,219231,,,240697,-0.3,-0.3,,12755,,-18587,,800795,2013年01月01日至2013年12月31日,62710,281941,-79919,28293,-123142,198607,12228119,13933957,1705838,1705838,1828980,310773,,794.0,-0.3,-0.3,717412,62710,75465,,22260.0,,30854,142629,253648
2014-05-07,1,2014,,-85315,105345,96582,,,109815,-0.05,-0.05,,-6875,,-2694,,165443,2014年01月01日至2014年03月31日,18694,115276,-13887,50723,6627,5192,2632670,3035613,402943,402943,396316,67401,,,-0.05,-0.05,163472,18694,11819,,13233.0,,12144,32581,64553
2014-08-13,2,2014,,-5091,85157,-113329,,,-127408,0.02,0.02,,33093,,-4240,,177830,2014年第2季,29821,-83508,5760,-62978,8510,54404,2740938,3186869,445931,445931,437421,82587,,,0.02,0.02,177004,29821,62914,,-14079.0,,21422,24061,-20530
2014-11-05,3,2014,,45314,81631,86870,,,98774,0.26,0.26,,25058,87.0,-6965,,198736,2014年第3季,141924,228794,65918,124459,69394,97588,3307615,3842586,534971,534971,465577,89750,,,0.26,0.26,177091,141924,166982,,11991.0,,22392,76006,104335
2015-03-13,4,2014,,766046,311991,295025,-1224.0,,337362,3.68,3.68,,69448,419.0,-24679,,738373,2014年度,1025897,1320922,854939,1058258,111041,984304,11801231,13666409,1865178,1865178,1754137,330780,,369.0,3.67,3.67,684984,1025897,1095345,,41901.0,,69054,170958,262664
2015-05-11,1,2015,,54850,35540,-51930,,2252.0,-62152,0.0,0.0,-51930.0,370,,-7064,-112.0,189312,2015年01月01日至2015年03月31日,28396,-23534,241,-37062,-46899,75665,2881082,3294820,413738,413738,460637,90855,,,0.0,0.0,180470,28396,28766,,,-8082.0,7661,28155,13528
2015-08-10,2,2015,,24777,41428,-46168,,7170.0,-60225,-0.41,-0.41,-46168.0,53343,,-15430,-44.0,187248,2015年第2季,-45551,-91719,-55453,-82157,-33482,41274,2681727,3123763,442036,442036,475518,97378,,,-0.41,-0.41,190892,-45551,7792,,,-6931.0,9501,9902,-9562
2015-11-09,3,2015,,-4781,36747,193345,,-7088.0,230381,0.0,0.0,193345.0,11333,,-11586,447.0,201286,2015年第3季,25651,218996,-17,141669,27100,9884,3480171,4011129,530958,530958,503858,104171,,,0.0,0.0,198401,25651,36984,,,30395.0,10496,25668,77327
2016-03-28,4,2015,-129.0,99507,191649,14794,,4276.0,16676,-0.61,-0.61,14923.0,99529,,-43116,-69.0,783033,2015年度,-23029,-8235,-81322,-48046,-136246,212746,11808467,13663084,1854617,1854617,1990863,387528,-156.0,,-0.61,-0.61,820302,-23029,76500,-27.0,,5960.0,35294,58293,39811
2016-05-04,1,2016,,38297,28493,-101730,,-28761.0,-80656,0.17,0.17,-101730.0,18439,,-12545,-252.0,252664,2016年01月01日至2016年03月31日,33350,-68380,22584,-45261,1128,50661,2410013,2926956,516943,516943,515815,99439,,,0.17,0.17,163712,33350,51789,,,-7939.0,3584,10766,-23119
2016-08-12,2,2016,,27654,60053,-89395,,-41429.0,-49111,0.19,0.19,-89395.0,880,,-1439,-272.0,228006,2016年第2季,48815,-40580,25542,-23152,-32348,82043,2319292,2777176,457884,457884,490232,84514,,,0.19,0.19,177712,48815,49695,,,-1417.0,4225,23273,-17428
2016-11-09,3,2016,,714,23117,-166203,,-5580.0,-180233,0.12,0.12,-166203.0,40287,,1637,-433.0,204262,2016年第3季,33461,-132742,15478,-88509,53007,20741,3023870,3606999,583129,583129,530122,82002,,,0.12,0.12,243858,33461,73748,,,-20043.0,4727,17983,-44233
