date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,-34848,105086,130,5630,40478,0.99,,30137,,76533,2013年01月01日至2013年03月31日,158100,163730,156536,162166,90844,97393,781911,996704,214793,214793,123949,,1657,,,0.98,45759,158100,188237,,0.0,,7823,781911,781911,5941.0,1007974,996704,5329.0,1564,1564
2013-08-12,2,2013,,-199,5252,496,8514,8713,0.45,,43570,,65630,2013年04月01日至2013年06月30日,76052,84566,74515,83029,121367,-1745,797677,1026118,228441,228441,107074,,1434,,,0.45,40010,76052,119622,,0.0,,7493,797677,797677,,1026118,1026118,,1537,1537
2013-11-11,3,2013,,861,3621,842,-14352,-23460,0.57,,17092,,69340,2013年07月01日至2013年09月30日,96488,82136,94950,80598,116792,-3212,744357,973810,229453,229453,112661,8247.0,1361,,,0.57,41960,96488,113580,,0.0,,7675,744357,744357,,973810,973810,,1538,1538
2014-03-25,4,2013,,-31504,119552,1814,9694,38801,2.62,,117579,,278198,2013年01月01日至2013年12月31日,437932,447626,434383,444622,467085,88426,3128876,4050573,921697,921697,454612,,5886,,1777.0,2.6,170528,437932,555511,,-620.0,,32940,3128876,3128876,,4050573,4050573,,3549,3004
2014-05-12,1,2014,,-18364,29268,286,20748,39112,1.06,,35300,,68305,2014年01月01日至2014年03月31日,177489,198237,175878,196626,194816,17973,702742,1018508,315766,315766,120950,,1431,,,1.05,51214,177489,212789,,,,11581,702742,702742,,1018508,1018508,,1611,1611
2014-08-13,2,2014,,68,34712,1356,-38795,-38863,0.89,,59970,,73994,2014年第2季,155281,116486,154639,115794,192701,22550,691371,1011704,320333,320333,127632,,1363,,,0.88,52275,155281,215251,,,,13518,691371,691371,,1011704,1011704,,642,692
2014-11-10,3,2014,,0,10152,1604,38116,38116,0.97,,35737,,75938,2014年第3季,171246,209362,169268,207169,206440,543,715497,1048591,333094,333094,126654,0.0,1032,,,0.97,49684,171246,206983,,0.0,,11213,715497,715497,,1048591,1048591,,1978,2193
2015-03-23,4,2014,,-18343,83236,4031,86513,125024,3.73,,181396,,297537,2014年度,653286,739799,649779,735547,794349,40333,2886535,4188340,1301805,1301805,507456,,4584,,-17134.0,3.71,205335,653286,834682,,3034.0,,46934,2886535,2886535,,4188340,4188340,,3507,4252
2015-04-28,1,2015,,0,12933,564,-26267,-26267,1.21,-26267.0,45635,,84084,2015年01月01日至2015年03月31日,218895,192628,210869,184738,260578,3952,758407,1158958,400551,400551,139973,,790,,,1.2,55099,218895,264530,,,0.0,9545,758407,758407,,1158958,1158958,,8026,7890
2015-08-03,2,2015,,0,10842,400,-34148,-34148,1.01,-34148.0,65436,,81223,2015年第2季,192241,158093,183965,149990,256146,1531,790573,1185673,395100,395100,138954,,842,,,1.0,56889,192241,257677,,,0.0,9711,790573,790573,,1185673,1185673,,8276,8103
2015-11-09,3,2015,,48,45625,473,164518,164470,1.21,164518.0,45437,,85502,2015年第3季,230799,395317,221282,385001,240271,35965,822437,1206249,383812,383812,143541,,818,,,1.2,57221,230799,276236,,,0.0,10133,822437,822437,,1206249,1206249,,9517,10316
2016-03-01,4,2015,-253.0,400,-283147,1724,83893,89587,2.48,84146.0,127792,,336895,2015年度,482629,566522,452715,536673,932541,-322120,3118333,4594088,1475755,1475755,543214,,3581,-253.0,,2.45,202738,482629,610421,0.0,,5841.0,40697,3118333,3118333,,4594088,4594088,,29914,29849
2016-04-28,1,2016,,1213,-4086,116,-52439,-53652,0.55,-52439.0,21320,,78676,2016年01月01日至2016年03月31日,105226,52787,101146,48970,143115,-16569,733879,1010211,276332,276332,133217,,1302,,,0.55,53239,105226,126546,,,0.0,12599,733879,733879,,1010211,1010211,,4080,3817
2016-08-08,2,2016,,-1323,11201,498,5510,6833,0.45,5510.0,51311,,83289,2016年第2季,94958,100468,86815,91962,148172,-1903,713028,1006596,293568,293568,145396,,994,,,0.44,61113,94958,146269,,,0.0,13602,713028,713028,,1006596,1006596,,8143,8506
2016-11-07,3,2016,,-31,639,199,-88736,-88705,0.58,-88736.0,27957,-157.0,82611,2016年第3季,126092,37356,110653,22380,168896,-14847,735691,1048556,312865,312865,143969,,2107,,,0.56,59251,126092,154049,,,0.0,15528,735691,735691,,1048556,1048556,,15439,14976
