date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,50359,27205,4200,4874,4559,-6745.0,77107,4200.0,2470.0,31019,0.08,0.08,,7020,2474.0,-5752,,158660,2013年01月01日至2013年03月31日,25244,102351,22360,99474,9081,23183,1553570,1898254,344684,344684,335603,56075,,0.08,0.08,120868,25244,32264,,,2470,1548696,1893695,2884,2877
2013-07-26,2,2013,,,-2866,14666,2996,7510,5898,-2179.0,3692,2996.0,,6254,0.16,0.16,,16510,2483.0,-1883,,183604,2013年04月01日至2013年06月30日,51762,55454,46183,49563,54570,13702,1887703,2312856,425153,425153,370583,60299,,0.16,0.16,126680,51762,68272,,,2077,1880193,2306958,5579,5891
2013-10-28,3,2013,,,10750,-59042,4895,-1198,1186,-36.0,-3011,4895.0,-2466.0,-13897,0.04,0.04,,8450,172.0,2090,,166571,2013年07月01日至2013年09月30日,14650,11639,10631,7502,72691,-49591,1873730,2292988,419258,419258,346567,56051,,0.04,0.04,123945,14650,23100,,,-2466,1874928,2291802,4019,4137
2014-03-25,4,2013,,-16343.0,109899,-11060,17165,17932,11936,-8981.0,139643,17165.0,4335.0,33502,0.01,0.07,,36183,5223.0,-798,,756476,2013年01月01日至2013年12月31日,17636,157279,3750,142963,69190,972,7175300,8729893,1554593,1554593,1485403,232389,,0.01,0.07,496538,33979,70162,,,4335,7157368,8717957,13886,14316
2014-05-07,1,2014,,0.0,45014,14178,4681,2333,94,-536.0,69552,4681.0,1831.0,21881,0.1,0.1,,16037,3193.0,-2298,,167899,2014年01月01日至2014年03月31日,30067,99619,30365,99532,31374,14730,1545471,1908191,362720,362720,331346,50925,,0.1,0.1,112522,30067,46104,,,1831,1543138,1908097,-298,87
2014-08-11,2,2014,,0.0,356,-33432,4768,790,261,267.0,-19480,4768.0,1386.0,-18489,-0.04,-0.04,,8811,-1614.0,11538,,153213,2014年第2季,-12540,-32020,-11509,-30412,14783,-18512,1485678,1813284,327606,327606,312823,39714,,-0.04,-0.04,119896,-12540,-3729,,,1386,1484888,1813023,-1031,-1608
2014-11-05,3,2014,,0.0,-1741,74562,4026,2105,2198,3706.0,17906,4026.0,4447.0,13910,0.23,0.23,,7627,2031.0,3548,,192916,2014年第3季,75025,92931,68887,86793,4963,77689,1600106,1962002,361896,361896,356933,47701,,0.23,0.23,116316,75025,82652,,,4447,1598001,1959804,6138,6138
2015-03-17,4,2014,,0.0,53828,27973,17591,11952,4124,-996.0,110713,17591.0,11415.0,52039,0.42,0.42,,39167,5842.0,14738,,613116,2014年度,126942,237655,125348,236420,117222,48887,6192183,7598843,1406660,1406660,1289438,199166,,0.42,0.42,477156,126942,166109,,,11415,6180231,7594719,1594,1235
2015-04-24,1,2015,,0.0,33027,5914,3567,85,763,,22167,3567.0,3118.0,-9829,0.07,0.07,22167.0,7516,,-1198,-1139.0,141172,2015年01月01日至2015年03月31日,21248,43415,21588,43511,23599,5165,1212411,1531923,319512,319512,295913,53048,,0.07,0.07,101693,21248,28764,,-108.0,3118,1212326,1531160,-340,-96
2015-08-06,2,2015,,,-52174,12046,3409,445,35,,-67426,3409.0,3203.0,-11757,0.11,0.11,-67426.0,12635,,-886,-3712.0,139626,2015年第2季,33922,-33504,32826,-34318,35191,11366,1250236,1562415,312179,312179,276988,35823,,0.11,0.11,101539,33922,46557,,-217.0,3203,1249791,1562380,1096,814
2015-11-10,3,2015,,,-39448,48520,2344,9354,5482,,11299,2344.0,2879.0,50516,0.11,0.11,11299.0,16518,,6510,781.0,129674,2015年第3季,29811,41110,31234,42582,-8166,54495,1133584,1409791,276207,276207,284373,36567,,0.11,0.11,118132,29811,46329,,550.0,2879,1124230,1404309,-1423,-1472
2016-03-15,4,2015,-3020.0,,-39274,76649,12036,13442,6655,,-26064,,,21939,0.32,0.32,-23044.0,59839,,11413,-6035.0,531462,2015年度,90658,64594,93655,68996,61433,89064,4633304,5791832,1158528,1158528,1097095,165361,-3639.0,0.32,0.32,400272,90658,150497,-619.0,-326.0,11034,4619862,5785177,-2997,-4402
2016-04-28,1,2016,,,25440,-5549,1442,738,0,,9478,1442.0,2483.0,-15469,-0.1,-0.1,9478.0,-1879,,-3072,-487.0,86636,2016年01月01日至2016年03月31日,-30620,-21142,-27277,-17822,-22837,-9662,693973,882473,188500,188500,211337,23446,,-0.1,-0.1,101255,-30620,-32499,,6.0,2483,693235,882473,-3343,-3320
2016-08-11,2,2016,,,-10674,17394,2123,145,60,,-14520,2123.0,2635.0,-1617,-0.06,-0.06,-14520.0,7026,,-817,-2620.0,101950,2016年第2季,-19389,-33909,-15488,-29951,-28428,16065,759111,955432,196321,196321,224749,18275,,-0.06,-0.06,104524,-19389,-12363,,-391.0,2635,758966,955372,-3901,-3958
