date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,,48082,30624,274189,,,274189,1.22,,179817,,,1733,,,2013年01月01日至2013年03月31日,,245069,519258,,244044,517675,370238,54648,307939,1916912,1608973,1608973,1238735,,,,1.22,,245069,424886,,0.0,,,25791,,1916912.0,1916912.0,1916912.0,1025,1583
2013-08-12,2,2013,,,,42797,26251,173370,,,173370,0.92,,131353,,,19295,,1177820.0,2013年04月01日至2013年06月30日,,184550,357920,,183699,356926,255849,60054,243452,1677121,1433669,1433669,1177820,,,,0.92,,184550,315903,,0.0,,,28289,,1677121.0,1677121.0,1677121.0,851,994
2013-11-11,3,2013,,,,160054,29448,-86075,,,-86075,1.09,,86567,,,21351,,1171501.0,2013年07月01日至2013年09月30日,,218025,131950,,217589,131593,123985,180607,257421,1552907,1295486,1295486,1171501,,,,1.09,,218025,304592,,0.0,,,30246,,,,,436,357
2014-03-31,4,2013,,,,339645,120433,543512,,,543512,4.94,,555220,,,54266,,4938350.0,2013年01月01日至2013年12月31日,,989726,1533238,,986226,1528922,1147527,397419,1095623,7181500,6085877,6085877,4938350,,555220.0,,4.94,,989726,1544946,,0.0,,,116925,,,,,3500,4316
2014-05-15,1,2014,,,,11053,32923,107315,,,107315,1.84,,156678,,,19902,,1201506.0,2014年01月01日至2014年03月31日,,367474,474789,,366733,473953,492811,31341,336105,2030422,1694317,1694317,1201506,,,,1.84,,367474,524152,,0.0,,,32537,,,,,741,836
2014-08-12,2,2014,,,,45822,32901,-211246,,,-211246,1.35,,98184,,,18651,,1179185.0,2014年第2季,,269642,58396,,269038,58018,306050,61776,264952,1750187,1485235,1485235,1179185,,,,1.35,,269642,367826,,0.0,,,35598,,,,,604,378
2014-11-13,3,2014,,,,-49652,25967,193439,,,193439,0.38,,95810,,,18734,,1145656.0,2014年第3季,,76212,269651,,76011,269229,207502,-35480,262828,1615986,1353158,1353158,1145656,,,,0.38,,76212,172022,,0.0,,,30529,,,,,201,422
2015-03-26,4,2014,,,,-87359,102955,570742,,,570742,5.38,,441839,,,82212,,4869512.0,2014年度,,1074583,1645325,,1072635,1642739,1550439,-34017,1184145,7604096,6419951,6419951,4869512,,441839.0,,5.38,,1074583,1516422,,0.0,,,131825,,,,,1948,2586
2015-05-14,1,2015,0.0,0.0,0.0,-2211,22593,-163234,0.0,0.0,-163234,1.94,-163234.0,187827,0.0,0.0,22019,0.0,1224500.0,2015年第1季,,383321,220087,0.0,382943,219898,560350,10798,353839,2138689,1784850,1784850,1224500,0.0,,0.0,1.94,,383321,571148,0.0,,0.0,,31603,0.0,,,,378,189
2015-08-12,2,2015,,,,-10491,34352,-109119,,0.0,-109119,1.12,-109119.0,125165,,,29228,,1116288.0,2015年第2季,,220748,111629,,220862,111865,319857,26056,258780,1694925,1436145,1436145,1116288,,,,1.12,,220748,345913,,,0.0,,27033,,,,,-114,-236
2015-11-12,3,2015,0.0,0.0,,-562893,24726,237665,,,237665,-2.48,237665.0,56396,0.0,,1598,,1177186.0,2015年第3季,,-490675,-253010,0.0,-490189,-252840,134670,-568949,248590,1560446,1311856,1311856,1177186,,,0.0,-2.48,,-490675,-434279,0.0,,0.0,0.0,32380,0.0,,,,-486,-170
2016-03-24,4,2015,,,,-511976,99265,-299212,,,-299212,1.63,-299212.0,491256,,,55327,,4771582.0,2015年度,491256.0,320913,21701,,321506,22582,1300577,-488408,1162974,7235133,6072159,6072159,4771582,,,,1.63,,320913,812169,,,0.0,,131024,,,,,-593,-881
2016-05-11,1,2016,,,,-325003,16564,-124820,,,-124820,-0.39,-124820.0,124639,,,-1415,,1144910.0,2016年01月01日至2016年03月31日,,-76208,-201028,,-76051,-200717,390416,-341985,347976,1883302,1535326,1535326,1144910,,,,-0.39,,-76208,48431,,,0.0,,32131,,,,,-157,-311
2016-08-11,2,2016,,,,133563,17096,-288210,,,-288210,0.78,-288210.0,89215,,,-1608,,1102337.0,2016年第2季,,150004,-138206,,150534,-137412,126278,112941,258238,1486853,1228615,1228615,1102337,,,,0.78,0.0,150004,239219,,,0.0,,36110,,,,,-530,-794
2016-11-10,3,2016,0.0,0.0,0.0,526,15948,-350641,0.0,0.0,-350641,-0.39,-350641.0,41243,0.0,0.0,-2345,0.0,1037692.0,2016年第3季,,-73340,-423981,0.0,-72399,-422694,-21746,-10351,227301,1243247,1015946,1015946,1037692,0.0,,0.0,-0.39,,-73340,-32097,0.0,,0.0,,24480,0.0,,,,-941,-1287
