date,season,year,不重分類至損益之項目總額,什項支出,倉儲收入,備供出售金融資產未實現評價損益,債息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他綜合損益,其他綜合損益（淨額）,其他餐旅服務收入,利息收入,利息收入合計,商品收入,國外營運機構財務報表換算之兌換差額,地產出售收入（開發投資公司適用）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,客房收入,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入合計,投資收入（投資公司適用）合計,採用權益法之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,旅遊服務收入合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入,租賃收入合計,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,育樂收入折讓,育樂收入淨額,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遊樂收入,酬勞收入,金融資產重分類淨損益,金融資產（負債）出售淨利益,銷貨收入淨額,門票收入,除列按攤銷後成本衡量金融資產淨損益,電話及電報收入,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務收入折讓,餐旅服務收入淨額,餐飲收入
2013-05-15,1,2013,,197,,41.0,,18098,5092,4638,,,-4520,,,440.0,,-6005,,-0.76,-0.76,,28123,,,,2117,,,,,518.0,-627.0,,-627,,,,33621,,2013年01月01日至2013年03月31日,,-148737,-153257,-148979,-153929,8250,-160817,14197,375732,310077,-65655,-65655,95162,17215,,,,,14,44326,-148737,-146620,,,,-926.0,,,,,0.0,8366,0.0,1578.0,,,,,,,,,242,672,,,
2013-08-14,2,2013,,11419,,60.0,,7014,28342,27749,,,-1045,,,527.0,,-1199,,-0.59,-0.59,,20034,,,,769,,,,,-120.0,-815.0,,-815,,,,18563,,2013年04月01日至2013年06月30日,,-96336,-97381,-114939,-78194,1708,-122513,26946,410968,433867,22899,22899,145412,17226,,,,,15,109623,-96336,-95567,51.0,,,-214.0,,,178.0,,0.0,7595,0.0,-285.0,,,,,433867.0,,,,18603,-19187,,,
2013-11-13,3,2013,,807,,-58.0,,-28386,24322,23687,,0.0,2676,,,539.0,,3405,,-0.7,-0.7,,-8657,,,,46443,,,,,-123.0,-1002.0,,-1002,,,,27542,,2013年07月01日至2013年09月30日,,-133134,-130458,-136838,-134060,18652,-73787,-12904,484339,503427,19088,19088,92875,16819,,,,,14,48514,-133134,-86691,82.0,,,548.0,,,0.0,,0.0,7838,0.0,270.0,,,,,503427.0,,,,3704,3602,,,
2014-03-31,4,2013,,79450,,425.0,,-61781,100558,98314,,269.0,-11009,,,2047.0,,-5237,,-2.68,-2.68,,16517,,,,45463,,,,,0.0,,4346.0,-4346,,,,185892,,2013年01月01日至2013年12月31日,2123.0,-522964,-533973,-485191,-496469,0,-482124,4623,1830209,1820525,-9684,-11807,470317,68771,,-6466.0,,,64,215654,-522964,-477501,133.0,,,0.0,,,135.0,,0.0,29808,1287.0,,,,,,1820525.0,,,,-37773,-37504,,,
2014-05-15,1,2014,,18,,-353.0,,3395,107922,93679,,39.0,-2874,,,213.0,,-3211,,0.25,0.25,14006.0,3416,,,,607,,,,,0.0,,666.0,-666,,,,40555,,2014年01月01日至2014年03月31日,,49093,46219,47738,44825,0,-55518,105218,296947,344743,47796,47796,103314,20216,,651.0,,,24,42543,49093,49700,,,,0.0,,,3.0,,0.0,5433,0.0,,,,,,344743.0,,,,1355,1394,,,
2014-08-14,2,2014,,16,,138.0,,-18204,39064,27149,,-37.0,4261,,,66.0,,4616,,-0.4,-0.4,11825.0,-3416,8046.0,,,1547,,,,,0.0,0.0,1060.0,-1060,,,,32571,,2014年第2季,,-76682,-72421,-77208,-72910,7016,-89655,14520,303095,320383,17288,17288,106943,18104,,-456.0,,,24,56268,-76682,-75135,0.0,,,0.0,,,2.0,292.0,0.0,5280,0.0,0.0,,,,,320383.0,,,,526,489,,,
2014-11-14,3,2014,,4231,,-667.0,,-10740,14028,1302,,34.0,-6163,,,22.0,,-5202,,-0.24,-0.24,12584.0,4195,2678.0,,,10189,,,,,-204.0,,709.0,-709,,,,32777,,2014年第3季,,-46269,-52432,-47269,-53466,8730,-33596,-2484,406321,456936,50615,50615,84211,17824,,-124.0,,,25,33610,-46269,-36080,95.0,,,0.0,,,8.0,712.0,0.0,5063,0.0,0.0,,,,,,,,,1000,1034,,,
2015-03-30,4,2014,,5575,,-882.0,,-16083,200899,122600,,101.0,-23995,,,340.0,,-14260,,-0.9,-0.9,77765.0,13720,,,,10396,,,,,0.0,,11009.0,-11009,,,,145737,,2014年度,,-175445,-199440,-161436,-185532,24861,-318238,153189,1478958,1585134,106176,106176,424414,71947,,-8954.0,,,97,206730,-175445,-165049,97.0,,,0.0,,,371.0,1004.0,,20618,0.0,,,,,,,,,,-14009,-13908,,,
2015-05-14,1,2015,-329.0,1888,,0.0,,-14441,19577,1540,,,2906,,,25.0,,3235,,-0.41,-0.41,17978.0,0,6636.0,,3235.0,-368,,,,,,4518.0,,4518,,,,28492,,2015年第1季,,-80643,-77737,-80515,-77592,5987,-85949,4938,318104,321178,3074,3074,89023,20602,-329.0,,,,34,39929,-80643,-81011,,,,,,70.0,0.0,,,4716,,,,,,,,,,,-128,-145,,,
2015-08-13,2,2015,574.0,0,,0.0,,-6383,133632,82599,,,5029,,,29.0,,4455,,0.26,0.26,50437.0,0,378.0,,4455.0,1889,,,,0.0,,0.0,1488.0,-1488,0.0,,0.0,39419,,2015年第2季,,53328,58357,50316,55368,5952,-65853,121070,280617,313201,32584,32584,98437,15773,574.0,,,,567,43245,53328,55217,0.0,,,,0.0,-53.0,0.0,0.0,0.0,4691,0.0,0.0,,,,,313201.0,,,,3012,2989,,,
2015-11-13,3,2015,-85.0,0,,0.0,,26727,32211,915,,,-17616,,,22.0,,-17531,,-0.01,-0.01,31170.0,26814,0.0,,-17531.0,-208,,,,0.0,,0.0,1170.0,-1170,0.0,,0.0,30543,,2015年第3季,,-1632,-19248,-2003,-19718,0,-55489,53649,329115,350924,21809,21809,77298,15608,-85.0,,,,104,31147,-1632,-1840,0.0,,,,0.0,-17.0,70.0,0.0,0.0,4119,0.0,0.0,,,,,350924.0,,,,371,470,,,
2016-03-30,4,2015,7705.0,4585,,0.0,,-972,214046,5326,,,2876,,,109.0,,-4787,,-0.34,-0.34,207808.0,11286,,,-4829.0,6731,,,,0.0,,,-2211.0,2211,-42.0,-42.0,,134719,,2015年度,,-65120,-62244,-66060,-63142,7460,-256606,198217,1315566,1418977,103411,103411,360017,63227,7705.0,,,,803,162071,-65120,-58389,0.0,,,,0.0,,138.0,-75.0,,17068,0.0,,,,,,,,,,940,898,,,
2016-05-16,1,2016,1926.0,1121,,0.0,,-23158,18453,1817,,,7111,,,367.0,,5185,,-0.39,-0.39,16186.0,0,18483.0,,5185.0,-782,,,,0.0,,0.0,874.0,-874,0.0,0.0,,26899,,2016年01月01日至2016年03月31日,,-75554,-68443,-75335,-68192,3554,-66806,-9530,255626,262953,7327,7327,74133,13560,1926.0,,,,83,33674,-75554,-76336,0.0,,,,0.0,0.0,0.0,0.0,0.0,3951,0.0,,,,,,,,,,-219,-251,,,
2016-08-15,2,2016,1928.0,1042,,,,-18028,27905,10370,24725.0,,5257,,,0.0,,3322,,-0.11,,17468.0,7739,0.0,,3329.0,738,,,,,,287.0,1161.0,-874,7.0,7.0,,25021,,2016年第2季,,-37131,-31874,-21385,-16135,24725,-41486,5093,281343,320396,39053,39053,80539,13173,1928.0,,,,67,42345,-37131,-36393,,,,,0.0,0.0,,,0.0,3910,,,,,0.0,,,,0.0,,-15746,-15739,,,
2016-11-14,3,2016,1925.0,4059,0.0,0.0,0.0,-15132,22871,6200,,,11913,0.0,0.0,,0.0,10028,0.0,-0.07,-0.07,16576.0,0,10552.0,0.0,9988.0,452,0.0,0.0,0.0,0.0,,,890.0,-890,-40.0,,0.0,21928,0.0,2016年第3季,,-14210,-2297,-12776,-823,314,-17141,3383,262477,313105,50628,50628,67769,13468,1925.0,,0.0,0.0,95,32373,-14210,-13758,,0.0,0.0,,0.0,0.0,207.0,0.0,0.0,3466,,0.0,0.0,0.0,,0.0,313105.0,0.0,,0.0,-1434,-1474,0.0,0.0,0.0
