date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,-1538,-14642,41414,,188776,222243,0.41,0.41,,116050,,-687,104921,2013年01月01日至2013年03月31日,222508,411284,179482,333831,330381,8177,3315686,3960108,644422,644422,314041,58604,,,0.4,0.4,150516,222508,338558,,31929.0,,17908,43026,77453
2013-08-09,2,2013,,-1774,-34345,49059,,124676,154092,0.62,0.62,,143538,,-2155,148273,2013年04月01日至2013年06月30日,323242,447918,281521,414711,474971,-8191,3798788,4627436,828648,828648,353677,67514,,,0.61,0.61,137890,323242,466780,,27642.0,,20750,41721,33207
2013-11-11,3,2013,,1963,-15948,64245,,-49507,-59790,0.47,0.47,,103741,,-1013,76392,2013年07月01日至2013年09月30日,244011,194504,212863,174199,323986,23766,3114021,3717526,603505,603505,279519,74287,,,0.47,0.47,128840,244011,347752,,-8320.0,,23518,31148,20305
2014-03-21,4,2013,,-95,-45179,189769,,373663,460074,2.02,2.02,,501251,4985.0,-4985,388300,2013年01月01日至2013年12月31日,1057490,1431153,916351,1252377,1507280,51461,13757595,16473387,2715792,2715792,1208512,292680,,-17471.0,2.01,2.01,527532,1057490,1558741,,68845.0,,88144,141139,178776
2014-05-12,1,2014,,-1612,-1518,65395,,79730,94402,0.59,0.59,,149340,,854,133080,2014年01月01日至2014年03月31日,317184,396914,266087,328238,430781,35743,4287535,5105461,817926,817926,387145,92338,,,0.58,0.58,161727,317184,466524,,13060.0,,28988,51097,68676
2014-08-11,2,2014,,-657,-26754,75257,25374.0,-154398,-179115,0.64,0.64,,137101,,334,160128,2014年第2季,340059,185661,301970,177429,460481,16679,4029444,4945164,915720,915720,455239,119880,,,0.64,0.64,175231,340059,477160,,,,32158,38089,8232
2014-11-12,3,2014,,1696,311,64965,-24323.0,150121,172748,0.68,0.68,,122555,,240,94652,2014年第3季,337990,488111,320269,440719,423131,37414,3501033,4285220,784187,784187,361056,95879,,,0.68,0.68,170525,337990,460545,,,,28102,17721,47392
2015-03-23,4,2014,,-208,-5631,254369,,456146,544051,2.3,2.3,,529239,-1502.0,1502,472932,2014年度,1212677,1668823,1079045,1443700,1599219,142697,14972321,18126566,3154245,3154245,1555026,420020,,-10595.0,2.29,2.29,662074,1212677,1741916,,77102.0,,107543,133632,225123
2015-05-08,1,2015,,-365,7914,51702,,-147016,-171861,0.51,0.51,-147016.0,137428,,1319,116715,2015年01月01日至2015年03月31日,275689,128673,238521,117615,374491,38626,3483393,4237391,753998,753998,379507,104154,,,0.51,0.51,158638,275689,413117,,,-25210.0,22309,37168,11058
2015-07-30,2,2015,,-1645,-11268,53652,,-95335,-109475,0.62,0.62,-95335.0,92066,,2081,144986,2015年第2季,302477,207142,288105,210070,378422,16121,3860046,4654024,793978,793978,415556,117424,,,0.61,0.61,153146,302477,394543,,,-15785.0,28344,14372,-2928
2015-11-09,3,2015,,-6748,21600,53687,,159620,192040,0.5,0.5,159620.0,55760,,-9903,47865,2015年第3季,235707,395327,235992,355636,251298,40169,2740818,3306495,565677,565677,314379,118788,,,0.48,0.48,147726,235707,291467,,,25672.0,25215,-285,39691
2016-03-18,4,2015,-16655.0,-11529,12001,245552,,-333361,-357593,1.86,1.86,-316706.0,366013,10055.0,-10055,433809,2015年度,919196,585835,869435,585124,1134133,151076,12960863,15630047,2669184,2669184,1535051,461854,-20066.0,,1.79,1.79,639388,919196,1285209,-3411.0,,-52416.0,96422,49761,711
2016-05-09,1,2016,,9872,-50969,49708,,-107172,-136562,0.65,0.65,-107172.0,164734,,2010,157800,2016年01月01日至2016年03月31日,339061,231889,302333,220628,526407,-22612,3443612,4386745,943133,943133,416726,100890,,,0.6,0.6,158036,339061,503795,,,-19518.0,23361,36728,11261
2016-08-02,2,2016,,-3327,-33842,84087,,-237571,-285990,1.1,1.1,-237571.0,210241,,1243,214401,2016年第2季,551619,314048,515114,264877,732431,29429,3834169,5068960,1234791,1234791,502360,104856,,,1.03,1.03,183103,551619,761860,,,-51746.0,22059,36505,49171
2016-11-04,3,2016,,2661,-43898,30159,,-293717,-350780,0.58,0.58,-293717.0,115171,,2537,107740,2016年第3季,276841,-16876,275765,21343,425172,-33160,3004199,3802313,798114,798114,372942,105266,,,0.55,0.55,159936,276841,392012,,,-54402.0,21958,1076,-38219
