date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分投資利益,處分投資性不動產利益,虧損性合約損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估增值,金融資產減損迴轉利益,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,113759.0,,,71979,71979.0,,121114,,13184.0,,1085,0.2,,,,,,,18513,,,7566.0,-7476,,,56573,2013年01月01日至2013年03月31日,1404,76406,197520,,77808,198922,,,43600,51319,867970,1059219,191249,189845,146245,42917,,,0.16,,46755,76406,94919,,,1296.0,,,,,,,13184,,,,867970.0,867970.0,1059219.0,1059219.0,1059219.0,-1402,-1402
2013-08-06,2,2013,,,,-105008.0,,-6466.0,1398,,-655.0,-101814,1398.0,,,360,-0.18,,,,,,,1453,,,3489.0,-8425,,,50415,2013年04月01日至2013年06月30日,-195,-72405,-174219,,-70745,-172559,,,1280,-72232,618100,779379,161279,161474,160194,44283,,,-0.18,,65496,-72405,-70952,,,,,,,,,,58739,,,,,618100.0,,,779379.0,-1660,-1660
2013-11-08,3,2013,,,,10500.0,0.0,1948.0,671,,1560.0,2885,671.0,,,-5248,0.01,,,,,,,2054,,,-3927.0,1762,,,50039,2013年07月01日至2013年09月30日,-285,4314,7199,,4909,7794,,,15888,-9520,554704,727103,172399,172684,156796,40275,,,0.01,,66482,4314,6368,,,,,,,,,,13901,,,,,,,,,-595,-595
2014-03-28,4,2013,,,,72502.0,,-470360.0,271139,89307.0,-5777.0,101697,5199.0,,,9982,-1.35,,,,,176633.0,,61496,,,10932.0,-73220,,,355756,2013年01月01日至2013年12月31日,6880,-545637,-443940,,-539469,-437772,621366.0,,-109253,-374888,2509039,3202980,693941,687061,796314,165833,,14058.0,-1.35,,274725,-545637,-484141,,,,,,,,151006.0,,102447,,,,,,,,,-6168,-6168
2014-05-13,1,2014,,,,23674.0,,19209.0,3579,2273.0,,19884,1306.0,15670.0,,-3599,0.01,,6050.0,,760.0,,,6089,,,-666.0,-44119,,,52084,2014年01月01日至2014年03月31日,0,2169,22053,,2463,22347,,0.0,45259,-37001,557807,749942,192135,192895,147636,33547,,,0.01,,62005,2169,8258,,,-475.0,,,126.0,4792.0,,,15670,8241.0,,0.0,557807.0,557807.0,749942.0,749942.0,749942.0,-294,-294
2014-08-13,2,2014,,,,-41317.0,,-5038.0,1811,,2820.0,-55638,1811.0,,,-14804,0.0,,,,197.0,,,-31985,,,-2337.0,-33547,,,55513,2014年第2季,0,-1105,-56743,,-815,-56453,,,18385,-51475,564781,719637,154856,155053,136668,33759,,,0.0,,47396,-1105,-33090,,,,,,,,,,14701,,,,,564781.0,,,719637.0,-290,-290
2014-11-13,3,2014,,,,4326.0,,19965.0,618,,-3517.0,23662,618.0,,,20996,0.0,0.0,,,290.0,,,2399,,,1857.0,-29979,,,43588,2014年第3季,0,-173,23489,,121,23783,,,25510,-23284,484484,645816,161332,161622,136112,35215,,,0.0,0.0,57309,-173,2226,,,,,,,,,,13888,,,,,484484.0,,,645816.0,-294,-294
2015-03-31,4,2014,,,0.0,-38253.0,,-280531.0,82192,76911.0,-7768.0,1887,5281.0,,,32967,-0.69,-0.69,,,1453.0,0.0,,-21334,,,8200.0,-106130,,,208850,2014年度,370,-276543,-274656,,-275308,-273421,310616.0,,63749,-361626,2207579,2857486,649907,650990,587241,137139,,6741.0,-0.69,-0.69,241252,-276543,-297877,,,,,,,,30085.0,,57157,,,,,2207579.0,,2857486.0,2857486.0,-1235,-1235
2015-05-14,1,2015,0.0,-25625.0,,,,22921.0,2234,1863.0,,-37068,371.0,100111.0,0.0,-11229,-0.11,,0.0,3353.0,0.0,,-11443.0,4077,,-25625.0,,-9896,-2447.0,-25625.0,52341,2015年01月01日至2015年03月31日,320,-44790,-81858,,-44495,-81563,,0.0,44139,-84852,521053,710878,189825,189505,145366,33935,,,0.0,,59090,-44790,-40713,,,,-2233.0,,0.0,14114.0,,,100111,12160.0,,0.0,521053.0,521053.0,710878.0,710878.0,710878.0,-295,-295
2015-08-12,2,2015,,-41340.0,,,,-122151.0,1103,,,-52374,1103.0,,,-12701,-0.36,,,,202.0,,-11034.0,-1589,,-41340.0,,-19620,-436.0,-41340.0,42207,2015年第2季,0,-142190,-194564,,-141903,-194277,,,4594,-148373,507055,652947,145892,146094,141500,30061,,,0.0,,69232,-142190,-143779,,,,-2103.0,,,,,,7705,,,,,507055.0,,,652947.0,-287,-287
2015-11-10,3,2015,0.0,0.0,,-32959.0,,346474.0,3573,,,4386,3573.0,,,33921,0.65,0.65,,,0.0,,4386.0,35328,0.0,0.0,,-18839,10629.0,,53619,2015年第3季,189,260155,264541,0.0,260444,264830,,,-29669,325152,500480,634793,134313,134124,163793,31420,0.0,,0.65,0.65,78754,260155,295483,,0.0,,7205.0,0.0,,,,,6056,,0.0,,,500480.0,,,634793.0,-289,-289
2016-03-30,4,2015,,-4405.0,0.0,-68563.0,,205638.0,27707,6664.0,,-88247,12764.0,,,-18767,0.03,0.03,0.0,280.0,126.0,,-83842.0,22395,,0.0,,-139485,552.0,0.0,202551,2015年度,0,12005,-76242,,13214,-75033,88162.0,,59887,-25487,2053201,2689618,636417,636543,576656,124238,-5307.0,,0.03,0.03,249867,12005,34400,8279.0,-902.0,,-2936.0,,377924.0,14114.0,0.0,103873.0,119347,5915.0,,,,2053201.0,,2689618.0,2689618.0,-1209,-1209
2016-05-12,1,2016,,0.0,,-6969.0,,8601.0,6030,676.0,,-13406,5354.0,6589.0,0.0,-3587,-0.01,,512.0,0.0,501.0,,-13406.0,615,,0.0,,-19872,-4122.0,,55114,2016年01月01日至2016年03月31日,0,-4146,-17552,,-3857,-17263,,0.0,8299,-11830,536283,695903,159620,160121,151822,29360,,,0.0,,67348,-4146,-3531,,,,-1272.0,,0.0,0.0,,,6589,8089.0,,0.0,536283.0,536283.0,695903.0,695903.0,695903.0,-289,-289
2016-08-13,2,2016,,0.0,,-2178.0,,-26383.0,5570,,,-24386,5570.0,,,-20347,-0.1,,,,236.0,,-24386.0,4040,,,,-12447,-6171.0,,54929,2016年第2季,0,-40559,-64945,0.0,-40294,-64680,,,1136,-37655,497662,647708,150046,150282,149146,28937,,,-0.1,,65280,-40559,-36519,,,,-4310.0,,,,,,4395,,,,,497662.0,,,647708.0,-265,-265
2016-11-11,3,2016,0.0,0.0,,-16116.0,,-7319.0,3519,,,-42875,3519.0,,,-24485,-0.08,-0.08,,,494.0,,-42875.0,-2014,0.0,0.0,,-19237,-7467.0,,45845,2016年第3季,0,-33158,-76033,0.0,-33006,-75881,,,-7496,-27676,490198,626260,136062,136556,144052,29166,0.0,,-0.08,-0.08,69041,-33158,-35172,,0.0,,-5193.0,0.0,,,,,4639,,0.0,,,490198.0,,,626260.0,-152,-152
