date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,0.0,-4999,2372,1060,1190,-3484,1364,1.05,,12141,,,151.0,-118,,,41963,2013年01月01日至2013年03月31日,65580,62096,,63843,59541,,74407,3314,598093,730126,132033,132033,58816,,,1.04,16853,65580,77721,,0.0,,,,,,,,,730126.0,1737,2555
2013-05-09,1,2014,,,0.0,-3484,10380,55,1222,-3692,-204,0.26,,2906,,,-4.0,1626,,,41090,2014年01月01日至2014年03月31日,15473,11781,,16120,12643,,6608,11771,448306,513213,64907,64907,59521,,,0.26,18431,15473,18379,,0.0,,,290.0,,,,,,513213.0,-647,-862
2013-08-09,2,2013,,,0.0,4406,4871,301,1188,5877,753,0.52,,7580,,,718.0,2580,,,51997,2013年04月01日至2013年06月30日,32324,38201,,31725,37153,,32152,7752,665143,765831,100688,100688,69724,,,0.52,17727,32324,39904,,,,,,,665143.0,665143.0,765831.0,765831.0,765831.0,599,1048
2013-11-05,3,2013,,,0.0,-7884,7798,8243,1004,-8319,-426,1.29,,10974,,,-9.0,14839,,,51631,2013年07月01日至2013年09月30日,79723,71404,,78845,70777,,59817,30880,947126,1075622,128496,128496,69683,,,1.29,18052,79723,90697,,0.0,,,,,947126.0,947126.0,1075622.0,1075622.0,1075622.0,878,627
2014-03-20,4,2013,,,,-8522,42771,9799,4654,-7477,2795,3.03,,37891,,,720.0,15382,,,190574,2013年01月01日至2013年12月31日,186383,178906,,184733,175707,,156444,67830,2673307,3108572,435265,435265,283475,,-2976.0,3.02,92901,186383,224274,,-506.0,,,122.0,,2673307.0,2673307.0,3108572.0,3108572.0,3108572.0,1650,3199
2014-08-08,2,2014,,,0.0,7792,4041,198,1026,6755,-1048,0.64,,5925,,,11.0,-1366,,,48075,2014年第2季,37715,44470,,38987,46238,,41166,2474,717097,825633,108536,108536,68396,,,0.64,20321,37715,43640,,,,,399.0,,717097.0,717097.0,825633.0,825633.0,825633.0,-1272,-1768
2014-11-10,3,2014,,,,-9628,9586,5058,2452,-8288,1339,1.03,,9228,,,1.0,5411,,,49480,2014年第3季,64068,55780,,62694,53688,,53469,19827,940216,1053682,113466,113466,62449,,,1.03,12969,64068,73296,,0.0,,,228.0,,940216.0,940216.0,1053682.0,1053682.0,1053682.0,1374,2092
2015-03-20,4,2014,,,,38466,31592,5522,9672,38274,1636,2.07,,23565,,,605.0,13242,,,182309,2014年度,127136,165410,,125497,162768,,101716,48985,2541478,2884999,343521,343521,251477,,-2931.0,2.07,69168,127136,150701,,-498.0,,,1371.0,,,,,,,1639,2642
2015-05-08,1,2015,,,0.0,15945,2513,755,1161,15226,-555,0.51,15226.0,6910,,,,-8265,-164.0,,40224,2015年01月01日至2015年03月31日,30148,45374,,30121,45669,,42171,-5113,492788,591080,98292,98292,57282,,,0.5,17058,30148,37058,,,0.0,,116.0,,,,,,591080.0,27,-295
2015-08-11,2,2015,,,0.0,-43996,20228,259,1263,-44866,-692,1.29,-44866.0,5128,,,,3463,-178.0,,52062,2015年第2季,79273,34407,,76778,32328,,60451,23950,752605,879957,127352,127352,68164,,,1.29,16102,79273,84401,,,0.0,,0.0,,752605.0,752605.0,879957.0,879957.0,879957.0,2495,2079
