date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,金融資產重分類淨損益,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,-4584,-3267,3486,0.0,29711,1424.0,34509,0.1,0.0,,8649,,,0.0,,48237,2013年01月01日至2013年03月31日,0.0,9737,39448,,10580,40613,19591,-1205,477278,597041,119763,119763,100172,18173,,,0.1,33762,9737,18386,,214.0,,,1424,,0.0,477278,,,597041,,-843,-1165
2013-08-06,2,2013,,,-5289,-7355,12051,0.0,16634,1143.0,22243,0.11,0.0,,1995,,,0.0,,55056,2013年04月01日至2013年06月30日,0.0,9293,25927,,11173,27412,7735,3553,464152,579984,115832,115832,108097,20357,,,0.11,32684,9293,11288,,320.0,,,1143,,0.0,464152,,,579984,,-1880,-1485
2013-11-08,3,2013,,,5852,1957,15217,,-6511,923.0,-12084,0.26,,,6405,,,,,49893,2013年07月01日至2013年09月30日,,25154,18643,,26950,19677,15308,16251,498286,616549,118263,118263,102955,20455,,,0.26,32607,25154,31559,,279.0,,,923,,,498286,,,616549,,-1796,-1034
2014-03-26,4,2013,,,-282,-8909,49084,,60055,,60370,0.48,,,20838,,,947.0,,207819,2013年01月01日至2013年12月31日,,39592,99647,,50076,108534,24181,36249,1929271,2380649,451378,451378,427197,78877,,1425.0,0.48,140501,39592,60430,,1458.0,,,4873,,,1929271,0.0,2380649.0,2380649,0.0,-10484,-8887
2014-05-07,1,2014,,,-4808,-7999,5013,0.0,19406,606.0,24518,0.56,0.0,,17752,,,1961.0,,61589,2014年01月01日至2014年03月31日,0.0,56577,75983,,58158,77064,75960,-1631,649544,837055,187511,187511,111551,18873,,,0.56,31089,56577,74329,,304.0,,,606,,0.0,649544,,,837055,,-1581,-1081
2014-08-07,2,2014,,,-1959,541,11328,,-32040,497.0,-30508,0.62,0.0,,17026,,,-3096.0,,66977,2014年第2季,0.0,64943,32903,,64160,32838,73693,8276,638817,844998,206181,206181,132488,21158,,,0.62,44353,64943,81969,,-427.0,,,497,,0.0,638817,,,844998,,783,65
2014-11-11,3,2014,,,5057,7049,7353,,25630,437.0,19761,0.39,,,9916,,,-4843.0,,56644,2014年第3季,,40377,66007,,40206,67150,41171,9122,680685,838437,157752,157752,116581,20285,,,0.39,39652,40377,50293,,-812.0,,,437,,,680685,,,838437,,171,-1143
2015-03-10,4,2014,,,-620,920,19036,,78990,,79653,2.06,,,50006,,,-5978.0,,251228,2014年度,,210556,289546,,213202,293758,248523,12039,2689087,3429139,740052,740052,491529,80369,,-954.0,2.05,159932,210556,260562,,-911.0,,,1939,,,2689087,0.0,3429139.0,3429139,0.0,-2646,-4212
2015-05-11,1,2015,0.0,0.0,-1090,7203,9375,,-28781,291.0,-28492,0.58,0.0,-28781.0,12825,0.0,0.0,0.0,0.0,58774,2015年01月01日至2015年03月31日,0.0,60371,31590,0.0,60156,33340,56909,16287,657785,828454,170669,170669,113760,17141,0.0,,0.58,37845,60371,73196,0.0,,-801.0,0.0,291,0.0,,657785,,,828454,,215,-1750
2015-08-06,2,2015,,,-4903,-2847,8105,,-20598,275.0,-15555,0.27,0.0,-20598.0,10225,,,0.0,,54783,2015年第2季,0.0,28040,7442,,28389,7366,33282,4983,562342,704962,142620,142620,109338,17175,,,0.27,37380,28040,38265,,,140.0,,275,,0.0,562342,,,704962,,-349,76
2015-11-10,3,2015,0.0,0.0,-19798,34851,13370,,36510,871.0,56731,0.84,,36510.0,18304,0.0,0.0,0.0,,64284,2015年第3季,,86755,123265,0.0,86642,122088,57709,47350,818925,998825,179900,179900,122191,18314,0.0,,0.83,39593,86755,105059,0.0,,423.0,0.0,871,0.0,,818925,,,998825,,113,1177
2016-03-15,4,2015,,271.0,-30331,50376,42766,,-45904,,-16264,2.62,,-46175.0,58526,,,0.0,,253596,2015年度,,267705,221801,,270826,225855,235201,91030,2898130,3637295,739165,739165,503964,76690,326.0,,2.58,173678,267705,326231,55.0,,-420.0,,2112,,,2898130,0.0,3637295.0,3637295,0.0,-3121,-4054
2016-05-10,1,2016,0.0,0.0,16165,-2494,11941,,-6244,862.0,-22318,0.87,0.0,-6244.0,21978,0.0,0.0,0.0,,57401,2016年01月01日至2016年03月31日,0.0,89261,83017,0.0,89350,82928,102654,8585,832947,1056302,223355,223355,120701,20486,0.0,,0.86,42814,89261,111239,0.0,,91.0,0.0,862,0.0,,832947,,,1056302,,-89,89
2016-08-04,2,2016,,,-5449,7927,32930,,-38953,2906.0,-29410,0.59,0.0,-38953.0,32682,,,2926.0,-4134.0,58851,2016年第2季,0.0,60305,21352,,60836,27467,52110,40877,933835,1120812,186977,186977,134867,20938,,,0.59,55078,60305,92987,,,-40.0,,2906,,0.0,933835,,,1120812,,-531,-6115
2016-11-08,3,2016,0.0,0.0,4359,-21825,32997,,-80647,4134.0,-83811,0.89,,-80647.0,23241,0.0,0.0,1585.0,-1528.0,80999,2016年第3季,,99990,19343,0.0,91969,26467,114608,8623,1546636,1869196,322560,322560,207952,33447,0.0,,0.89,93506,99990,123231,0.0,,-333.0,0.0,4134,0.0,,1546636,,,1869196,,8021,-7124
