date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,151922,-230452,23760,13942,158352,6430,1.42,,,847403,,,2345,,3460440,2013年01月01日至2013年03月31日,3855662,4014014,3806814,3964110,4987366,-284301,16874357,26557067,9682710,9682710,4709286,,,1.41,,1248846,3855662,4703065,,,79954,48848,49904
2013-07-30,2,2013,,,-179829,-429698,53271,8621,-177940,1889,1.47,,,825253,,,-3478,,3419478,2013年04月01日至2013年06月30日,4019585,3841645,3956796,3804014,5308405,-463567,16822702,26770309,9947607,9947607,4647823,,,1.47,,1228345,4019585,4844838,0.0,,83662,62789,37631
2013-10-31,3,2013,,,99771,-226387,43213,25667,98567,-1204,1.58,,,883095,,,-8437,,3106348,2013年07月01日至2013年09月30日,4305181,4403748,4271058,4371322,5484984,-296708,17422063,27261510,9839447,9839447,4380130,,,1.58,,1273782,4305181,5188276,0.0,,105097,34123,32426
2014-01-28,4,2013,,,54782,-1381610,158090,59343,53691,303,5.79,,,3300760,,-1859.0,-55403,,13375927,2013年01月01日至2013年12月31日,15817781,15871472,15583447,15655368,20794837,-1676296,70033319,109143367,39110048,39110048,18374554,,560.0,5.78,,4998627,15817781,19118541,95.0,,397373,234334,216104
2014-04-29,1,2014,,-39732.0,-152576,91043,34672,26451,-152213,275,1.52,1.53,,863441,,88.0,-5950,,3434963,2014年01月01日至2014年03月31日,4175892,4023679,4084223,3928791,5111031,-31966,17990553,27726474,9735921,9735921,4651341,,,1.51,1.52,1216378,4215624,5079065,,,151731,91669,94888
2014-07-28,2,2014,,-38597.0,-46165,-104795,49366,29595,-20622,-7403,1.54,1.54,,888480,,32946.0,897,,3055194,2014年第2季,4267539,4246917,4136910,4100177,5393732,-199116,17332519,26936239,9603720,9603720,4239583,,,1.54,1.54,1184389,4306136,5194616,0.0,,144584,130629,146740
2014-10-31,3,2014,,0.0,-85736,-422074,52288,33277,-77954,7316,1.39,1.39,,623194,,466.0,-2425,,3140756,2014年第3季,3916605,3838651,3737133,3670739,5086394,-546595,18319096,27767615,9448519,9448519,4395402,,,1.39,1.39,1254646,3916605,4539799,0.0,,174384,179472,167912
2015-01-29,4,2014,,-78329.0,-763588,-780195,541030,110111,-721504,14226,5.56,5.57,,3233643,,47120.0,-4639,,12979675,2014年度,15553105,14831601,15005428,14271279,19710715,-845638,75098238,112623879,37525641,37525641,17925037,,-23207.0,5.55,5.56,4945362,15631434,18865077,-3945.0,,601834,547677,560322
2015-04-30,1,2015,,0.0,-282000,-64147,38831,50249,-305278,-5353,1.4,1.4,-305278.0,211312,,,1469,-17925.0,3213664,2015年01月01日至2015年03月31日,3935034,3629756,3812687,3524199,4340719,-194373,20979696,29717570,8737874,8737874,4447404,,,1.4,1.4,1233740,3935034,4146346,,0.0,170526,122347,105557
2015-07-30,2,2015,,0.0,-301565,-18390,57540,30915,-305730,-8764,1.45,1.45,-305730.0,762647,,,15695,4599.0,3134489,2015年第2季,4068035,3762305,3947422,3655069,4948075,-117393,19056207,28326891,9270684,9270684,4353524,,,1.45,1.45,1219035,4068035,4830682,,0.0,172238,120613,107236
2015-10-29,3,2015,,0.0,-627598,22294,63648,26765,-638564,6587,1.53,1.53,-638564.0,773247,,,16898,-17553.0,3007778,2015年第3季,4277235,3638671,4159184,3555361,5143586,-93104,18192954,27565863,9372909,9372909,4256088,,,1.52,1.52,1248310,4277235,5050482,,0.0,195944,118051,83310
