date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-61734.0,-0.07,,34755,1376,19406,19406,-0.24,-0.17,3612.0,,276,3129,,198813,2013年01月01日至2013年03月31日,0.0,-192057,-172651,-197620,-178214,-118104,-11943,2127994,2240851,112857,116469,234573,35760,,-130323,-130047,,,,51203,2127994.0,2240851.0,5563,5563
2013-08-09,2,2013,,-4877.0,0.0,,22974,3391,4409,4409,-0.11,-0.11,0.0,,32702,2572,,206182,2013年04月01日至2013年06月30日,0.0,-91217,-86808,-93602,-89193,-30940,-22698,2033718,2246667,212949,212949,243889,37707,,-86340,-53638,,,,51635,2033718.0,2246667.0,2385,2385
2013-11-08,3,2013,,-5120.0,-0.01,,-6352,6867,-9790,-9790,0.0,0.01,0.0,,38601,5835,,142427,2013年07月01日至2013年09月30日,0.0,2363,-7427,2056,-7734,92403,-46319,2241908,2511965,270057,270057,177654,35227,,7483,46084,,,,52669,,2511965.0,307,307
2014-03-28,4,2013,,-76356.0,-0.1,94996.0,14073,77195,65787,23656,-0.36,-0.26,3612.0,,158770,24064,,701060,2013年01月01日至2013年12月31日,0.0,-276836,-211049,-288109,-222322,54338,-96048,8656329,9553023,896694,900306,845968,144908,,-200480,-41710,,52865.0,,211380,,9553023.0,11273,11273
2014-05-09,1,2014,,-4066.0,-0.01,,19723,8549,12732,15340,0.12,0.13,0.0,,52376,4421,,188197,2014年01月01日至2014年03月31日,0.0,95971,108703,91900,104632,170243,-17830,2581842,2976693,394851,394851,224608,36411,,100037,152413,,2608.0,,50523,2581842.0,2976693.0,4071,4071
2014-08-08,2,2014,,-5219.0,-0.01,,-7334,31619,-12393,-14932,0.14,0.15,0.0,,99638,8174,,188540,2014年第2季,,118488,106095,117317,104924,241809,-18464,2855063,3327393,472330,472330,230521,41981,,123707,223345,,-2539.0,,50923,2855063.0,3327393.0,1171,1171
2014-11-07,3,2014,,9285.0,0.01,,28978,46286,13813,16643,0.28,0.27,0.0,,100641,7652,,212459,2014年第3季,,220826,234639,218758,232571,280329,31853,2996364,3533304,536940,536940,256611,44152,,211541,312182,,2830.0,,51063,2996364.0,3533304.0,2068,2068
2015-03-20,4,2014,,0.0,0.0,12327.0,103218,101309,55895,56246,0.82,0.82,0.0,,341528,31370,,838160,2014年度,,681595,737490,660706,716601,990412,32711,11833871,13831273,1997402,1997402,1006990,168830,,681595,1023123,,12678.0,,203186,11833871.0,13831273.0,20889,20889
2015-05-08,1,2015,,0.0,0.0,0.0,29872,15689,-14007,-16595,0.31,0.31,,-14007.0,41633,7720,,213223,2015年第1季,,246933,232926,247933,235296,285551,3015,3233357,3775932,542575,542575,257024,43801,,246933,288566,,,-2588.0,50266,3233357.0,3775932.0,-1000,-2370
2015-08-06,2,2015,,0.0,0.0,-12270.0,-20170,15418,-16269,-4510,0.32,0.32,,-16269.0,70808,18014,,217800,2015年第2季,,262413,246144,255873,241109,369110,-35889,3526933,4162707,635774,635774,266664,48864,,262413,333221,,,-511.0,49151,3526933.0,4162707.0,6540,5035
2015-11-11,3,2015,,0.0,0.0,0.0,12609,16926,47392,55436,0.26,0.26,,47392.0,74854,25604,,221860,2015年第3季,,216461,263853,211651,250926,284701,6614,3178219,3734523,556304,556304,271603,49743,,216461,291315,,,8044.0,48525,3178219.0,3734523.0,4810,12927
2016-03-30,4,2015,-19376.0,,,-68082.0,26609,61084,-47203,36134,1.3,1.3,,-27827.0,256656,58974,-104.0,889724,2015年度,,1068105,1020902,1051499,999118,1370008,-45247,13632571,16100450,2467879,2467879,1097871,208147,-23345.0,1068105,1324761,-3969.0,,-4225.0,191914,,,16606,21784
2016-05-04,1,2016,,0.0,,,-55862,14739,-17832,-20863,0.28,0.28,,-17832.0,48346,10172,,232597,2016年01月01日至2016年03月31日,,228407,210575,225064,210263,347551,-70798,3420427,4056851,636424,636424,288873,56276,,228407,276753,,,-3031.0,39847,,,3343,312
2016-08-09,2,2016,,,,0.0,-49211,17241,621,696,0.25,0.25,,621.0,41441,9878,,205863,2016年第2季,,197013,197634,198477,198848,297950,-59496,3610376,4179321,568945,568945,270995,65132,,197013,238454,,,75.0,37404,,,-1464,-1214
2016-11-09,3,2016,,0.0,0.0,0.0,-18704,23650,-25013,-29665,0.09,0.09,,-25013.0,19164,6241,,225067,2016年第3季,,79624,54611,75559,52846,124133,-25345,3399501,3809463,409962,409962,285829,60762,,79624,98788,,,-4652.0,36532,3399501.0,3809463.0,4065,1765
