date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,財務成本淨額
2013-05-03,1,2013,,,-4663,8914,10515,183501,10515.0,15185.0,188164,0.82,0.82,,107031,,88090,2013年01月01日至2013年03月31日,265382,448883,265382,448883,368169,4244,4354588,4958655,604067,604067,235898,50710,,,0.81,0.81,97098,265382,372413,,,,15185
2013-08-07,2,2013,,,960,28532,3796,112685,3796.0,12984.0,134608,0.36,0.36,,277951,,129773,2013年04月01日至2013年06月30日,116521,229206,116521,229206,375128,19344,4179573,4846118,666545,666545,291417,63845,,,0.36,0.36,97799,116521,394472,22883.0,,,12984
2013-11-11,3,2013,,,-15619,44066,1254,-82339,1254.0,,-80385,0.77,0.77,,149122,,156487,2013年07月01日至2013年09月30日,251047,168708,251047,168708,373179,26990,4299900,4994624,694724,694724,321545,57569,,,0.77,0.77,107489,251047,400169,-13665.0,,,18330
2014-03-27,4,2013,,,86901,143222,11208,421492,11208.0,,399211,2.52,2.52,,658335,-2698.0,505660,2013年01月01日至2013年12月31日,816984,1238476,816984,1238476,1383560,91759,17142549,19734932,2592383,2592383,1208823,238241,,3246.0,2.51,2.51,464922,816984,1475319,67866.0,,,59973
2014-05-06,1,2014,,,-30243,-15818,24468,69593,,14003.0,120285,0.44,0.44,,86582,-794.0,124279,2014年01月01日至2014年03月31日,144435,214028,144435,214028,237164,-6147,4329953,4899589,569636,569636,332472,52800,,,0.44,0.44,155393,144435,231017,20449.0,,,14003
2014-08-12,2,2014,,,26631,-12568,14525,-129870,,,-170275,0.42,0.42,,97786,-1693.0,134607,2014年第2季,136620,6750,136620,6750,250862,-16456,4525903,5081495,555592,555592,304730,51389,,,0.42,0.42,118734,136620,234406,-13774.0,,,16720
2014-11-12,3,2014,,,-81935,-4263,33677,43935,,,151650,0.3,0.3,,84093,0.0,139312,2014年第3季,99512,143447,99512,143447,174635,8970,4541304,5038361,497057,497057,322422,59154,,,0.3,0.3,123956,99512,183605,25780.0,,,20444
2015-03-19,4,2014,,,-82976,-32366,126575,308150,,,485835,1.62,1.62,,400705,-5976.0,554165,2014年度,529668,837818,529668,837818,913165,17208,17960021,20145767,2185746,2185746,1272581,215240,,3055.0,1.62,1.62,503176,529668,930373,97764.0,,,71025
2015-05-05,1,2015,,,-6256,-17322,2946,-112657,,,-128193,0.38,0.38,-112657.0,86556,-2851.0,125694,2015年01月01日至2015年03月31日,119500,6843,119500,6843,241615,-35559,4036252,4549838,513586,513586,271971,44303,,,0.37,0.37,101974,119500,206056,,-21792.0,,18332
2015-08-11,2,2015,,,-41875,5148,3875,-118557,,,-92388,0.23,0.23,-118557.0,77918,-1975.0,150920,2015年第2季,71216,-47341,71216,-47341,158881,-9747,3875133,4344747,469614,469614,310733,51342,,,0.23,0.23,108471,71216,149134,,-15706.0,,16795
2015-10-22,3,2015,,,24600,-23936,26159,250396,,,272044,0.57,0.57,250396.0,149075,-1771.0,151192,2015年第3季,179596,429992,179596,429992,346640,-17969,4358034,5021291,663257,663257,316617,53098,,,0.57,0.57,112327,179596,328671,,46248.0,,18421
2016-03-17,4,2015,-3974.0,80671.0,-10305,-11150,46063,-112772,,,-118666,1.92,1.92,-108798.0,468502,-12518.0,583821,2015年度,600054,487282,600054,487282,1117025,-48469,16702637,19077278,2374641,2374641,1257616,205148,-3974.0,,1.91,1.91,468647,600054,1068556,,-20173.0,69521.0,70864
2016-04-18,1,2016,,,62464,-7456,3472,-61685,,,-149576,0.85,0.85,-61685.0,170674,-1538.0,128830,2016年01月01日至2016年03月31日,260676,198991,260676,198991,450023,-18673,3901607,4646044,744437,744437,294414,52682,,,0.85,0.85,112902,260676,431350,,-25427.0,,13151
2016-08-04,2,2016,,,19576,16833,20854,-127774,,,-177531,0.69,0.69,-127774.0,160708,-1298.0,138373,2016年第2季,210428,82654,210428,82654,349568,21568,4147507,4818045,670538,670538,320970,70585,,,0.69,0.69,112012,210428,371136,,-30181.0,,14821
2016-10-27,3,2016,,,71277,-24570,25783,-196730,,,-322900,0.83,0.83,-196730.0,168085,0.0,136594,2016年第3季,252953,56223,252953,56223,433451,-12413,4288252,5027266,739014,739014,305563,54281,,,0.83,0.83,114688,252953,421038,,-54893.0,,13626
