date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,加工成本,加工收入淨額,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,17332,5990,367,48502,252813.0,182376.0,252813,182376,22661,-0.18,,975,,8507,2013年01月01日至2013年03月31日,-37950,10552,-36079,11324,-22228,-14747,323095,326321,3226,3226,25454,8509.0,,238,,,19697,96520,,16709,-37950,-36975,,,,21104,,50585,2603,50028,47425,0.0,-1871,-772
2013-08-09,2,2013,,1803,13749,1239,26788,,,259163,195074,17912,-0.08,,6721,,6571,2013年04月01日至2013年06月30日,-18364,8424,-17297,8725,-5651,-5992,340269,358837,18568,18568,24219,7073.0,,221,,,19807,107300,,17427,-18364,-11643,,0.0,,20980,,61299,1485,57948,56463,0.0,-1067,-301
2013-11-08,3,2013,,-14975,-32970,3198,-11625,,,276218,196740,-7607,-0.4,,2184,,8936,2013年07月01日至2013年09月30日,-84034,-95659,-81216,-92499,-31134,-50716,334491,331226,-3265,-3265,27869,10957.0,,221,,,20048,96406,,18712,-84034,-81850,,0.0,,20944,,38225,2393,40544,38080,71.0,-2818,-3160
2014-03-21,4,2013,,22741,-331384,31417,89302,,,1034490,754735,46062,-2.84,,75061,,33453,2013年01月01日至2013年12月31日,-594462,-505160,-578614,-491302,-135635,-383766,1326713,1352662,25949,25949,161584,26812.0,,899,,1418.0,80578,401257,,127232,-594462,-519401,,7731.0,,83799,,211645,11585,208255,196670,0.0,-15848,-13858
2014-05-09,1,2014,,771,96150,3602,8859,,,201738,161258,6200,0.48,,9685,,10458,2014年01月01日至2014年03月31日,97146,106005,98337,106859,27450,79381,258951,318423,59472,59472,32022,1888.0,,619,,,20310,116956,,20945,97146,106831,,0.0,,20371,,36903,1079,41288,40209,,-1191,-854
2014-08-05,2,2014,,4888,73566,28708,-3010,,,184482,162348,-9075,0.46,,5459,,6323,2014年第2季,95874,92864,94306,91800,19288,82045,232447,293565,61118,61118,41830,1177.0,,632,,,20260,96630,,34875,95874,101333,,0.0,,20229,,27705,1227,35814,34587,,1568,1064
2014-11-07,3,2014,,-15844,-227,4859,-926,,,162297,132918,8409,0.07,,2629,,6907,2014年第3季,14223,13297,14044,12653,32559,-15707,204858,263471,58613,58613,26054,6509.0,,668,,,20819,96674,0.07,18479,14223,16852,,0.0,,20339,,21742,861,34847,33879,107.0,179,644
2015-03-20,4,2014,,2412,180005,42779,34843,,,653187,535631,26538,1.06,,20924,,43218,2014年度,216191,251034,215279,248692,95535,141580,861157,1091670,230513,230513,134978,5873.0,,2507,,24.0,81088,406648,1.06,89253,216191,237115,,4.0,,81204,,126882,8085,157608,149391,132.0,912,2342
2015-05-08,1,2015,,11453,1753,5320,5366,,,112088,90016,-6984,0.17,5366.0,7903,,10794,2015年01月01日至2015年03月31日,34610,39976,34967,40724,56390,-13877,171063,252243,81180,81180,24790,,897.0,503,,,19792,127714,0.17,13493,34610,42513,,,0.0,20950,,39183,337,34850,34513,,-357,-748
2015-08-11,2,2015,,0,24657,8554,-931,,,91796,54540,-4572,0.08,-931.0,-2741,,5852,2015年第2季,16561,15630,15901,15219,1435,12385,149633,179495,29862,29862,28427,,3641.0,503,,,19767,96566,0.08,22072,16561,13820,,,0.0,20826,,38070,785,29174,28389,,660,411
