date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額
2013-05-03,1,2013,,2373,175,14617,2654,2654,48666,15634.0,58423,0.49,0.49,13223,,,30480,253631,2013年01月01日至2013年03月31日,120432,169098,120432,169098,,149275,1637,6429379,6925415,496036,496036,346761,,,0.43,0.43,93130,120432,150912,,9932.0,,0.0,15634,3767.0,,,6429379,6429379,6925415,6925415,6925415
2013-08-12,2,2013,,3592,-154,9534,2226,2226,13818,,16833,0.55,0.55,20466,,,29581,263358,2013年04月01日至2013年06月30日,135237,149055,135237,149055,,168270,-3452,7249639,7781101,531462,531462,363192,,,0.52,0.52,99834,135237,164818,,2861.0,,0.0,15212,-7340.0,,,7249639,7249639,7781101,7781101,7781101
2013-11-08,3,2013,,3482,0,31303,7530,7530,-27601,,-33254,0.62,0.62,24343,,,36884,304097,2013年07月01日至2013年09月30日,150146,122545,150146,122545,,166717,20313,8242470,8821045,578575,578575,411858,,,0.51,0.51,107761,150146,187030,,-5653.0,,0.0,18520,10442.0,,,8242470,8242470,8821045,8821045,8821045
2014-03-26,4,2013,,13262,126,64807,22198,22198,66702,,72144,2.16,2.16,73090,,,130548,1117087,2013年01月01日至2013年12月31日,528073,594775,528073,594775,15000.0,642568,16053,31111369,33299359,2187990,2187990,1545422,,8068.0,1.85,1.85,428335,528073,658621,,13636.0,,0.0,70952,19979.0,,15000.0,31111369,31111369,33299359,33299359,33299359
2014-05-07,1,2014,,4589,46,-92,5212,5212,47782,22566.0,47736,0.54,0.54,525,,,31760,291985,2014年01月01日至2014年03月31日,135100,182882,135100,182882,,184306,-17446,9096228,9673918,577690,577690,393384,,,0.47,0.47,101399,135100,166860,,0.0,,,22566,3972.0,,,9096228,9096228,9673918,9673918,9673918
2014-08-13,2,2014,,8537,-76,-3715,1880,1880,-48679,,-48603,0.55,0.55,4365,,,40581,307322,2014年第2季,141537,92858,141537,92858,,207329,-25211,9393784,10022466,628682,628682,421353,,,0.5,0.5,114031,141537,182118,,0.0,,0.0,23376,457.0,,,9393784,9393784,10022466,10022466,10022466
2014-11-13,3,2014,,4574,781,2290,3048,3048,46608,,45827,0.5,0.5,6680,,,36543,316275,2014年第3季,132469,179077,132469,179077,,195508,-26496,9531530,10156000,624470,624470,428962,,,0.47,0.47,112687,132469,169012,,0.0,,,31834,184.0,,,9531530,9531530,10156000,10156000,10156000
2015-03-27,4,2014,,7233,412,-265,14147,14147,121217,,147092,1.94,1.94,14164,,,150837,1247086,2014年度,505913,627130,505913,627130,12000.0,765036,-108286,37473423,39932743,2459320,2459320,1694284,,-1543.0,1.78,1.78,447198,505913,656750,,24744.0,,0.0,122168,4804.0,,12000.0,37473423,37473423,39932743,39932743,39932743
2015-05-05,1,2015,,3,226,3383,2633,2633,-28467,31769.0,-34571,0.44,0.44,6088,,-28467.0,39919,301733,2015年01月01日至2015年03月31日,119223,90756,119223,90756,,184895,-25753,8400127,8988636,588509,588509,403614,,,0.42,0.42,101881,119223,159142,,,-5878.0,,31769,-2702.0,,,8400127,8400127,8988636,8988636,8988636
2015-08-14,2,2015,,3,-14,21371,2946,2946,-20620,,-24825,0.4,0.4,19130,,-20620.0,35480,306385,2015年第2季,109403,88783,109403,88783,,147174,-2291,8547665,9105758,558093,558093,410919,,,0.38,0.38,104534,109403,144883,,,-4219.0,,26608,2244.0,0.0,,8547665,8547665,9105758,9105758,9105758
2015-11-10,3,2015,,75,-209,-48505,12852,12852,124841,,150662,0.45,0.45,0,41972.0,124841.0,30038,341192,2015年第3季,125479,250320,125479,250320,,222099,-66582,9655485,10325479,669994,669994,447895,,,0.44,0.44,106703,125479,155517,,,25612.0,,30929,0.0,6458.0,,9655485,9655485,10325479,10325479,10325479
2016-03-28,4,2015,-2688.0,83,-6,-40968,17807,17807,64431,,80874,1.7,1.7,0,26798.0,67119.0,134901,1266155,2015年度,473122,537553,473122,537553,7427.0,757970,-149947,36370740,38838829,2468089,2468089,1710119,-3239.0,,1.65,1.65,443964,473122,608023,-551.0,,13749.0,,126786,0.0,6660.0,7427.0,36370740,36370740,38838829,38838829,38838829
2016-05-13,1,2016,,2,380,20738,2664,2664,-48380,40388.0,-58748,0.42,0.42,20837,,-48380.0,25886,310528,2016年01月01日至2016年03月31日,117853,69473,117853,69473,,160725,-16986,8860241,9437400,577159,577159,416434,,,0.41,0.41,105906,117853,143739,,,-9988.0,,40388,-97.0,,,8860241,8860241,9437400,9437400,9437400
2016-08-12,2,2016,,290,-151,-11702,2599,2599,3600,,4520,0.34,0.34,0,11331.0,3600.0,19826,327963,2016年第2季,95013,98613,95013,98613,,162725,-47886,9544891,10139787,594896,594896,432171,,,0.33,0.33,104208,95013,114839,,,769.0,,38783,0.0,81.0,,9544891,9544891,10139787,10139787,10139787
