date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,遞延所得稅費用（利益）,重估增值,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,118,3874,298,7535,,,,7417,-0.43,,1601,,,,,19464,2013年01月01日至2013年03月31日,,-28385,-20850,,-31635,-28288,-26140,-644,254681,342813,88132,88132,114272,,4804,,,,90004,-28385,-26784,,,0.0,,,4816,,,,,,,,3250,7438
2013-08-12,2,2013,,,3430,-784,258,4100,,,,670,-0.61,,1381,,,,,30182,2013年04月01日至2013年06月30日,,-51017,-46917,,-52509,-51216,-43149,-6487,254865,341558,86693,86693,129842,,4414,,,,95246,-51017,-49636,,,0.0,,,5961,,,,,,,,1492,4299
2013-11-12,3,2013,,,180,-10978,125,973,,,,793,-0.61,,3396,,,,,24582,2013年07月01日至2013年09月30日,,-56574,-55601,,-53812,-54538,-37953,-15225,258960,296400,37440,37440,75393,,7135,,,,43676,-56574,-53178,,,0.0,,,4372,,,,,,,,-2762,-1063
2014-03-24,4,2013,,,8704,-52499,1088,19864,,,,11160,-2.4,,3935,,,,,83928,2013年01月01日至2013年12月31日,,-210246,-190382,,-223834,-217672,-128602,-77709,1039015,1282356,243341,243341,371943,,26703,,,-2.4,261312,-210246,-206311,,,0.0,,,26298,,,,,,,,13588,27290
2014-05-12,1,2014,,,-2116,4948,215,3658,,,,5774,-0.36,,3729,,,,,27218,2014年01月01日至2014年03月31日,,-33865,-30207,,-45692,-43726,-29811,-325,203762,245207,41445,41445,71256,,5845,,,-0.36,38193,-33865,-30136,,,0.0,,,5488,,,,,,,,11827,13519
2014-08-13,2,2014,,,2194,-454,660,-4537,,,,-6731,-0.36,,2878,,,,,26051,2014年第2季,,-49697,-54234,,-47100,-49353,-43000,-3819,168908,199677,30769,30769,73769,,4164,,,-0.36,43554,-49697,-46819,,,0.0,,,4025,,,168908.0,168908.0,199677.0,199677.0,199677.0,-2597,-4881
2014-11-06,3,2014,,,-2440,833,235,2353,,,,4793,-0.35,,-58,,,,,17457,2014年第3季,,-48081,-45728,,-45640,-43999,-45551,-2588,173064,183008,9944,9944,55495,,3255,,,-0.35,34783,-48081,-48139,,,0.0,,,3656,,,,173064.0,,,183008.0,-2441,-1729
2015-02-25,4,2014,,,7756,185851,1508,22649,,,,14893,-0.33,,42404,,,,,93017,2014年度,,-35467,-12818,,-43466,-35635,-164012,170949,696335,793523,97188,97188,261200,,16929,,,-0.33,151254,-35467,6937,,,0.0,,,16410,,,,696335.0,,,793523.0,7999,22817
2015-05-13,1,2015,,,20901,-5223,538,16739,,,,-4162,-0.43,16739.0,2124,,,,,15787,2015年01月01日至2015年03月31日,,-49079,-32340,,-56221,-52671,-37226,-9729,170696,208386,37690,37690,74916,,3198,,,-0.43,55931,-49079,-46955,,,,,,5044,,,,,,,,7142,20331
2015-08-06,2,2015,,,-34212,6946,1299,-39713,,,,-5501,-0.11,-39713.0,1368,,,,,10181,2015年第2季,,-12485,-52198,,-17369,-32345,-15033,3916,267495,305244,37749,37749,52782,,3527,,,-0.11,39074,-12485,-11117,,,,,,4329,,,,,,,,4884,-19853
