date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
1926-08-11,2,2015,,0.0,,-7126,7564,,1716,-33998,-40962,0.15,-33998.0,22471,,-128.0,41875,2015年第2季,18268,-15730,18268,-15730,46210,-5471,990711,1136681,145970,145970,101476,,18257,,0.15,41344,18268,40739,,,-6964.0,5781,,3152.0,1141439.0,1136681,1606.0,0.0,0.0
1927-08-05,2,2016,,-1532.0,,17449,3913,,412,-49141,-57360,0.67,-49141.0,36069,,-1273.0,34347,2016年第2季,78739,29598,78668,29598,100741,14067,916880,1121057,204177,204177,103848,,18737,,0.67,50764,78739,114808,,,-9751.0,6022,,6446.0,1132534.0,1121057,5031.0,71.0,0.0
2013-04-29,1,2013,,,,29976,1600,1600.0,3874,64954,78258,1.08,,40679,,,40742,2013年01月01日至2013年03月31日,126288,191242,126288,191242,141057,25910,1235530,1478595,243065,243065,105882,,21135,,1.01,44005,126288,166967,,13304.0,,5666,1235530.0,10550.0,1490968.0,1478595,1823.0,0.0,0.0
2013-08-05,2,2013,,,0.0,3028,4049,,8325,24365,29355,0.74,,38723,,-354.0,38415,2013年04月01日至2013年06月30日,86993,111358,86993,111358,124852,864,1251344,1467622,216278,216278,99751,38723.0,20747,,0.7,40589,86993,125716,,4990.0,,5859,1251344.0,7071.0,1484729.0,1467622,10036.0,0.0,
2013-11-05,3,2013,,,,-12584,4536,,5862,-28315,-34114,0.49,,29933,,-314.0,39447,2013年07月01日至2013年09月30日,57805,29490,57805,29490,102854,-15116,1246703,1451833,205130,205130,108138,,24640,,0.47,44051,57805,87738,,-5799.0,,6754,1246703.0,,,1451833,,,
2014-03-18,4,2013,,,,31703,15533,,25285,82347,99213,3.02,,155136,,-1202.0,157772,2013年01月01日至2013年12月31日,353921,436268,353921,436268,488940,20117,4988895,5868269,879374,879374,415719,,95993,,2.83,161954,353921,509057,,16866.0,,25917,4988895.0,10268.0,5930916.0,5868269,52379.0,,
2014-05-05,1,2014,,-6799.0,,17845,5212,5212.0,8149,31173,45749,0.81,,32358,,-1747.0,39915,2014年01月01日至2014年03月31日,95197,126370,95197,126370,111888,15667,1173584,1383902,210318,210318,106579,,21157,,0.76,45507,95197,127555,,7777.0,,5643,1173584.0,2473.0,1388069.0,1383902,1694.0,0.0,0.0
2014-08-12,2,2014,,0.0,,-7732,6987,,1582,-45871,-55265,0.59,,43724,,-525.0,42385,2014年第2季,71490,25619,71490,25619,120103,-4889,1182488,1416740,234252,234252,115731,,25687,,0.59,47659,71490,115214,,-9394.0,,3619,,2185.0,1430911.0,1416740,11986.0,0.0,0.0
2014-11-10,3,2014,,-10440.0,,5169,5897,,4751,46056,68066,0.67,,36470,,-178.0,45665,2014年第3季,80529,126585,80529,126585,110661,6338,1349138,1572752,223614,223614,117704,,19647,,0.66,52392,80529,116999,,11570.0,,4550,,2304.0,1579795.0,1572752,4739.0,0.0,0.0
2015-03-16,4,2014,,-15962.0,,20464,25432,,25535,119093,162717,2.53,,136394,,-3947.0,167084,2014年度,305863,424956,305863,424956,420334,21923,4924425,5774500,850075,850075,455276,,86281,,2.43,201911,305863,442257,,27662.0,,20026,4924425.0,9453.0,5806146.0,5774500,22193.0,,
