date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（綜合損益）
2013-05-10,1,2013,,,0.0,,371,,-27105,148351,4629,,,5130,0.19,,,25159,,,,5486.0,5486,,,,,235443,2013年01月01日至2013年03月31日,102664,107293,,102664,107293,4782,123041,1190684,1574855,384171,384171,379389,,12418,,,0.19,,131528,102664,,127823,,872.0,,,3691,,27884,1606492,1574855,3753,
2013-08-07,2,2013,,,0.0,,-320,,-9451,135022,1187,,,1816,-0.97,,,613764,,,,8851.0,8851,,,,,340986,2013年04月01日至2013年06月30日,-518804,-517617,,-518804,-517617,-36557,131517,1185458,1618714,433256,433256,469813,,8383,,,-0.97,,120444,-518804,,94960,,309.0,,,2905,,31300,1654175,1618714,4161,
2013-11-06,3,2013,,,0.0,,-242,,-26675,135280,-898,,,-791,0.49,,,52619,,,,28334.0,28334,,,,,337166,2013年07月01日至2013年09月30日,238980,238082,,238980,238082,157983,133616,1456193,2128231,672038,672038,514055,,8995,,,0.49,,167894,238980,,291599,,-135.0,,,3323,,65271,2197555,2128231,4053,
2014-03-19,4,2013,,,0.0,,-98666,,237846,553633,-93083,,,5349,0.64,,,663292,,,,91562.0,91562,,,,,1130880,2013年01月01日至2013年12月31日,312119,219036,,312119,219036,105454,869957,4698597,6537718,1839121,1839121,1733667,,41430,,1573.0,0.64,,561357,312119,,975411,,1339.0,,,13084,,105293,6659503,6537718,16492,
2014-05-09,1,2014,,,0.0,,1305,,-35750,156593,-3614,,,-5926,0.16,,,20168,,,,21735.0,21735,,,,,251405,2014年01月01日至2014年03月31日,64286,60672,,64286,60672,-54992,139446,929557,1269748,340191,340191,395183,,9362,,,0.16,,134416,64286,,84454,,-1007.0,,,3132,,35598,1308446,1269748,3100,
2014-08-06,2,2014,,,0.0,,3728,,-27626,139442,2408,,,-1591,0.13,,,15712,,,,15101.0,15101,,,,,333691,2014年第2季,54120,56528,,54120,56528,-54110,123942,1003839,1434750,430911,430911,485021,,11546,,,0.13,,139784,54120,,69832,,-271.0,,,2975,,31396,1470076,1434750,3930,
2014-11-05,3,2014,,,0.0,,-7166,,-64376,137352,-2370,,,5779,0.49,0.49,,44638,,,,27257.0,27257,,,,,378925,2014年第3季,195427,193057,,195427,193057,142231,97834,1282315,1984412,702097,702097,559866,,10759,,,0.49,0.49,170182,195427,,240065,,983.0,,,2399,,72363,2062540,1984412,5765,
2015-03-24,4,2014,,,,,22715,,-144588,567034,3252,,,-5253,0.98,0.98,,84264,,,-4465.0,,80617,,,,,1198133,2014年度,394958,398210,,394958,398210,-12971,492193,4214857,6015394,1800537,1800537,1813508,,45385,,-12523.0,0.98,0.98,569990,394958,,479222,,-2778.0,,,10870,,165176,6197999,6015394,17429,
2015-05-06,1,2015,0.0,0.0,0.0,,15026,,-1518,156662,19858,,,5821,0.31,,19858.0,24801,0.0,0.0,,34107.0,34107,,,,,263971,2015年01月01日至2015年03月31日,123028,142886,0.0,123028,142886,-39248,187077,948971,1331189,382218,382218,421466,,10757,0.0,,0.31,,146738,123028,,147829,0.0,,989.0,0.0,2174,0.0,34631,1370561,1331189,4741,
2015-08-05,2,2015,0.0,0.0,0.0,,4530,,-17588,135559,-4392,,,-10749,0.38,,-4392.0,28131,0.0,0.0,,26947.0,26947,,,,,360471,2015年第2季,153095,148703,0.0,153095,148703,39258,141968,972808,1530741,557933,557933,518675,,10821,0.0,,0.38,,147383,153095,,181226,0.0,,-1827.0,0.0,2950,0.0,44697,1581195,1530741,5757,
2015-11-04,3,2015,0.0,0.0,0.0,,-39062,,-12409,133040,-28407,,,12837,0.72,,-28407.0,58062,0.0,0.0,,28622.0,28622,,,,,372551,2015年第3季,291045,262638,0.0,291045,262638,201995,147112,1200461,1968198,767737,767737,565742,,11419,0.0,,0.72,,181772,291045,,349107,0.0,,2182.0,0.0,2141,0.0,63054,2033840,1968198,2588,
2016-03-23,4,2015,0.0,-22980.0,,0.0,-5313,,-82429,632584,-90418,0.0,0.0,-14540,1.54,,-67438.0,100942,0.0,1608.0,,,100663,-48652.0,-50057.0,-1405.0,1608.0,1291430,2015年度,620310,529892,0.0,620310,529892,79261,641991,4304053,6360594,2056541,2056541,1977280,0.0,45523,-29624.0,,1.54,,640327,620310,1.54,721252,-5036.0,,-2472.0,,8827,0.0,125334,6508570,6360594,22642,
2016-05-06,1,2016,,,,,-14805,,-34515,164220,-12337,,,2973,0.22,,-12337.0,14079,,,,,50548,,,,,309177,2016年01月01日至2016年03月31日,88077,75740,,88077,75740,-76525,178681,1349040,1754858,405818,405818,482343,,14244,,,0.22,,158922,88077,0.22,102156,,,505.0,,1572,,32270,1791336,1754858,4208,
2016-08-05,2,2016,,,,,1274,0.0,491350,147353,-18720,,,-24089,1.68,,-18720.0,42312,,,,,12604,,,,,389377,2016年第2季,675375,656655,,675375,656655,66960,650727,1539118,2178091,638973,638973,572013,,11337,,,1.68,,171299,675375,1.68,717687,,,-4095.0,,580,,52227,2236728,2178091,6410,0.0
2016-11-04,3,2016,,,,,492,,-23160,138404,-13685,,,-17080,0.59,,-13685.0,55477,,,,,25335,,,,,392270,2016年第3季,236087,222402,,236087,222402,152756,138808,1910786,2697867,787081,787081,634325,,13476,,,0.59,,228579,236087,0.59,291564,,,-2903.0,,1771,,96515,2799414,2697867,5032,
