date,season,year,不動產、廠房及設備減損損失,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分投資利益,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,,437506,-811637,55476,,625842,,216418,-0.09,-0.09,,,-258.0,,89242,-20381,,178566,2013年01月01日至2013年03月31日,,-291857,333985,-291857,333985,,,637099,-839714,11802086,13819210,2017124,2016866,1379767,695429,,,-0.09,-0.09,505772,-291857,-202615,,,28082.0,,,,63172,,,,,0.0
2013-08-06,2,2013,,,,,692469,114765,218186,,769999,,152597,0.56,,,,678.0,,407368,-20448,,226889,2013年04月01日至2013年06月30日,,1740203,2510202,1740203,2510202,,,1896185,251386,13925974,17601598,3675624,3676302,1780117,962811,,,0.56,,590417,1740203,2147571,,,75067.0,,,,61117,,,,0.0,0.0
2013-11-07,3,2013,,,,,-117266,-32664,75796,,-180136,,-84385,0.7,,,,,,531094,-17573,,210785,2013年07月01日至2013年09月30日,560.0,2184405,2004269,2184405,2004269,,,2757823,-42324,14674899,19091619,4416720,4416160,1658337,864180,,,0.7,,583372,2184405,2715499,,,-21515.0,,,,67883,,,,0.0,0.0
2014-03-20,4,2013,,,,,692602,-565106,439823,,1097817,,426113,1.9,,,,1030.0,,1563650,-85378,,839723,2013年01月01日至2013年12月31日,,5892283,6990100,5892283,6990100,,,7937330,-481397,54926704,69356192,14429488,14430518,6493188,3406702,,96041.0,1.89,,2246763,5892283,7455933,,,116939.0,,,,270736,,,,,
2014-05-08,1,2014,,,,,1153417,145879,136566,,1239218,,125062,0.67,,,,1938.0,,460241,-35298,,209748,2014年01月01日至2014年03月31日,,2091030,3330248,2091030,3330248,,,2392018,159253,14067669,18060370,3992701,3994639,1602621,834278,,,0.67,,558595,2091030,2551271,,,39261.0,,,,87894,,,,,
2014-08-07,2,2014,26123.0,,,18883.0,2691622,16003,235935,-7371.0,2483051,38075.0,-191223,1.08,,0.0,5214.0,-1938.0,,686838,-44366,,230047,2014年第2季,,3371332,5854383,3371332,5854383,26123.0,,3939300,118870,16261114,21928049,5666935,5664997,1725697,853144,,,1.08,,642506,3371332,4058170,205231.0,,17348.0,,66223.0,,88702,0.0,,,0.0,0.0
2014-11-04,3,2014,,,,49983.0,-1419352,390150,72296,34158.0,-1119154,32738.0,180012,1.05,,216273.0,,,,708168,-30601,,251110,2014年第3季,0.0,3256873,2137719,3256873,2137719,462343.0,,3624034,341007,16103145,21652107,5548962,5548962,1924928,965180,,,1.04,,708638,3256873,3965041,5400.0,,-120186.0,,50286.0,635917.0,90838,0.0,,,,
2015-03-19,4,2014,,,,125539.0,2948369,457496,564604,185565.0,3520940,155804.0,555285,3.76,,483325.0,,0.0,,2523770,-171591,,938522,2014年度,,11731202,15252142,11731202,15252142,506107.0,,13807931,447041,62090060,83071441,20981381,20981381,7173450,3627958,,-41749.0,3.74,,2606970,11731202,14254972,223235.0,,-59035.0,,287947.0,639103.0,403468,0.0,,321233.0,,
2015-05-07,1,2015,18320.0,,,37546.0,471451,-372038,95430,44791.0,313915,42272.0,-151472,0.84,,0.0,29208.0,0.0,313915.0,399652,-21570,,248448,2015年第1季,,2614500,2928415,2614500,2928415,18320.0,,3469237,-455085,15358793,20805242,5446449,5446449,1977212,908788,,,0.83,,819976,2614500,3014152,8367.0,,,6064.0,28234.0,,156907,,,315198.0,0.0,0.0
2015-08-06,2,2015,5639.0,,,74316.0,-1364486,481562,397811,27257.0,-1441077,37543.0,-97201,1.18,,0.0,2184.0,0.0,-1441077.0,654928,-9093,,259626,2015年第2季,,3677490,2236413,3677490,2236413,5639.0,,3595593,736825,15459056,21240037,5780981,5780981,2185388,984176,,,0.93,,941586,3677490,4332418,333011.0,,,-20610.0,4831.0,0.0,133455,,558870.0,,0.0,0.0
