date,season,year,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,稀釋每股盈餘合計,管理費用合計,維修成本,維修收入淨額,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,5087,,2375,5636,5391.0,664.0,441.0,25392,245.0,,,32756.0,3506.0,20305,0.06,,,,937,33335,2013年01月01日至2013年03月31日,,6744,32136,6743,32135,752,6929,245047,319033,73986,73986,73234,0.06,39899,8863.0,29250.0,6744,7681,,0.0,,1082,,,234410.0,61.0,,285897.0,285836.0,1,1
2013-08-09,2,2013,,30,,974,4250,3758.0,342.0,719.0,10467,492.0,,10178.0,33683.0,,10437,0.23,,,,4581,31590,2013年04月01日至2013年06月30日,,24346,34813,24345,34812,25165,3762,301929,399402,97473,97473,72308,0.23,40718,,,24346,28927,,0.0,,1462,,291409.0,291409.0,53.0,,365053.0,365000.0,1,1
2013-11-08,3,2013,588.0,-4906,,-2335,7993,2757.0,1273.0,1826.0,-13274,286.0,,9460.0,27258.0,,-8729,0.14,-1747.0,,,36,30931,2013年07月01日至2013年09月30日,,14854,1580,14853,1579,9927,4963,275634,360315,84681,84681,74754,0.14,43823,,,14854,14890,4950.0,-361.0,,695,,264901.0,264901.0,1352.0,,332583.0,331231.0,1,1
2014-03-21,4,2013,,0,,-5384,21123,14785.0,2766.0,4653.0,34224,1388.0,,,121484.0,8916.0,34224,0.45,,,,7740,127412,2013年01月01日至2013年12月31日,,48224,82448,48221,82445,44492,11472,1091976,1437661,345685,345685,301193,0.44,173781,37621.0,112568.0,48224,55964,4950.0,0.0,,4267,,,1049339.0,2896.0,,1314420.0,1311524.0,3,3
2014-05-09,1,2014,,1595,,1100,3011,2351.0,,661.0,-164,660.0,,,31565.0,,-1759,0.2,,,,0,30609,2014年01月01日至2014年03月31日,,21866,21702,21867,21703,18524,3342,268788,366719,97931,97931,79407,0.2,48798,,,21866,21866,,0.0,,769,,,,238.0,,334731.0,334493.0,-1,-1
2014-08-07,2,2014,,3341,,-3750,2489,,,,-10691,,,,,,-14032,0.22,,,,3350,32637,2014年第2季,,23344,12653,23344,12653,28930,-2236,355367,465306,109939,109939,81009,0.22,48372,,,23344,26694,,0.0,,975,,,,,,,,0,0
2014-11-03,3,2014,1244.0,6510,,1481,6081,1793.0,247.0,1267.0,26507,399.0,855.0,11857.0,28610.0,,19997,0.17,2725.0,0.0,,-5017,32751,2014年第3季,,17914,44421,17911,44418,6190,6707,299089,386915,87826,87826,81636,0.17,48885,,,17914,12897,3889.0,0.0,,855,399.0,,286985.0,1353.0,358391.0,358391.0,357038.0,3,3
2015-03-24,4,2014,,8710,,4721,7737,,,,39514,,,,,,30804,0.75,,,,7547,130240,2014年度,,80287,119801,80281,119795,76682,11152,1239343,1648510,409167,409167,332485,0.75,202245,,,80287,87834,,0.0,,1306,,,,,,,,6,6
2015-05-05,1,2015,,2702,,-1461,3834,,,,-5604,,,,,,-8306,0.05,,,-5604.0,-1247,35109,2015年01月01日至2015年03月31日,-1247.0,4943,-661,4942,-662,2245,1451,318781,410482,91701,91701,89456,0.05,54347,,,4943,3696,,,0.0,922,,,,,,,,1,1
2015-08-12,2,2015,,2335,,-322,9531,,,,-10579,,,,,,-12914,0.22,,,-10579.0,2440,34541,2015年第2季,2440.0,22824,12245,22824,12245,17094,8170,350105,451635,101530,101530,84436,0.21,49895,,,22824,25264,,,0.0,1039,,,,,,,,0,0
2015-11-05,3,2015,5622.0,-6237,,4248,6583,1243.0,,4548.0,31712,390.0,,,34625.0,,37949,0.29,9870.0,,31712.0,3749,35813,2015年第3季,,30261,61973,30260,61972,24404,9606,340678,443860,103182,103182,78778,0.29,42965,,,30261,34010,4950.0,,0.0,1225,,,,0.0,,404687.0,404687.0,1,1
2016-03-22,4,2015,,-967,,13037,22215,15100.0,,6480.0,-15201,2165.0,,,138926.0,,-14234,0.82,,,-15201.0,8686,141770,2015年度,,85678,70477,85678,70477,64180,30184,1375069,1778082,403013,403013,338833,0.82,197063,,,85678,94364,4950.0,,0.0,5068,,,,2825.0,,1635501.0,1632676.0,0,0
2016-05-06,1,2016,709.0,11642,,-2681,2784,1921.0,,4617.0,6064,863.0,,,29513.0,,-5578,0.14,-1972.0,,6064.0,1514,34500,2016年01月01日至2016年03月31日,,15075,21139,15072,21136,18626,-2037,303879,399564,95685,95685,77059,0.14,42559,,,15075,16589,0.0,,0.0,2140,,,,1524.0,,366958.0,365434.0,3,3
2016-08-05,2,2016,7760.0,-8513,0.0,-5555,12401,12269.0,,317.0,-31310,132.0,,,39447.0,,-22797,0.34,2205.0,,-31310.0,13211,36535,2016年第2季,,35194,3884,35195,3884,43575,4830,365264,490530,125266,125266,81691,0.34,45156,,,35194,48405,,,0.0,2016,,,,5795.0,,456561.0,450766.0,-1,0
2016-11-08,3,2016,2922.0,0,,-2538,6409,5798.0,,114.0,-30267,611.0,,,47041.0,,-30267,0.31,384.0,,-30267.0,5157,37970,2016年第3季,,30314,47,30313,46,33051,2420,384681,495674,110993,110993,77942,0.31,39972,,,30314,35471,0.0,,0.0,1451,,,,2263.0,,450782.0,448519.0,1,1
