date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,486712,6688473,2940594,17466671,16593670,1.38,1.38,,6246849,386289.0,956172,,4984599,2013年01月01日至2013年03月31日,16350324,33816995,16352513,33710832,13906991,8690182,763098864,809011951,45913087,45913087,32006096,9547359,,,1.35,1.35,17474138,16350324,22597173,,,1895057,-2189,106163
2013-08-13,2,2013,,-885076,4285658,4185192,8124761,8526477,1.3,1.3,,8613432,483360.0,491414,,5655751,2013年04月01日至2013年06月30日,16930385,25055146,16977649,23808004,18602832,6940985,843684571,895617497,51932926,51932926,33330094,10723867,,,1.27,1.27,16950476,16930385,25543817,,,2021279,-47264,1247142
2013-11-13,3,2013,,-255583,615381,4568332,-7859621,-9211674,2.34,2.34,,5038345,1607636.0,1640531,,5958503,2013年07月01日至2013年09月30日,30721326,22861705,30753428,23342677,31846487,3913184,854301422,919301218,64999796,64999796,33153309,11178766,,,2.29,2.29,16016040,30721326,35759671,,,2911060,-32102,-480972
2014-03-28,4,2013,,-1002017,13863801,17531778,24534711,24617695,8.16,8.16,,28949821,918220.0,4838075,,25893690,2013年01月01日至2013年12月31日,107345876,131880587,106697157,130621274,109314396,26981301,3697623039,3952317540,254694501,254694501,145380105,46580031,,980.0,7.99,7.99,72906384,107345876,136295697,,167.0,9252353,648719,1259313
2014-05-14,1,2014,,736778,1144340,6477961,4140244,2788353,1.49,1.49,,5711079,615113.0,204313,,5032823,2014年01月01日至2014年03月31日,19829790,23970034,19542763,23973198,20905719,4635150,830103420,883479325,53375905,53375905,32470186,9774707,,,1.47,1.47,17662656,19829790,25540869,,,3191464,287027,-3164
2014-08-13,2,2014,,10537627,-1982382,9035285,-577453,-10771160,1.37,1.37,,11791683,-343920.0,1025537,,5374205,2014年第2季,20625501,20048048,20186135,19478006,27931770,4485414,817104273,879094312,61990039,61990039,34058269,11355568,,,1.36,1.36,17328496,20625501,32417184,,,3593026,439366,570042
2014-11-13,3,2014,,21724097,3978760,9193571,37245349,15363619,2.3,2.3,,7184493,157633.0,1434589,,6555242,2014年第3季,34624630,71869979,34089122,69788735,31372557,10436566,882996725,950494021,67497296,67497296,36124739,11916410,,,2.29,2.29,17653087,34624630,41809123,,,4170354,535508,2081244
2015-03-30,4,2014,,18419522,11083457,31872566,55569496,36576979,8.85,8.85,,41638550,606016.0,2980013,,26146194,2014年度,132481822,188051318,130534729,182370027,143191411,30928961,3921228465,4213172321,291943856,291943856,148752445,48853760,,-39784.0,8.75,8.75,73752491,132481822,174120372,,-6763.0,15007075,1947093,5681291
2015-05-15,1,2015,,-3820085,-1343926,6387852,-16644283,-13461361,2.05,2.05,-16644283.0,8987977,,850084,637163.0,5846636,2015年01月01日至2015年03月31日,31259557,14615274,30385267,14671441,38602603,1644931,941699063,1014122421,72423358,72423358,33820755,10367758,,,2.03,2.03,17606361,31259557,40247534,,,4249079,874290,-56167
2015-08-13,2,2015,,3973873,2689448,7733649,-10812244,-14355096,1.65,1.65,-10812244.0,14144048,,838681,-431021.0,5839085,2015年第2季,26393678,15581434,25689564,17591023,33110917,7426809,902666331,972708221,70041890,70041890,36930973,12285062,,,1.63,1.63,18806826,26393678,40537726,,,3834969,704114,-2009589
