date,season,year,不動產重估增值,不重分類至損益之項目總額（稅後）,保險業務淨收益,保險負債準備淨變動合計,停業單位損益合計,備供出售金融資產之已實現利益,備供出售金融資產之已實現損失,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換利益,兌換損失,兌換損益,其他利息以外淨損失,其他利息以外淨損益,其他利息以外淨收益,其他可能重分類至損益之項目,其他業務及管理費用,其他綜合損益－其他,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金淨收益,投資性不動產利益,投資性不動產損失,投資性不動產損益,折舊及攤銷費用,持有至到期日金融資產之已實現利益,持有至到期日金融資產之已實現損失,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資利益之份額,採用權益法認列關聯企業及合資損失之份額,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益（損失）,確定福利計畫之再衡量數,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅後淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,資產減損損失,資產減損損失（迴轉利益）,資產減損迴轉利益,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債利益,透過損益按公允價值衡量之金融資產及負債損失,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-04-30,1,2013,,,44475064,67123878,,5101431,0,5101431,-37006.0,,24462886,0,24462886,0,3474483,3474483,,3072558,,59134763,32051153,28690203,3360950,89058,8596910,532192,0.65,,-768339,61108,1746261.0,0.0,1746261,1109803,472,0,472,,32280.0,,,23295,0.0,23295,2013年01月01日至2013年03月31日,,122056.0,7064420,7186476,87824966,12779271,-199917,,,7064420,7832759.0,,0.65,,-205493.0,,,,,,0.0,20210237.0,-20210237,135251,255593
2013-08-23,2,2013,,,41361946,58498935,,7273878,0,7273878,-17410739.0,,9737010,0,9737010,0,1088207,1088207,,3369016,,52659149,31675126,28290247,3384879,449363,8443194,199975,0.74,,-1184529,1712338,1516699.0,0.0,1516699,1094388,0,888,-888,,-41937.0,,,0,7084.0,-7084,2013年04月01日至2013年06月30日,,-14428536.0,7909971,-6518565,80949396,12906598,-192511,,0.71,7909971,9094500.0,,,,3016676.0,,,,,,0.0,10022957.0,-10022957,31373,44644
2013-10-29,3,2013,,,40320840,61967556,0.0,14617555,0,14617555,-7749552.0,,0,11492907,-11492907,0,2040475,2040475,,4513163,,58961191,32616195,28947790,3668405,750161,7832511,-360960,1.03,,40429,275613,1589761.0,0.0,1589761,1081378,1798,0,1798,,-23784.0,,,38777,0.0,38777,2013年07月01日至2013年09月30日,,-8403409.0,11804641,3401232,87908981,13427052,-198700,,1.03,11804641,11764212.0,,,,-70413.0,,0.0,0.0,0.0,,11569279.0,0.0,11569279,65600,-10823
2014-03-14,4,2013,,,213301740,293569577,0.0,34263540,0,34263540,-6879955.0,,35548670,0,35548670,0,6998320,6998320,,17068090,,268342270,128608655,114535012,14073643,1487407,34297866,733397,2.5,,-2950940,764649,6303080.0,0.0,6303080,4483291,3134,0,3134,,-14204.0,,,157038,0.0,157038,2013年01月01日至2013年12月31日,,-5637719.0,29020111,23382392,382877282,55849247,-714659,,2.5,29020111,31971051.0,,,,1237702.0,,192262.0,-192262.0,0.0,,0.0,28805639.0,-28805639,204336,306725
2014-04-29,1,2014,,,38105169,60276071,,10912528,0,10912528,1290362.0,,15441047,0,15441047,0,2294211,2294211,,3784905,902335.0,55168218,34420748,30534282,3886466,-7675,8364108,286489,1.03,,-306333,222782,,,3116052,625550,1282,0,1282,,7053.0,,,29826,0.0,29826,2014年01月01日至2014年03月31日,,2897609.0,12353208,15250817,85702500,12774563,-75850,,1.03,12353208,12659541.0,,,,487220.0,,7123.0,,0.0,-7123.0,0.0,14947556.0,-14947556,68128,138223
2014-08-27,2,2014,,,23731425,46781745,,8222109,0,8222109,16069265.0,,0,19997973,-19997973,0,650040,650040,,4448894,0.0,50456488,34943480,30953009,3990471,450316,8427283,-667960,1.45,,-2437035,1787539,,,18253237,615583,1573,0,1573,,13802.0,,,37499,0.0,37499,2014年第2季,,15023092.0,18248641,33271733,81409497,13491760,-99438,,1.45,18248641,20685676.0,,,,-292577.0,,0.0,,0.0,0.0,17771039.0,0.0,17771039,80493,29076
2014-11-13,3,2014,,,63687497,85562206,,18475127,0,18475127,-24641051.0,,14745643,0,14745643,0,878013,878013,,5419759,0.0,87264309,35174488,31049591,4124897,747127,8967461,394500,1.12,,-2851280,-310163,,,1860061,623155,1120,0,1120,,404.0,,,51913,0.0,51913,2014年第3季,,-24284601.0,14142912,-10141689,118313900,15010375,-146760,,1.12,14142912,16994192.0,,,,108306.0,,0.0,,0.0,0.0,0.0,12124902.0,-12124902,110706,250251
2015-03-19,4,2014,,,202458185,290799984,,43743777,0,43743777,26656341.0,,53400038,0,53400038,0,3448803,3448803,,19717595,913058.0,282292687,141353891,125082816,16271075,2982412,35106064,1602548,3.94,,-6458083,369206,,,26194212,2526728,4591,0,4591,,88452.0,,,167505,0.0,167505,2014年度,,26185648.0,49784637,75970285,407375503,57350387,-241911,,0.0,49784637,56242720.0,,,,-2832840.0,,118038.0,,0.0,-118038.0,0.0,47375592.0,-47375592,262190,657901
2015-04-30,1,2015,0.0,-238343.0,47654569,70365746,,20925792,0,20925792,,4399625.0,0,14078929,-14078929,0,10685316,10685316,0.0,4039527,,71278442,37117958,32879361,4238597,112293,9122251,-1531137,1.43,2326316.0,-1796875,337034,,,2226506,612439,0,47964,-47964,-287160.0,,0.0,17342.0,51696,0.0,51696,2015年第1季,2087973.0,,18108672,20196645,104157803,13774217,-3207,0.0,0.0,18108672,,19905547.0,,48817.0,,-556307.0,0.0,,0.0,0.0,,,3524422,186154,144051
2015-08-20,2,2015,0.0,452865.0,65979811,88887228,,21178466,0,21178466,,-27910608.0,0,8438623,-8438623,0,3759677,3759677,,4441283,,99320386,37724950,33430966,4293984,54515,9586710,546118,1.83,-24667652.0,-6047038,-1635986,,,13310310,609596,487,0,487,544863.0,,757.0,-213044.0,232792,0.0,232792,2015年第2季,-24214787.0,,23124982,-1089805,132751352,14637589,6075,,1.83,23124982,,29172020.0,,-92755.0,,2903807.0,0.0,,0.0,0.0,4933452.0,,4933452,152210,50613
