date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位淨利（淨損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2012-04-30,1,2013,,,,4031,2259,,,159155,159155,1.75,,,,105614,228091,2013年01月01日至2013年03月31日,,263342,422497,262489,422215,375109,-6153,671290,1447209,775919,775919,400810,45401,,,,,127318,263342,368956,12443,,671290,,,1447209,853,282
2013-08-12,2,2013,,,,80700,3581,3581.0,,73986,73986,3.37,3.37,,,191153,258164,2013年04月01日至2013年06月30日,,543371,617357,541393,615397,663045,71479,916932,2049893,1132961,1132961,469916,49083,,,3.37,3.37,162669,543371,734524,12802,,916932,,,2049893,1978,1960
2013-11-04,3,2013,,,0.0,69635,3688,3688.0,0.0,-65972,-65972,3.05,3.05,,,177386,287948,2013年07月01日至2013年09月30日,,491650,425678,489074,423130,612849,56187,892757,2018709,1125952,1125952,513103,52329,,,3.04,3.04,172826,491650,669036,17136,,892757,,,2018709,2576,2548
2014-03-04,4,2013,,,,210651,13063,13063.0,,284021,285963,10.55,10.55,,,641306,1059692,2013年01月01日至2013年12月31日,,1725451,2009472,1710158,1995666,2194751,172006,3264133,7300291,4036158,4036158,1841407,200714,,-1942.0,10.53,10.53,581001,1725451,2366757,51708,,3264133,,,7300291,15293,13806
2014-05-14,1,2014,,,,-5119,4286,,,-27247,-27247,2.24,,,,154295,269354,2014年01月01日至2014年03月31日,,385798,358551,381495,354232,558431,-18338,800393,1831620,1031227,1031227,472796,56805,,,2.23,,146637,385798,540093,17505,,800393,,,1831620,4303,4319
2014-08-14,2,2014,,,,59558,4095,4095.0,,-118210,-118210,3.61,3.61,,,174526,341158,2014年第2季,,621165,502955,615060,497071,753012,42679,1034830,2369569,1334739,1334739,581727,66845,,,3.61,3.61,173724,621165,795691,20974,,1034830,,,2369569,6105,5884
2014-11-04,3,2014,,,,-312,4528,4528.0,,189598,189598,2.22,2.22,0.0,,147782,329484,2014年第3季,0.0,379396,568994,377960,567795,550055,-22877,996020,2133792,1137772,1137772,587717,83085,,,2.21,2.21,175148,379396,527178,27093,996020.0,996020,2133792.0,2133792.0,2133792,1436,1199
2015-03-03,4,2014,,,,50661,18228,18228.0,,312925,304087,10.39,10.39,,,602430,1234776,2014年度,,1786112,2099037,1770731,2080041,2388918,-376,3775784,8378961,4603177,4603177,2214259,286026,,8838.0,10.37,10.37,693457,1786112,2388542,69265,,3775784,,,8378961,15381,18996
2015-05-07,1,2015,-94718.0,-94718.0,,-34643,7311,,,-98566,-3848,1.45,,,-3848.0,117486,347557,2015年01月01日至2015年03月31日,,249383,150817,246868,148258,414086,-47217,865876,1867192,1001316,1001316,587230,76321,,,1.45,,163352,249383,366869,19885,,865876,,,1867192,2515,2559
2015-08-01,2,2015,-154170.0,-154170.0,,69567,8083,8083.0,,-128746,25424,3.1,3.1,,25424.0,150461,360301,2015年第2季,,558267,429521,555171,426416,651492,57236,1171328,2440755,1269427,1269427,617935,70384,,,3.09,3.09,187250,558267,708728,20414,,1171328,,,2440755,3096,3105
2015-11-05,3,2015,405605.0,405605.0,,-117254,5206,5206.0,,353133,-52472,1.45,1.45,0.0,-52472.0,155158,382007,2015年第3季,0.0,258843,611976,259273,612483,550036,-136035,1148352,2324960,1176608,1176608,626572,76402,,,1.45,1.45,168163,258843,414001,23987,1148352.0,1148352,2324960.0,2324960.0,2324960,-430,-507
2016-02-25,4,2015,-214522.0,-212705.0,,-172137,27848,27848.0,,-194988,17717,7.64,7.64,,17717.0,464490,1456473,2015年度,,1375086,1180098,1367550,1171681,2072818,-233242,4259821,8797169,4537348,4537348,2464530,290176,1817.0,,7.63,7.63,717881,1375086,1839576,88953,,4259821,,,8797169,7536,8417
2016-05-09,1,2016,-55084.0,-55084.0,,109881,9453,,,-47264,7820,2.45,,,7820.0,171441,358912,2016年01月01日至2016年03月31日,,440194,392930,439332,392079,517869,93766,1134172,2270012,1135840,1135840,617971,73476,,,2.45,,185583,440194,611635,25568,,1134172,,,2270012,862,851
2016-08-05,2,2016,-286634.0,-286634.0,,57329,5601,5601.0,,-257122,29512,3.38,3.38,,29512.0,214843,400006,2016年第2季,,605240,348118,604296,346759,795393,24690,1430237,2926008,1495771,1495771,700378,85090,,,3.37,3.37,215282,605240,820083,38240,,1430237,,,2926008,944,1359
2016-11-04,3,2016,-326185.0,-326885.0,,262030,5766,5766.0,,-306570,20315,3.04,3.04,0.0,20315.0,314612,392584,2016年第3季,0.0,650033,343463,544193,238946,735657,228988,1340603,2772966,1432363,1432363,696706,88607,-700.0,,3.04,3.04,215515,650033,964645,38808,1340603.0,1340603,2772966.0,2772966.0,2772966,105840,104517
