date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,517,1399,24575,24575,0.32,,5642,,75208,2013年01月01日至2013年03月31日,32119,56694,27879,47478,36856,905,3087021,3229913,142892,142892,106036,7079,,,0.32,23749,32119,37761,,,,1011,,3087021,42445.0,,3272358,3229913,,4240,9216
2013-08-08,2,2013,,2336,369,7563,7563,0.16,,15116,,95308,2013年04月01日至2013年06月30日,20750,28313,13998,20130,34154,1712,3474735,3624972,150237,150237,116083,6862,,,0.16,13913,20750,35866,,,,993,,3474735,,3670502.0,3670502,3624972,45530.0,6752,8183
2013-11-13,3,2013,,-2229,3439,-14620,-14620,0.23,,10551,,88616,2013年07月01日至2013年09月30日,33798,19178,20560,8795,45522,-1173,3979790,4134791,155001,155001,109479,5221,,,0.23,15642,33798,44349,,,,2383,,3979790,,4182819.0,4182819,4134791,48028.0,13238,10383
2014-03-26,4,2013,,7550,7615,26970,26278,1.17,,43695,,365580,2013年01月01日至2013年12月31日,136851,163821,106460,127837,173413,7133,15117532,15749786,632254,632254,458841,22652,,692.0,1.17,70609,136851,180546,,0.0,,8032,,15117532,,15980639.0,15980639,15749786,230853.0,30391,35984
2014-05-13,1,2014,,-2803,2747,22929,22929,0.07,,5686,,98957,2014年01月01日至2014年03月31日,6961,29890,6116,24935,19671,-7024,4048065,4186395,138330,138330,118659,3511,,,0.07,16191,6961,12647,,,,6968,4048065.0,4048065,64383.0,4250778.0,4250778,4186395,,845,4955
2014-08-08,2,2014,,-860,4504,-23943,-23943,-0.17,,12446,,126505,2014年第2季,-37120,-61063,-15290,-34070,-19201,-5473,3891250,4020801,129551,129551,148752,5420,,,0.0,16827,-37120,-24674,,,,9117,,3891250,,4090233.0,4090233,4020801,69432.0,-21830,-26993
2014-11-12,3,2014,,8,3373,24218,24218,0.55,,17937,,92722,2014年第3季,72962,97180,49721,68537,95391,-4492,5187369,5400675,213306,213306,117915,5726,,,0.55,19467,72962,90899,,,,7873,,5187369,,5458579.0,5458579,5400675,57904.0,23241,28643
2015-03-25,4,2014,,-462,11303,83946,84154,0.93,,43105,-522.0,439669,2014年度,87278,171224,88209,154999,153087,-22704,17637903,18319441,681538,681538,528451,19626,,-208.0,0.93,69156,87278,130383,,0.0,,33023,,17637903,,18590840.0,18590840,18319441,271399.0,-931,16225
2015-05-13,1,2015,,-871,440,-14708,-14708,-0.11,-14708.0,-1110,-814.0,190734,2015年01月01日至2015年03月31日,-36056,-50764,-10449,-22909,-25672,-11494,4191071,4377794,186723,186723,212395,5467,,,-0.11,16194,-36056,-37166,,,,10249,4191071.0,4191071,33513.0,4411307.0,4411307,4377794,,-25607,-27855
2015-08-10,2,2015,,-2600,956,-17277,-17277,-0.48,-17277.0,184,585.0,182357,2015年第2季,-76375,-93652,-45609,-57720,-65602,-10589,3673217,3809315,136098,136098,201700,5395,,,0.0,13948,-76375,-76191,,,,9530,3673217.0,3673217,148083.0,3957398.0,3957398,3809315,,-30766,-35932
2015-11-12,3,2015,,-1094,1265,83164,83164,-0.37,83164.0,15657,570.0,167347,2015年第3季,-85705,-2541,-39994,22699,-61391,-8657,3577055,3704657,127602,127602,188993,6327,,,0.0,15319,-85705,-70048,,,,9398,3577055.0,3577055,724436.0,4429093.0,4429093,3704657,,-45711,-25240
2016-03-08,4,2015,-1287.0,-7125,2781,37058,38345,-2.76,38345.0,33428,-606.0,869105,2015年度,-471290,-434232,-299313,-273094,-397624,-40238,14470648,15024957,554309,554309,951933,21447,-1287.0,,-2.76,61381,-471290,-437862,0.0,,0.0,35288,,14470648,,15256329.0,15256329,15024957,231372.0,-171977,-161138
2016-05-11,1,2016,,-4658,1263,-20624,-20624,0.1,-20624.0,5489,-843.0,59058,2016年01月01日至2016年03月31日,1879,-18745,11336,-4208,16680,-9312,2245079,2342203,97124,97124,80444,5539,,,0.1,15847,1879,7368,,,0.0,5074,,2245079,,2444580.0,2444580,2342203,102377.0,-9457,-14537
2016-08-04,2,2016,,1074,891,-155,-155,0.27,-155.0,9480,-1236.0,136133,2016年第2季,27964,27809,32733,32004,39907,-2463,1831818,2031105,199287,199287,159380,4869,,,,18378,27964,37444,,,,3192,1831818.0,1831818,57358.0,2088463.0,2088463,2031105,,-4769,-4195
2016-11-08,3,2016,,-5647,2440,-32613,-32613,0.12,-32613.0,1285,-1700.0,54939,2016年第3季,25806,-6807,14983,-9735,36147,-9056,1829348,1941877,112529,112529,76382,4647,,,,16796,25806,27091,,,,4149,1829348.0,1829348,81256.0,2023133.0,2023133,1941877,,10823,2928
